domain,feature,missing_n,missing_pct,zero_n,zero_pct,min,max,unique_values
cleveland,age,0,0.0,0,0.0,29.0,77.0,41
cleveland,sex,0,0.0,97,32.01320132013201,0.0,1.0,2
cleveland,cp,0,0.0,0,0.0,1.0,4.0,4
cleveland,trestbps,0,0.0,0,0.0,94.0,200.0,50
cleveland,chol,0,0.0,0,0.0,126.0,564.0,152
cleveland,fbs,0,0.0,258,85.14851485148515,0.0,1.0,2
cleveland,restecg,0,0.0,151,49.834983498349835,0.0,2.0,3
cleveland,thalach,0,0.0,0,0.0,71.0,202.0,91
cleveland,exang,0,0.0,204,67.32673267326733,0.0,1.0,2
cleveland,oldpeak,0,0.0,99,32.67326732673267,0.0,6.2,40
cleveland,slope,0,0.0,0,0.0,1.0,3.0,3
cleveland,ca,4,1.3201320132013201,176,58.085808580858085,0.0,3.0,4
cleveland,thal,2,0.6600660066006601,0,0.0,3.0,7.0,3
hungary,age,0,0.0,0,0.0,28.0,66.0,38
hungary,sex,0,0.0,81,27.551020408163264,0.0,1.0,2
hungary,cp,0,0.0,0,0.0,1.0,4.0,4
hungary,trestbps,1,0.3401360544217687,0,0.0,92.0,200.0,31
hungary,chol,23,7.8231292517006805,0,0.0,85.0,603.0,153
hungary,fbs,8,2.7210884353741496,266,90.47619047619048,0.0,1.0,2
hungary,restecg,1,0.3401360544217687,235,79.93197278911565,0.0,2.0,3
hungary,thalach,1,0.3401360544217687,0,0.0,82.0,190.0,71
hungary,exang,1,0.3401360544217687,204,69.38775510204081,0.0,1.0,2
hungary,oldpeak,0,0.0,189,64.28571428571429,0.0,5.0,10
hungary,slope,190,64.62585034013605,0,0.0,1.0,3.0,3
hungary,ca,291,98.9795918367347,3,1.0204081632653061,0.0,0.0,1
hungary,thal,266,90.47619047619048,0,0.0,3.0,7.0,3
switzerland,age,0,0.0,0,0.0,32.0,74.0,37
switzerland,sex,0,0.0,10,8.130081300813009,0.0,1.0,2
switzerland,cp,0,0.0,0,0.0,1.0,4.0,4
switzerland,trestbps,2,1.6260162601626016,0,0.0,80.0,200.0,20
switzerland,chol,0,0.0,123,100.0,0.0,0.0,1
switzerland,fbs,75,60.97560975609756,43,34.959349593495936,0.0,1.0,2
switzerland,restecg,1,0.8130081300813008,85,69.10569105691057,0.0,2.0,3
switzerland,thalach,1,0.8130081300813008,0,0.0,60.0,182.0,67
switzerland,exang,1,0.8130081300813008,68,55.28455284552845,0.0,1.0,2
switzerland,oldpeak,6,4.878048780487805,42,34.146341463414636,-2.6,3.7,35
switzerland,slope,17,13.821138211382113,0,0.0,1.0,3.0,3
switzerland,ca,118,95.9349593495935,0,0.0,1.0,2.0,2
switzerland,thal,52,42.27642276422764,0,0.0,3.0,7.0,3
va_long_beach,age,0,0.0,0,0.0,35.0,77.0,39
va_long_beach,sex,0,0.0,6,3.0,0.0,1.0,2
va_long_beach,cp,0,0.0,0,0.0,1.0,4.0,4
va_long_beach,trestbps,56,28.0,1,0.5,0.0,190.0,40
va_long_beach,chol,7,3.5,49,24.5,0.0,458.0,99
va_long_beach,fbs,7,3.5,125,62.5,0.0,1.0,2
va_long_beach,restecg,0,0.0,80,40.0,0.0,2.0,3
va_long_beach,thalach,53,26.5,0,0.0,69.0,180.0,59
va_long_beach,exang,53,26.5,52,26.0,0.0,1.0,2
va_long_beach,oldpeak,56,28.0,40,20.0,-0.5,4.0,14
va_long_beach,slope,102,51.0,0,0.0,1.0,3.0,3
va_long_beach,ca,198,99.0,2,1.0,0.0,0.0,1
va_long_beach,thal,166,83.0,0,0.0,3.0,7.0,3
