target,method,n,positive_n,negative_n,brier,log_loss,ece_5,ece_10,calibration_intercept,calibration_slope,calibration_fit_success
hungary,source_only,294,106,188,0.13957657859502423,0.4330831433014238,0.08041247058989237,0.08338658058014854,-0.5465551648380176,0.9726206837624448,True
hungary,pseudo_label_sfda,294,106,188,0.13697883682461523,0.4281956854874209,0.06493846083148608,0.07472154391029866,-0.41801069065991187,0.813522889897307,True
hungary,entropy_sfda,294,106,188,0.13332915133666967,0.42160539558282795,0.057646096959634116,0.0674589012660796,-0.2510422978761683,0.7846174767195263,True
hungary,reliability_gated_sfda,294,106,188,0.13920434168793983,0.4321391474252407,0.06933022759297265,0.08491955700070679,-0.5300097928955453,0.9493870671820099,True
switzerland,source_only,123,115,8,0.16553892725247296,0.49918752456872856,0.2557068897668666,0.2557068897668666,2.417027120785262,0.5749441626455102,True
switzerland,pseudo_label_sfda,123,115,8,0.1604006182309941,0.48496596045911866,0.24141973947606435,0.24141973947606432,2.3822766008457212,0.5462397651810758,True
switzerland,entropy_sfda,123,115,8,0.15415284141856678,0.46733646673283863,0.2273061780516452,0.22730617805164513,2.341357895369424,0.5303089493877617,True
switzerland,reliability_gated_sfda,123,115,8,0.1676836926841143,0.5046072847791939,0.25696888964290054,0.2569688896429006,2.427226965299522,0.5652729893296141,True
va_long_beach,source_only,200,149,51,0.17438664717074537,0.522580138118199,0.0489115091785788,0.06608844134956599,0.5136033978742127,0.6759919634555291,True
va_long_beach,pseudo_label_sfda,200,149,51,0.17411442637641797,0.5232954104120485,0.058676403313875206,0.07309636965394022,0.45961144868065323,0.6352243840986885,True
va_long_beach,entropy_sfda,200,149,51,0.1734757915516039,0.5240666318792369,0.05985707834362981,0.0725498963147402,0.3983534249618399,0.6144569366143955,True
va_long_beach,reliability_gated_sfda,200,149,51,0.1749734791042522,0.5240551027622591,0.05112909737974403,0.06576231192797423,0.5267975212200658,0.6657350414973082,True
