model,method,feature_set,source,evaluation_domain,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,brier,tn,fp,fn,tp
logistic_regression,source_only,CORE8,cleveland,cleveland_oof,0.8796280049131426,0.8684942020250338,0.7920792079207921,0.787638182137217,0.796875,0.7338129496402878,0.8414634146341463,0.7640449438202247,0.5803391188831093,0.13945873737627854,138,26,37,102
logistic_regression,source_only,CORE8,cleveland,hungary,0.8727418707346448,0.8304374686625727,0.8129251700680272,0.80228823765556,0.7297297297297297,0.7641509433962265,0.8404255319148937,0.7465437788018433,0.5988196834354622,0.1329494479493433,158,30,25,81
logistic_regression,source_only,CORE8,cleveland,switzerland,0.7543478260869565,0.9788705016403583,0.7560975609756098,0.6951086956521739,0.967032967032967,0.7652173913043478,0.625,0.8543689320388349,0.21933343973927985,0.16784365532503745,5,3,27,88
logistic_regression,source_only,CORE8,cleveland,va_long_beach,0.7345045400710618,0.8852959408240746,0.755,0.6614686142913542,0.8246753246753247,0.8523489932885906,0.47058823529411764,0.8382838283828383,0.33446991505103574,0.17751553006809231,24,27,22,127
random_forest,source_only,CORE8,cleveland,cleveland_oof,0.8663581330057906,0.8537772445795015,0.768976897689769,0.7662967187225829,0.7555555555555555,0.7338129496402878,0.7987804878048781,0.7445255474452555,0.5339537117718093,0.1477484092409241,131,33,37,102
random_forest,source_only,CORE8,cleveland,hungary,0.884760136491369,0.8334709405780063,0.8163265306122449,0.7967181854676837,0.7549019607843137,0.7264150943396226,0.8670212765957447,0.7403846153846154,0.5986256438652958,0.13266097959183676,163,25,29,77
random_forest,source_only,CORE8,cleveland,switzerland,0.7581521739130436,0.9772236552841481,0.7804878048780488,0.7081521739130434,0.9680851063829787,0.7913043478260869,0.625,0.8708133971291866,0.24184768496096862,0.1713047479674797,5,3,24,91
random_forest,source_only,CORE8,cleveland,va_long_beach,0.7165416502171337,0.8765507534928586,0.73,0.6446900908014213,0.8187919463087249,0.8187919463087249,0.47058823529411764,0.8187919463087249,0.28938018160284246,0.18406886,24,27,27,122
xgboost,source_only,CORE8,cleveland,cleveland_oof,0.8309352517985611,0.8071538864914336,0.7524752475247525,0.7499561326548517,0.7352941176470589,0.7194244604316546,0.7804878048780488,0.7272727272727273,0.5008358712149347,0.19296881556510925,128,36,39,100
xgboost,source_only,CORE8,cleveland,hungary,0.8464472099558411,0.7798925642332813,0.7789115646258503,0.7612906463267763,0.6915887850467289,0.6981132075471698,0.824468085106383,0.6948356807511737,0.5215224688603725,0.17003317177295685,155,33,32,74
xgboost,source_only,CORE8,cleveland,switzerland,0.717391304347826,0.9742143837091455,0.6260162601626016,0.683695652173913,0.9726027397260274,0.6173913043478261,0.75,0.7553191489361702,0.18444902096277838,0.27448412775993347,6,2,44,71
xgboost,source_only,CORE8,cleveland,va_long_beach,0.6970654033425452,0.8682986876925476,0.745,0.6741018555073036,0.8356164383561644,0.8187919463087249,0.5294117647058824,0.8271186440677966,0.3418521453978629,0.2141563594341278,27,24,27,122
lightgbm,source_only,CORE8,cleveland,cleveland_oof,0.8301456395858923,0.8076854213393241,0.7557755775577558,0.7535532549570101,0.7372262773722628,0.7266187050359713,0.7804878048780488,0.7318840579710145,0.5077082053539723,0.18061430825085334,128,36,38,101
lightgbm,source_only,CORE8,cleveland,hungary,0.8590927338418306,0.816218138800767,0.7993197278911565,0.7793054997992774,0.7281553398058253,0.7075471698113207,0.851063829787234,0.7177033492822966,0.562219681024836,0.15076473565035386,160,28,31,75
lightgbm,source_only,CORE8,cleveland,switzerland,0.6467391304347827,0.9682818580068104,0.6585365853658537,0.5847826086956522,0.9506172839506173,0.6695652173913044,0.5,0.7857142857142857,0.08817866715195197,0.2263268316211175,4,4,38,77
lightgbm,source_only,CORE8,cleveland,va_long_beach,0.7131201473878143,0.8730400000810801,0.74,0.6514015001973944,0.8211920529801324,0.8322147651006712,0.47058823529411764,0.8266666666666667,0.30686819778319385,0.18978255703376207,24,27,25,124
