source,target,method,fold_runs,skip_rate_pct,mean_selected_n,mean_selected_per_class,mean_coverage,mean_pseudo_positive_n,mean_pseudo_negative_n,mean_selected_confidence,mean_reliability_score,mean_teacher_positive_rate,mean_positive_rate_before,mean_positive_rate_after,mean_entropy_before,mean_entropy_after,mean_teacher_drift,mean_teacher_drift_v1,mean_missingness_rate,mean_pseudo_positive_fraction,mean_positive_rate_change,mean_entropy_change
cleveland,hungary,conservative_candidate,50,0.0,94.0,47.0,,,,0.9459608459472656,0.7734675136459296,0.4095052289938694,0.4095052289938694,0.40652866931121523,0.38437448024749754,0.3827671581506729,0.001977552823955148,,0.00170032455824012,,-0.0029765596826541708,-0.001607322096824647
cleveland,hungary,entropy_sfda,50,,,,,,,,,,0.4095052289938694,0.35831734583483593,0.38437448024749754,0.30434610426425934,,,0.00170032455824012,,-0.05118788315903353,-0.08002837598323823
cleveland,hungary,pseudo_label_sfda,50,0.0,104.88,,0.4459141723764875,38.0,66.88,0.9465911614894867,,,,,,,,,0.00170032455824012,0.36100203013408544,,
cleveland,hungary,reliability_gated_sfda,50,0.0,94.0,47.0,0.3996610169491525,,,0.9459608459472656,0.7734675136459296,0.4095052289938694,0.4095052289938694,0.4064442841687702,0.38437448024749754,0.37668843924999235,,0.004429502608254504,0.00170032455824012,,-0.0030609448250991742,-0.007686040997505188
cleveland,switzerland,conservative_candidate,50,0.0,39.96,19.98,,,,0.8377993190288544,0.3785884716211128,0.771566687280973,0.771566687280973,0.7762420119562976,0.4447415655851364,0.4442230713367462,0.0025537089491262615,,0.011175530818387897,,0.004675324675324679,-0.0005184942483901911
cleveland,switzerland,entropy_sfda,50,,,,,,,,,,0.771566687280973,0.7919068233353949,0.4447415655851364,0.40746286571025847,,,0.011175530818387897,,0.020340136054421785,-0.03727869987487793
cleveland,switzerland,pseudo_label_sfda,50,0.0,28.0,,0.28450834879406306,25.68,2.32,0.9323670578002929,,,,,,,,,0.011175530818387897,0.9119813350510068,,
cleveland,switzerland,reliability_gated_sfda,50,0.0,39.96,19.98,0.406105957534529,,,0.8377993190288544,0.3785884716211128,0.771566687280973,0.771566687280973,0.7681158524015665,0.4447415655851364,0.44102832973003386,,0.004116389928385564,0.011175530818387897,,-0.003450834879406313,-0.00371323585510254
cleveland,va_long_beach,conservative_candidate,50,0.0,64.0,32.0,,,,0.852228684425354,0.3281541220623651,0.777,0.777,0.778,0.4342629027366638,0.43358138561248777,0.002598645588150208,,0.136875,,0.001000000000000003,-0.0006815171241760376
cleveland,va_long_beach,entropy_sfda,50,,,,,,,,,,0.777,0.780625,0.4342629027366638,0.3828744375705719,,,0.136875,,0.0036250000000000115,-0.05138846516609192
