source,target,seed,method,fold,adapt_n,test_n,missingness_rate,selected_n,coverage,pseudo_positive_n,pseudo_negative_n,mean_selected_confidence,adaptation_skipped,entropy_before,entropy_after,mean_probability_before,mean_probability_after,positive_rate_before,positive_rate_after,confidence_before,confidence_after,selected_per_class,available_positive,available_negative,teacher_positive_rate,class_support_score,reliability_score,mean_abs_teacher_drift,reliability_mode,missingness_factor,teacher_drift
cleveland,hungary,0,pseudo_label_sfda,1,235,59,0.0005319148936170213,102.0,0.4340425531914894,41.0,61.0,0.9423888921737671,False,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,pseudo_label_sfda,2,235,59,0.002127659574468085,108.0,0.4595744680851064,45.0,63.0,0.946300745010376,False,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,pseudo_label_sfda,3,235,59,0.002127659574468085,110.0,0.46808510638297873,42.0,68.0,0.9461804032325745,False,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,pseudo_label_sfda,4,235,59,0.001595744680851064,105.0,0.44680851063829785,46.0,59.0,0.9458396434783936,False,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,pseudo_label_sfda,5,236,58,0.00211864406779661,107.0,0.4533898305084746,46.0,61.0,0.946552574634552,False,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,entropy_sfda,1,235,59,0.0005319148936170213,,,,,,,0.39086687564849854,0.3054238259792328,0.4185502529144287,0.3766721487045288,0.39574468085106385,0.34893617021276596,0.834174633026123,0.8777204751968384,,,,,,,,,,
cleveland,hungary,0,entropy_sfda,2,235,59,0.002127659574468085,,,,,,,0.37551042437553406,0.29488232731819153,0.4379991888999939,0.40756452083587646,0.42127659574468085,0.3829787234042553,0.8425385355949402,0.8836783170700073,,,,,,,,,,
cleveland,hungary,0,entropy_sfda,3,235,59,0.002127659574468085,,,,,,,0.3782179057598114,0.2977285087108612,0.41394028067588806,0.3748381733894348,0.40425531914893614,0.34893617021276596,0.8388489484786987,0.8783425092697144,,,,,,,,,,
cleveland,hungary,0,entropy_sfda,4,235,59,0.001595744680851064,,,,,,,0.3845175802707672,0.29843398928642273,0.4282817542552948,0.3842652440071106,0.40425531914893614,0.35319148936170214,0.8353383541107178,0.8804040551185608,,,,,,,,,,
cleveland,hungary,0,entropy_sfda,5,236,58,0.00211864406779661,,,,,,,0.383905827999115,0.3045003116130829,0.445976585149765,0.41185078024864197,0.4322033898305085,0.3813559322033898,0.8340804576873779,0.8755861520767212,,,,,,,,,,
cleveland,hungary,0,reliability_gated_sfda,1,235,59,0.0005319148936170213,94.0,0.4,,,0.9429079294204712,False,0.39086687564849854,0.3821280896663666,0.4185502529144287,0.41573160886764526,0.39574468085106385,0.39148936170212767,,,47.0,93.0,142.0,0.39574468085106385,0.7914893617021277,0.7459046262672661,0.005170787684619427,,,
cleveland,hungary,0,reliability_gated_sfda,2,235,59,0.002127659574468085,94.0,0.4,,,0.9498621225357056,False,0.37551042437553406,0.3668360412120819,0.4379991888999939,0.43531593680381775,0.42127659574468085,0.41702127659574467,,,47.0,99.0,136.0,0.42127659574468085,0.8425531914893617,0.7986065769389832,0.005107259843498468,,,
cleveland,hungary,0,reliability_gated_sfda,3,235,59,0.002127659574468085,94.0,0.4,,,0.9483804702758789,False,0.3782179057598114,0.3697670102119446,0.41394028067588806,0.41109365224838257,0.40425531914893614,0.40425531914893614,,,47.0,95.0,140.0,0.40425531914893614,0.8085106382978723,0.7651442617137489,0.005011013243347406,,,
cleveland,hungary,0,reliability_gated_sfda,4,235,59,0.001595744680851064,94.0,0.4,,,0.9492382407188416,False,0.3845175802707672,0.37579911947250366,0.4282817542552948,0.4247088134288788,0.40425531914893614,0.4,,,47.0,95.0,140.0,0.40425531914893614,0.8085106382978723,0.7662445309813499,0.005608747247606516,,,
cleveland,hungary,0,reliability_gated_sfda,5,236,58,0.00211864406779661,94.0,0.3983050847457627,,,0.9500547647476196,False,0.383905827999115,0.375734806060791,0.445976585149765,0.4433289170265198,0.4322033898305085,0.4279661016949153,,,47.0,102.0,134.0,0.4322033898305085,0.864406779661017,0.8194938776214655,0.004981923848390579,,,
cleveland,hungary,0,conservative_candidate,1,235,59,0.0005319148936170213,94.0,,,,0.9429079294204712,False,0.39086687564849854,0.3888477683067322,,,0.39574468085106385,0.39148936170212767,,,47.0,,,0.39574468085106385,0.7914893617021277,0.7459046262672661,,full,0.999468085106383,0.002881178865209222
cleveland,hungary,0,conservative_candidate,2,235,59,0.002127659574468085,94.0,,,,0.9498621225357056,False,0.37551042437553406,0.3733421862125397,,,0.42127659574468085,0.41702127659574467,,,47.0,,,0.42127659574468085,0.8425531914893617,0.7986065769389832,,full,0.997872340425532,0.0027597544249147177
cleveland,hungary,0,conservative_candidate,3,235,59,0.002127659574468085,94.0,,,,0.9483804702758789,False,0.3782179057598114,0.3758842349052429,,,0.40425531914893614,0.40425531914893614,,,47.0,,,0.40425531914893614,0.8085106382978723,0.7651442617137489,,full,0.997872340425532,0.0031281085684895515
cleveland,hungary,0,conservative_candidate,4,235,59,0.001595744680851064,94.0,,,,0.9492382407188416,False,0.3845175802707672,0.38273441791534424,,,0.40425531914893614,0.4,,,47.0,,,0.40425531914893614,0.8085106382978723,0.7662445309813499,,full,0.9984042553191489,0.003502025967463851
cleveland,hungary,0,conservative_candidate,5,236,58,0.00211864406779661,94.0,,,,0.9500547647476196,False,0.383905827999115,0.3822144567966461,,,0.4322033898305085,0.4279661016949153,,,47.0,,,0.4322033898305085,0.864406779661017,0.8194938776214655,,full,0.9978813559322034,0.0027267218101769686
cleveland,switzerland,0,pseudo_label_sfda,1,98,25,0.012755102040816325,40.0,0.40816326530612246,37.0,3.0,0.936558723449707,False,,,,,,,,,,,,,,,,,,
cleveland,switzerland,0,pseudo_label_sfda,2,98,25,0.007653061224489795,36.0,0.3673469387755102,34.0,2.0,0.9347870945930481,False,,,,,,,,,,,,,,,,,,
cleveland,switzerland,0,pseudo_label_sfda,3,98,25,0.011479591836734693,31.0,0.3163265306122449,29.0,2.0,0.9306378960609436,False,,,,,,,,,,,,,,,,,,
cleveland,switzerland,0,pseudo_label_sfda,4,99,24,0.01388888888888889,34.0,0.3434343434343434,31.0,3.0,0.9415823817253113,False,,,,,,,,,,,,,,,,,,
