source,target,seed,fold,adapt_n,test_n,target_n,mean_classifier_discrepancy,centroid_distance,positive_rate_before,positive_rate_after,entropy_before,entropy_after,probability_drift,mean_dlar_confident_fraction,mean_pseudo_positive_fraction,mean_dlar_loss,mean_lcl_loss,mean_common_neighbors,mean_lcl_pair_count
cleveland,hungary,0,1,235,59,235,0.026940079405903816,1.583781361579895,0.37021276354789734,0.37021276354789734,0.5086345076560974,0.5007725954055786,0.005839490797370672,0.28425530791282655,0.4340425431728363,0.3081907153129578,0.7126601338386536,1.8059574468085107,424.4
cleveland,hungary,0,2,235,59,235,0.0268192570656538,1.7062021493911743,0.3957446813583374,0.3957446813583374,0.5006109476089478,0.4920453429222107,0.0060582514852285385,0.2706382930278778,0.44255316257476807,0.29582231640815737,0.7170179009437561,1.8570212765957446,436.4
cleveland,hungary,0,3,235,59,235,0.02722860686480999,1.6623549461364746,0.3744680881500244,0.3744680881500244,0.5010125041007996,0.4929334819316864,0.005640157964080572,0.2868084967136383,0.42978721857070923,0.30127092599868777,0.7306512057781219,1.8999999999999997,446.5
cleveland,hungary,0,4,235,59,235,0.02672100067138672,1.6574487686157227,0.3787233829498291,0.36595743894577026,0.5050225853919983,0.4963722229003906,0.006227996200323105,0.27234041690826416,0.42978721857070923,0.3017517626285553,0.6920656144618988,1.8565957446808512,436.3
cleveland,hungary,0,5,236,58,236,0.027606923133134842,1.6565684080123901,0.402542382478714,0.402542382478714,0.507449209690094,0.4993341863155365,0.005806681700050831,0.2533898323774338,0.44915252923965454,0.30685914754867555,0.7373180985450745,1.9076271186440679,450.2
cleveland,switzerland,0,1,98,25,98,0.028200583532452583,1.088157296180725,0.7857142686843872,0.7653061151504517,0.5310891270637512,0.525493323802948,0.005975625943392515,0.1877551019191742,0.6326530575752258,0.3709466397762299,1.0750743865966796,2.527551020408164,247.7
cleveland,switzerland,0,2,98,25,98,0.02814621292054653,1.0533461570739746,0.7653061151504517,0.7448979616165161,0.5371270179748535,0.5309456586837769,0.006623472552746534,0.19795917868614196,0.6326530575752258,0.36590099334716797,1.1203413248062133,2.5632653061224486,251.2
cleveland,switzerland,0,3,98,25,98,0.028686143457889557,0.8595720529556274,0.7755101919174194,0.7653061151504517,0.5589134097099304,0.5544425249099731,0.006090168375521898,0.18979591131210327,0.6020408272743225,0.4001728713512421,1.0431589961051941,2.2193877551020407,217.5
cleveland,switzerland,0,4,99,24,99,0.02893158420920372,1.0437536239624023,0.7676767706871033,0.747474730014801,0.5416761040687561,0.5362696647644043,0.006568305194377899,0.18181818425655366,0.6060606241226196,0.3816250503063202,1.105213212966919,2.543434343434343,251.8
cleveland,switzerland,0,5,99,24,99,0.028225021436810493,1.091490626335144,0.7676767706871033,0.7575757503509521,0.5315988063812256,0.5262800455093384,0.006402831058949232,0.19797979295253754,0.6060606241226196,0.3827979266643524,1.1216235518455506,2.6525252525252525,262.6
cleveland,va_long_beach,0,1,160,40,160,0.02752518095076084,1.2101188898086548,0.737500011920929,0.71875,0.5361038446426392,0.5305067300796509,0.0060345991514623165,0.21250000298023225,0.5712500095367432,0.3730914115905762,1.0415899753570557,2.3987500000000006,383.8
cleveland,va_long_beach,0,2,160,40,160,0.02765703573822975,1.118170976638794,0.768750011920929,0.7562500238418579,0.5391916632652283,0.5335701704025269,0.005683439318090677,0.2225000023841858,0.6150000214576721,0.37017673850059507,1.0584126949310302,2.39625,383.4
cleveland,va_long_beach,0,3,160,40,160,0.02743813395500183,1.0867891311645508,0.762499988079071,0.75,0.5406932234764099,0.5354436039924622,0.005622413009405136,0.20375000536441804,0.612500011920929,0.3763237833976746,0.9831701457500458,2.2456249999999995,359.3
cleveland,va_long_beach,0,4,160,40,160,0.027724672108888626,1.1429226398468018,0.768750011920929,0.7562500238418579,0.5363984107971191,0.5311641097068787,0.005524448584765196,0.21875000298023223,0.59375,0.38298731446266177,1.0022074460983277,2.318125,370.9
cleveland,va_long_beach,0,5,160,40,160,0.02732730284333229,1.1925289630889893,0.737500011920929,0.71875,0.5401664972305298,0.5347601175308228,0.005688517354428768,0.20000000596046447,0.5687500238418579,0.3781855642795563,1.0343764185905457,2.37625,380.2
cleveland,hungary,1,1,235,59,235,0.020823325961828232,1.2840443849563599,0.37021276354789734,0.37021276354789734,0.5277805328369141,0.5159680843353271,0.009005891159176826,0.2468084990978241,0.4510638117790222,0.32755197286605836,0.6729066073894501,1.5876595744680853,373.1
cleveland,hungary,1,2,235,59,235,0.019179750233888626,1.4066014289855957,0.4127659499645233,0.4127659499645233,0.5184150338172913,0.5064733624458313,0.008932084776461124,0.2595744729042053,0.46808508038520813,0.31076349020004274,0.7325645983219147,1.7910638297872339,420.9
cleveland,hungary,1,3,235,59,235,0.020258093252778053,1.3870036602020264,0.37021276354789734,0.37021276354789734,0.515329897403717,0.5035021305084229,0.00863839965313673,0.27659574151039124,0.4544680714607239,0.32071547508239745,0.7183608710765839,1.7604255319148936,413.7
cleveland,hungary,1,4,235,59,235,0.020662229508161545,1.3529940843582153,0.3787233829498291,0.3787233829498291,0.5232774615287781,0.5111144781112671,0.009571447037160397,0.2434042513370514,0.44255316257476807,0.31866409778594973,0.7231785178184509,1.751914893617021,411.7
cleveland,hungary,1,5,236,58,236,0.02048308029770851,1.3700203895568848,0.4067796468734741,0.4067796468734741,0.5244448781013489,0.5131840705871582,0.008702827617526054,0.2305084764957428,0.47033897042274475,0.32518386244773867,0.7646372437477111,1.841949152542373,434.7
cleveland,switzerland,1,1,98,25,98,0.019686929881572723,0.6823694705963135,0.7857142686843872,0.7755101919174194,0.5860931873321533,0.5808325409889221,0.006553518585860729,0.2510204046964645,0.6265306115150452,0.4219561517238617,1.1639431357383727,2.394897959183673,234.7
cleveland,switzerland,1,2,98,25,98,0.018007352948188782,0.6745516657829285,0.7755101919174194,0.7551020383834839,0.5905095338821411,0.5844998955726624,0.006932783871889114,0.2734693825244904,0.6428571343421936,0.40534513592720034,1.2582309246063232,2.53469387755102,248.4
cleveland,switzerland,1,3,98,25,98,0.02018199861049652,0.5456140041351318,0.7755101919174194,0.7551020383834839,0.6058840751647949,0.6009231805801392,0.006777580827474594,0.3122448980808258,0.5918367505073547,0.44734014868736266,1.1898865580558777,2.292857142857143,224.7
cleveland,switzerland,1,4,99,24,99,0.020798567682504654,0.6729644536972046,0.7575757503509521,0.7373737096786499,0.5926842093467712,0.5875498056411743,0.00717190420255065,0.2929292917251587,0.6060606241226196,0.42375160455703736,1.1767691254615784,2.3888888888888893,236.5
cleveland,switzerland,1,5,99,24,99,0.018910814076662064,0.6966692805290222,0.7676767706871033,0.7575757503509521,0.5878395438194275,0.5821578502655029,0.006461497396230698,0.2888888895511627,0.6464646458625793,0.40394326448440554,1.2368796467781067,2.485858585858586,246.1
cleveland,va_long_beach,1,1,160,40,160,0.0212384145706892,0.6751759052276611,0.7562500238418579,0.75,0.5857210159301758,0.5806145071983337,0.0067437379620969296,0.2599999994039536,0.5562500357627869,0.44496063590049745,1.2681973338127137,2.555625,408.9
cleveland,va_long_beach,1,2,160,40,160,0.021710162982344627,0.588408887386322,0.793749988079071,0.793749988079071,0.5897833108901978,0.5855221152305603,0.005948490928858519,0.24750000536441802,0.5562500357627869,0.4714932024478912,1.263073706626892,2.5306249999999997,404.9
cleveland,va_long_beach,1,3,160,40,160,0.02177155390381813,0.6072847247123718,0.793749988079071,0.7875000238418579,0.5868722200393677,0.5827218890190125,0.005946862976998091,0.2150000035762787,0.550000011920929,0.47165507078170776,1.1896835923194886,2.425625,388.1
cleveland,va_long_beach,1,4,160,40,160,0.02116214483976364,0.6087023615837097,0.7875000238418579,0.78125,0.587192714214325,0.5828499794006348,0.006101564504206181,0.25250000357627866,0.550000011920929,0.4699956774711609,1.2370760202407838,2.481875,397.1
cleveland,va_long_beach,1,5,160,40,160,0.021739503368735313,0.6555857062339783,0.7437500357627869,0.737500011920929,0.5890287756919861,0.5843192338943481,0.006662116851657629,0.24875000715255738,0.5375000238418579,0.4558689773082733,1.2764079213142394,2.5524999999999998,408.4
cleveland,hungary,2,1,235,59,235,0.044428661465644836,1.3344944715499878,0.32765957713127136,0.32765957713127136,0.5149493217468262,0.5051264762878418,0.007177975494414568,0.2782978594303131,0.3829787075519562,0.31813764572143555,0.609398752450943,1.5702127659574467,369.0
cleveland,hungary,2,2,235,59,235,0.04477757588028908,1.482986330986023,0.3744680881500244,0.3744680881500244,0.5039648413658142,0.49379101395606995,0.0072318981401622295,0.2876595616340637,0.40851062536239624,0.30378950834274293,0.6130252718925476,1.6727659574468086,393.1
cleveland,hungary,2,3,235,59,235,0.042791057378053665,1.4467819929122925,0.3234042525291443,0.3234042525291443,0.5030885338783264,0.4929761290550232,0.007165445946156979,0.30212764739990233,0.38042551279067993,0.31164405941963197,0.6255270302295685,1.6910638297872338,397.4
cleveland,hungary,2,4,235,59,235,0.04411206766963005,1.470974326133728,0.33191487193107605,0.32765957713127136,0.5040307641029358,0.49303343892097473,0.00824024062603712,0.279148930311203,0.3668085038661957,0.30060361623764037,0.6150081872940063,1.6629787234042552,390.8
cleveland,hungary,2,5,236,58,236,0.045315418392419815,1.4382669925689697,0.36016950011253357,0.36016950011253357,0.5102912187576294,0.5002757906913757,0.007390960585325956,0.26271186470985414,0.39406779408454895,0.312218976020813,0.582972526550293,1.5648305084745764,369.3
cleveland,switzerland,2,1,98,25,98,0.05825159326195717,0.9866772294044495,0.7448979616165161,0.7448979616165161,0.5426512360572815,0.5355492234230042,0.007385155186057091,0.1653061181306839,0.6020408272743225,0.38754655718803405,0.885171091556549,2.2061224489795914,216.2
cleveland,switzerland,2,2,98,25,98,0.05709930136799812,1.0054659843444824,0.714285671710968,0.714285671710968,0.5448147654533386,0.5359311103820801,0.008440759964287281,0.169387748837471,0.6224489808082581,0.36206153631210325,0.994830995798111,2.3489795918367347,230.2
