source,target,mean_confident_fraction,mean_pseudo_positive_fraction,mean_classifier_discrepancy,mean_common_neighbors,mean_probability_drift,mean_positive_rate_before,mean_positive_rate_after,mean_entropy_before,mean_entropy_after,mean_positive_rate_change,mean_entropy_change
cleveland,hungary,0.21184024028480053,0.3925931376218796,0.0342367447912693,1.7558685899747564,0.006802128022536635,0.3639325577020645,0.36342264115810397,0.5327212643623352,0.5241720873117447,-0.0005099165439605424,-0.00854917705059055
cleveland,switzerland,0.22955101770907638,0.5861508920192718,0.03328802950680256,2.272741702741703,0.006051679765805602,0.7260502886772155,0.7205606973171235,0.5504597187042236,0.5442689293622971,-0.005489591360092083,-0.006190789341926517
cleveland,va_long_beach,0.2295000039488077,0.543250008225441,0.030299894846975803,2.10055,0.0054644857719540595,0.732000013589859,0.7211250150203705,0.5414284604787827,0.5367226678133011,-0.010874998569488481,-0.004705792665481545
hungary,cleveland,0.27161921149492263,0.3982566938400269,0.03942716557532549,1.463593238785158,0.006649147178977728,0.33927897036075594,0.3408478564023972,0.5302158200740814,0.52179354429245,0.0015688860416412376,-0.00842227578163146
hungary,switzerland,0.23095691472291946,0.521663566827774,0.038261668346822264,2.1782923108637395,0.006900829765945673,0.534957731962204,0.5343475472927094,0.5914597988128663,0.5847290182113647,-0.0006101846694945845,-0.0067307806015015625
hungary,va_long_beach,0.251850005030632,0.5050250076055527,0.037097283974289894,2.0921125000000003,0.007121612094342708,0.5285000145435333,0.5253750133514404,0.560275708436966,0.5526456141471863,-0.0031250011920929133,-0.007630094289779676
switzerland,cleveland,0.23314470475912097,0.4701599665880203,0.05392715398222208,0.5323658470224126,0.0014871858130209147,0.9999999403953552,0.9999999403953552,0.6097805893421173,0.6099763858318329,0.0,0.00019579648971557173
switzerland,hungary,0.23440850459784268,0.470391549706459,0.05824596799910069,0.5471240533717995,0.0013037969399010763,0.9999999523162841,0.9999999523162841,0.6129033958911896,0.6129524672031402,0.0,4.9071311950643626e-05
switzerland,va_long_beach,0.2079500035196543,0.47182500660419463,0.062466747984290125,0.814975,0.001195035584969446,1.0,1.0,0.608750062584877,0.6081259632110596,0.0,-0.000624099373817355
va_long_beach,cleveland,0.22678093296289442,0.43539889037609103,0.02892245527356863,0.719230248614087,0.0024352128920145334,0.9999999403953552,0.9999999403953552,0.6086786341667175,0.6087053143978118,0.0,2.6680231094311502e-05
va_long_beach,hungary,0.21779184392094614,0.41057633352279665,0.028232660964131354,0.8261092679408583,0.0024438686412759127,0.9999999523162841,0.9999999523162841,0.6268287801742554,0.6266368389129638,0.0,-0.00019194126129151723
va_long_beach,switzerland,0.2579501102566719,0.47327148544788356,0.026352429166436195,1.2594308390022675,0.0019352279137820005,1.0,1.0,0.5913132512569428,0.5898792314529419,0.0,-0.00143401980400093
