source,target,mean_source_auc,sd_source_auc,mean_adapted_auc,sd_adapted_auc,mean_delta_auc,sd_delta_auc,mean_delta_pr_auc,mean_brier_improvement,sd_brier_improvement,mean_delta_balanced_accuracy,negative_adaptation_rate,brier_worsening_rate,negative_adaptation_rate_pct,brier_worsening_rate_pct
cleveland,hungary,0.862454837414693,0.007541914138444292,0.8620383380168606,0.007490321940249289,-0.00041649939783219294,0.00025373088840132855,-0.0003130915131045242,0.0006650763028925116,0.0005144496859160652,-0.00014552388598957356,1.0,0.1,100.0,10.0
cleveland,switzerland,0.7468478260869565,0.016740934089413764,0.7452173913043478,0.016131938677500682,-0.001630434782608703,0.0012809905456277987,-0.0001833182256063992,-0.0022270142971381134,0.0013347957265321413,0.003641304347826102,0.9,1.0,90.0,100.0
cleveland,va_long_beach,0.7276483747861561,0.009562953514702818,0.7278984076852217,0.009610992798277904,0.0002500328990656775,0.0005094813320431563,2.5078202931250183e-05,-0.0009252936963151159,0.000280883008062927,0.00216475852085799,0.2,1.0,20.0,100.0
hungary,cleveland,0.8653404105983507,0.00692946859621592,0.8652439024390244,0.006886333355271288,-9.650815932621404e-05,0.00015026300027682333,-6.053832527105341e-05,0.0005680339472104168,0.00038032889994145034,0.00010966836287067405,0.6,0.1,60.0,10.0
hungary,switzerland,0.7402173913043478,0.018488914235033443,0.7403260869565218,0.018328105458432997,0.00010869565217390687,0.0024278066040219386,0.00020666570029206354,-0.001990045105238891,0.0022176567113454744,-0.00043478260869564964,0.3,0.7,30.0,70.0
hungary,va_long_beach,0.7347677325963942,0.007975790271223028,0.7350046058691933,0.007929286066410628,0.00023687327279909854,0.0004421495168085428,4.2956755439738095e-05,-0.0021577390131044677,0.0009845651840190977,-0.000697460192130539,0.3,1.0,30.0,100.0
switzerland,cleveland,0.563019828040007,0.17433586498208462,0.5617893490085979,0.1798173027192064,-0.0012304790314090265,0.006698202293264196,0.00038302583272162294,0.0002450830775453328,0.0010027646780627415,0.0,0.5,0.4,50.0,40.0
switzerland,hungary,0.6392939582496989,0.17801093111324254,0.6367171818546769,0.1842328105330299,-0.0025767763950220735,0.008057706701268541,-0.00030794793608120987,0.00022403610764255567,0.0009748697464960603,0.0,0.6,0.5,60.0,50.0
switzerland,va_long_beach,0.6136333728122121,0.0769430555184446,0.6149230161863404,0.07800278477992274,0.0012896433741282076,0.0027762341363463338,0.0005948567985058384,0.00025531868423287195,0.00023475034703145816,0.0,0.4,0.2,40.0,20.0
va_long_beach,cleveland,0.7958545358834883,0.0381123173244383,0.798170731707317,0.03726780163304626,0.002316195823828704,0.0013559985417678274,0.0020617538417543437,0.001503930236171258,0.0006044668441183826,0.0,0.1,0.0,10.0,0.0
va_long_beach,hungary,0.8535226816539542,0.03440772374055264,0.8545513849859494,0.033746811734237984,0.0010287033319951954,0.001116636927983176,0.0009642719310152925,0.0016117628302870445,0.000510960755380825,0.0,0.2,0.0,20.0,0.0
va_long_beach,switzerland,0.6954347826086956,0.0391867549605122,0.6954347826086956,0.03829214795272025,2.2204460492503132e-17,0.002561981091255592,0.0003596297230921919,0.00036006237357778803,0.00023792346393130046,0.0,0.4,0.0,40.0,0.0
