source,target,feature,ks_statistic,ks_pvalue,source_n,target_n,source_median,target_median
cleveland,hungary,age,0.3553916616151411,2.816493349166703e-17,303,294,56.0,49.0
cleveland,hungary,trestbps,0.06223318577591541,0.5803219224138961,303,293,130.0,130.0
cleveland,hungary,thalach,0.26139064418387237,1.850007265984935e-09,303,293,153.0,140.0
cleveland,hungary,oldpeak,0.31612446958981605,1.0448402554300387e-13,303,294,0.8,0.0
cleveland,switzerland,age,0.08387668035096188,0.5354312754656346,303,123,56.0,56.0
cleveland,switzerland,trestbps,0.1589613506805226,0.022437054208951968,303,121,130.0,125.0
cleveland,switzerland,thalach,0.4642103554617758,1.5819119195984693e-17,303,122,153.0,121.0
cleveland,switzerland,oldpeak,0.1262587797241263,0.1224157397614278,303,117,0.8,0.3
cleveland,va_long_beach,age,0.2619471947194719,8.96574925114056e-08,303,200,56.0,60.0
cleveland,va_long_beach,trestbps,0.10385653950010387,0.2251941954198733,303,143,130.0,130.0
cleveland,va_long_beach,thalach,0.5159964976089446,1.2005982531408378e-24,303,147,153.0,120.0
cleveland,va_long_beach,oldpeak,0.2238036303630363,8.81619645179286e-05,303,144,0.8,1.5
