source,target,seed,fold,model_state,adapt_n,test_n,background_n,background_target_indices,max_additivity_error,mean_additivity_error,adapt_selected_n,adapt_coverage,adapt_pseudo_positive_n,adapt_pseudo_negative_n,adapt_mean_selected_confidence,adapt_adaptation_skipped,adapt_entropy_before,adapt_entropy_after,adapt_mean_probability_before,adapt_mean_probability_after,adapt_positive_rate_before,adapt_positive_rate_after,adapt_confidence_before,adapt_confidence_after,adapt_selected_per_class,adapt_available_positive,adapt_available_negative,adapt_teacher_positive_rate,adapt_class_support_score,adapt_missingness_rate,adapt_reliability_score,adapt_mean_abs_teacher_drift,adapt_missingness_factor,adapt_teacher_drift
cleveland,hungary,0,1,source_only,235,59,32,0;4;6;8;23;26;41;44;49;65;77;98;99;102;103;134;144;150;155;163;176;199;202;211;223;226;229;233;246;247;256;269,8.370261639356613e-07,1.3122769167362633e-07,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,1,pseudo_label_sfda,235,59,32,0;4;6;8;23;26;41;44;49;65;77;98;99;102;103;134;144;150;155;163;176;199;202;211;223;226;229;233;246;247;256;269,7.60890543460846e-07,1.470300850411088e-07,102.0,0.4340425531914894,41.0,61.0,0.9423888921737671,False,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,1,entropy_sfda,235,59,32,0;4;6;8;23;26;41;44;49;65;77;98;99;102;103;134;144;150;155;163;176;199;202;211;223;226;229;233;246;247;256;269,5.378387868404388e-07,1.517456455029926e-07,,,,,,,0.39086687564849854,0.3054238259792328,0.4185502529144287,0.3766721487045288,0.39574468085106385,0.34893617021276596,0.834174633026123,0.8777204751968384,,,,,,,,,,
cleveland,hungary,0,1,reliability_gated_sfda,235,59,32,0;4;6;8;23;26;41;44;49;65;77;98;99;102;103;134;144;150;155;163;176;199;202;211;223;226;229;233;246;247;256;269,5.993060767650604e-07,1.8068841832169032e-07,94.0,0.4,,,0.9429079294204712,False,0.39086687564849854,0.3821280896663666,0.4185502529144287,0.41573160886764526,0.39574468085106385,0.39148936170212767,,,47.0,93.0,142.0,0.39574468085106385,0.7914893617021277,0.0005319148936170213,0.7459046262672661,0.005170787684619427,,
cleveland,hungary,0,1,conservative_candidate,235,59,32,0;4;6;8;23;26;41;44;49;65;77;98;99;102;103;134;144;150;155;163;176;199;202;211;223;226;229;233;246;247;256;269,8.619390428066254e-07,1.475744253277021e-07,94.0,,,,0.9429079294204712,False,0.39086687564849854,0.3888477683067322,,,0.39574468085106385,0.39148936170212767,,,47.0,,,0.39574468085106385,0.7914893617021277,0.0005319148936170213,0.7459046262672661,,0.999468085106383,0.002881178865209222
cleveland,hungary,0,2,source_only,235,59,32,3;14;26;44;52;54;63;79;83;91;95;100;108;115;128;136;138;151;153;161;173;178;186;192;210;226;229;233;252;264;274;291,3.771856427192688e-07,1.095002023818887e-07,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,2,pseudo_label_sfda,235,59,32,3;14;26;44;52;54;63;79;83;91;95;100;108;115;128;136;138;151;153;161;173;178;186;192;210;226;229;233;252;264;274;291,3.657769411802292e-07,1.3392093671304253e-07,108.0,0.4595744680851064,45.0,63.0,0.946300745010376,False,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,2,entropy_sfda,235,59,32,3;14;26;44;52;54;63;79;83;91;95;100;108;115;128;136;138;151;153;161;173;178;186;192;210;226;229;233;252;264;274;291,7.145572453737259e-07,1.7134188040518754e-07,,,,,,,0.37551042437553406,0.29488232731819153,0.4379991888999939,0.40756452083587646,0.42127659574468085,0.3829787234042553,0.8425385355949402,0.8836783170700073,,,,,,,,,,
cleveland,hungary,0,2,reliability_gated_sfda,235,59,32,3;14;26;44;52;54;63;79;83;91;95;100;108;115;128;136;138;151;153;161;173;178;186;192;210;226;229;233;252;264;274;291,5.868496373295784e-07,1.3025067855162008e-07,94.0,0.4,,,0.9498621225357056,False,0.37551042437553406,0.3668360412120819,0.4379991888999939,0.43531593680381775,0.42127659574468085,0.41702127659574467,,,47.0,99.0,136.0,0.42127659574468085,0.8425531914893617,0.002127659574468085,0.7986065769389832,0.005107259843498468,,
cleveland,hungary,0,2,conservative_candidate,235,59,32,3;14;26;44;52;54;63;79;83;91;95;100;108;115;128;136;138;151;153;161;173;178;186;192;210;226;229;233;252;264;274;291,4.33123204857111e-07,1.3023692822494244e-07,94.0,,,,0.9498621225357056,False,0.37551042437553406,0.3733421862125397,,,0.42127659574468085,0.41702127659574467,,,47.0,,,0.42127659574468085,0.8425531914893617,0.002127659574468085,0.7986065769389832,,0.997872340425532,0.0027597544249147177
cleveland,hungary,0,3,source_only,235,59,32,3;9;31;32;36;39;45;54;58;60;63;68;70;75;77;90;111;116;135;157;161;175;176;197;209;213;214;222;223;226;264;274,3.986060619354248e-07,1.2330553036625103e-07,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,3,pseudo_label_sfda,235,59,32,3;9;31;32;36;39;45;54;58;60;63;68;70;75;77;90;111;116;135;157;161;175;176;197;209;213;214;222;223;226;264;274,6.407499313354492e-07,1.7719793180793018e-07,110.0,0.46808510638297873,42.0,68.0,0.9461804032325745,False,,,,,,,,,,,,,,,,,,
cleveland,hungary,0,3,entropy_sfda,235,59,32,3;9;31;32;36;39;45;54;58;60;63;68;70;75;77;90;111;116;135;157;161;175;176;197;209;213;214;222;223;226;264;274,5.532056093215942e-07,1.6653705072605004e-07,,,,,,,0.3782179057598114,0.2977285087108612,0.41394028067588806,0.3748381733894348,0.40425531914893614,0.34893617021276596,0.8388489484786987,0.8783425092697144,,,,,,,,,,
cleveland,hungary,0,3,reliability_gated_sfda,235,59,32,3;9;31;32;36;39;45;54;58;60;63;68;70;75;77;90;111;116;135;157;161;175;176;197;209;213;214;222;223;226;264;274,4.78699803352356e-07,1.4770341942370949e-07,94.0,0.4,,,0.9483804702758789,False,0.3782179057598114,0.3697670102119446,0.41394028067588806,0.41109365224838257,0.40425531914893614,0.40425531914893614,,,47.0,95.0,140.0,0.40425531914893614,0.8085106382978723,0.002127659574468085,0.7651442617137489,0.005011013243347406,,
cleveland,hungary,0,3,conservative_candidate,235,59,32,3;9;31;32;36;39;45;54;58;60;63;68;70;75;77;90;111;116;135;157;161;175;176;197;209;213;214;222;223;226;264;274,5.224719643592834e-07,1.2942128104426093e-07,94.0,,,,0.9483804702758789,False,0.3782179057598114,0.3758842349052429,,,0.40425531914893614,0.40425531914893614,,,47.0,,,0.40425531914893614,0.8085106382978723,0.002127659574468085,0.7651442617137489,,0.997872340425532,0.0031281085684895515
