source,target,seed,fold,model_state,adapt_n,test_n,background_n,background_target_indices,max_additivity_error,mean_additivity_error,adapt_selected_n,adapt_coverage,adapt_pseudo_positive_n,adapt_pseudo_negative_n,adapt_mean_selected_confidence,adapt_adaptation_skipped,adapt_entropy_before,adapt_entropy_after,adapt_mean_probability_before,adapt_mean_probability_after,adapt_positive_rate_before,adapt_positive_rate_after,adapt_confidence_before,adapt_confidence_after,adapt_selected_per_class,adapt_available_positive,adapt_available_negative,adapt_teacher_positive_rate,adapt_class_support_score,adapt_missingness_rate,adapt_reliability_score,adapt_mean_abs_teacher_drift,adapt_missingness_factor,adapt_teacher_drift
cleveland,switzerland,2,1,source_only,98,25,32,1;5;14;15;16;37;38;39;41;49;50;54;67;70;73;75;78;79;82;84;85;86;87;90;98;101;111;112;114;115;119;120,4.936009645462036e-07,1.9703991711139678e-07,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,switzerland,2,1,pseudo_label_sfda,98,25,32,1;5;14;15;16;37;38;39;41;49;50;54;67;70;73;75;78;79;82;84;85;86;87;90;98;101;111;112;114;115;119;120,3.4086406230926514e-07,1.4277175068855287e-07,35.0,0.35714285714285715,31.0,4.0,0.9345058798789978,False,,,,,,,,,,,,,,,,,,
cleveland,switzerland,2,1,entropy_sfda,98,25,32,1;5;14;15;16;37;38;39;41;49;50;54;67;70;73;75;78;79;82;84;85;86;87;90;98;101;111;112;114;115;119;120,2.5704503059387207e-07,9.109266102313996e-08,,,,,,,0.42558541893959045,0.38444623351097107,0.7175975441932678,0.7466309070587158,0.7755102040816326,0.8163265306122449,0.8142842650413513,0.8375157713890076,,,,,,,,,,
cleveland,switzerland,2,1,reliability_gated_sfda,98,25,32,1;5;14;15;16;37;38;39;41;49;50;54;67;70;73;75;78;79;82;84;85;86;87;90;98;101;111;112;114;115;119;120,3.5762786865234375e-07,1.4320947229862214e-07,40.0,0.40816326530612246,,,0.8411635160446167,False,0.42558541893959045,0.4210536479949951,0.7175975441932678,0.7166779041290283,0.7755102040816326,0.7755102040816326,,,20.0,76.0,22.0,0.7755102040816326,0.44897959183673475,0.012755102040816325,0.37284809327383733,0.0039657228626310825,,
cleveland,switzerland,2,1,conservative_candidate,98,25,32,1;5;14;15;16;37;38;39;41;49;50;54;67;70;73;75;78;79;82;84;85;86;87;90;98;101;111;112;114;115;119;120,3.8836151361465454e-07,1.441594213247299e-07,40.0,,,,0.8411635160446167,False,0.42558541893959045,0.4234272241592407,,,0.7755102040816326,0.7857142857142857,,,20.0,,,0.7755102040816326,0.44897959183673475,0.012755102040816325,0.37284809327383733,,0.9872448979591837,0.003722131485119462
cleveland,switzerland,2,2,source_only,98,25,32,6;7;8;10;16;19;21;37;46;49;50;57;62;67;68;80;81;82;88;92;98;99;102;103;104;107;110;111;112;113;114;119,3.7497375160455704e-07,1.2627337127923966e-07,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,switzerland,2,2,pseudo_label_sfda,98,25,32,6;7;8;10;16;19;21;37;46;49;50;57;62;67;68;80;81;82;88;92;98;99;102;103;104;107;110;111;112;113;114;119,3.5669654607772827e-07,1.1155381798744202e-07,31.0,0.3163265306122449,28.0,3.0,0.9303317666053772,False,,,,,,,,,,,,,,,,,,
cleveland,switzerland,2,2,entropy_sfda,98,25,32,6;7;8;10;16;19;21;37;46;49;50;57;62;67;68;80;81;82;88;92;98;99;102;103;104;107;110;111;112;113;114;119,5.392357707023621e-07,1.493096351623535e-07,,,,,,,0.43522292375564575,0.3958122432231903,0.7059074640274048,0.7332043647766113,0.7653061224489796,0.7959183673469388,0.8072155714035034,0.8298896551132202,,,,,,,,,,
cleveland,switzerland,2,2,reliability_gated_sfda,98,25,32,6;7;8;10;16;19;21;37;46;49;50;57;62;67;68;80;81;82;88;92;98;99;102;103;104;107;110;111;112;113;114;119,5.41098415851593e-07,1.0314397513866425e-07,40.0,0.40816326530612246,,,0.8428239822387695,False,0.43522292375564575,0.430997371673584,0.7059074640274048,0.7029011845588684,0.7653061224489796,0.7653061224489796,,,20.0,75.0,23.0,0.7653061224489796,0.4693877551020409,0.007653061224489795,0.39258361979853557,0.005309246480464935,,
cleveland,switzerland,2,2,conservative_candidate,98,25,32,6;7;8;10;16;19;21;37;46;49;50;57;62;67;68;80;81;82;88;92;98;99;102;103;104;107;110;111;112;113;114;119,3.5669654607772827e-07,9.218696504831314e-08,40.0,,,,0.8428239822387695,False,0.43522292375564575,0.4342809021472931,,,0.7653061224489796,0.7755102040816326,,,20.0,,,0.7653061224489796,0.4693877551020409,0.007653061224489795,0.39258361979853557,,0.9923469387755102,0.002218035515397787
