source,target,seed,fold,model_state,adapt_n,test_n,background_n,background_target_indices,max_additivity_error,mean_additivity_error,adapt_selected_n,adapt_coverage,adapt_pseudo_positive_n,adapt_pseudo_negative_n,adapt_mean_selected_confidence,adapt_adaptation_skipped,adapt_entropy_before,adapt_entropy_after,adapt_mean_probability_before,adapt_mean_probability_after,adapt_positive_rate_before,adapt_positive_rate_after,adapt_confidence_before,adapt_confidence_after,adapt_selected_per_class,adapt_available_positive,adapt_available_negative,adapt_teacher_positive_rate,adapt_class_support_score,adapt_missingness_rate,adapt_reliability_score,adapt_mean_abs_teacher_drift,adapt_missingness_factor,adapt_teacher_drift
cleveland,va_long_beach,5,1,source_only,160,40,32,1;4;5;8;22;27;33;38;46;47;48;54;63;64;74;81;97;108;109;116;117;118;144;151;155;161;168;172;187;189;193;196,7.222406566143036e-07,1.298263669013977e-07,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,va_long_beach,5,1,pseudo_label_sfda,160,40,32,1;4;5;8;22;27;33;38;46;47;48;54;63;64;74;81;97;108;109;116;117;118;144;151;155;161;168;172;187;189;193;196,3.3387914299964905e-07,1.2492819223552942e-07,58.0,0.3625,54.0,4.0,0.9334248900413513,False,,,,,,,,,,,,,,,,,,
cleveland,va_long_beach,5,1,entropy_sfda,160,40,32,1;4;5;8;22;27;33;38;46;47;48;54;63;64;74;81;97;108;109;116;117;118;144;151;155;161;168;172;187;189;193;196,6.433110684156418e-07,1.2937671272084118e-07,,,,,,,0.4289373457431793,0.38565492630004883,0.7028251886367798,0.7222049832344055,0.7625,0.7625,0.8196336627006531,0.8455036282539368,,,,,,,,,,
cleveland,va_long_beach,5,1,reliability_gated_sfda,160,40,32,1;4;5;8;22;27;33;38;46;47;48;54;63;64;74;81;97;108;109;116;117;118;144;151;155;161;168;172;187;189;193;196,2.584420144557953e-07,1.0128715075552463e-07,64.0,0.4,,,0.8614749908447266,False,0.4289373457431793,0.4254182279109955,0.7028251886367798,0.700231671333313,0.7625,0.7625,,,32.0,122.0,38.0,0.7625,0.4750000000000001,0.13984375,0.35197647135704757,0.003746224567294121,,
cleveland,va_long_beach,5,1,conservative_candidate,160,40,32,1;4;5;8;22;27;33;38;46;47;48;54;63;64;74;81;97;108;109;116;117;118;144;151;155;161;168;172;187;189;193;196,3.650784492492676e-07,1.0858057066798211e-07,64.0,,,,0.8614749908447266,False,0.4289373457431793,0.42897629737854004,,,0.7625,0.7625,,,32.0,,,0.7625,0.4750000000000001,0.13984375,0.35197647135704757,,0.86015625,0.002211916958913207
cleveland,va_long_beach,5,2,source_only,160,40,32,13;15;22;32;34;36;47;54;57;61;64;70;82;89;92;108;109;124;125;129;130;138;142;146;149;152;161;165;168;175;190;196,3.809109330177307e-07,1.3745302567258478e-07,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,va_long_beach,5,2,pseudo_label_sfda,160,40,32,13;15;22;32;34;36;47;54;57;61;64;70;82;89;92;108;109;124;125;129;130;138;142;146;149;152;161;165;168;175;190;196,3.8836151361465454e-07,1.1834490578621626e-07,55.0,0.34375,52.0,3.0,0.9339555501937866,False,,,,,,,,,,,,,,,,,,
cleveland,va_long_beach,5,2,entropy_sfda,160,40,32,13;15;22;32;34;36;47;54;57;61;64;70;82;89;92;108;109;124;125;129;130;138;142;146;149;152;161;165;168;175;190;196,3.5669654607772827e-07,1.2719538062810897e-07,,,,,,,0.4328518509864807,0.38797491788864136,0.7238588333129883,0.7503436207771301,0.79375,0.79375,0.8178104162216187,0.8439280390739441,,,,,,,,,,
cleveland,va_long_beach,5,2,reliability_gated_sfda,160,40,32,13;15;22;32;34;36;47;54;57;61;64;70;82;89;92;108;109;124;125;129;130;138;142;146;149;152;161;165;168;175;190;196,3.3155083656311035e-07,9.919749572873116e-08,64.0,0.4,,,0.8402637243270874,False,0.4328518509864807,0.4294961094856262,0.7238588333129883,0.7229204177856445,0.79375,0.79375,,,32.0,127.0,33.0,0.79375,0.4125000000000001,0.13828125000000002,0.29867929005646154,0.0028860808815807104,,
cleveland,va_long_beach,5,2,conservative_candidate,160,40,32,13;15;22;32;34;36;47;54;57;61;64;70;82;89;92;108;109;124;125;129;130;138;142;146;149;152;161;165;168;175;190;196,5.466863512992859e-07,1.0924122761934996e-07,64.0,,,,0.8402637243270874,False,0.4328518509864807,0.43185630440711975,,,0.79375,0.79375,,,32.0,,,0.79375,0.4125000000000001,0.13828125000000002,0.29867929005646154,,0.86171875,0.0030441484414041042
cleveland,va_long_beach,5,3,source_only,160,40,32,1;7;20;29;35;38;60;63;69;75;86;93;95;105;108;110;113;119;124;130;136;137;138;139;140;147;149;169;175;178;179;188,3.641471266746521e-07,1.1493393685668707e-07,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,va_long_beach,5,3,pseudo_label_sfda,160,40,32,1;7;20;29;35;38;60;63;69;75;86;93;95;105;108;110;113;119;124;130;136;137;138;139;140;147;149;169;175;178;179;188,6.486661732196808e-07,1.4704710338264704e-07,56.0,0.35,52.0,4.0,0.9360953569412231,False,,,,,,,,,,,,,,,,,,
cleveland,va_long_beach,5,3,entropy_sfda,160,40,32,1;7;20;29;35;38;60;63;69;75;86;93;95;105;108;110;113;119;124;130;136;137;138;139;140;147;149;169;175;178;179;188,4.163011908531189e-07,1.157604856416583e-07,,,,,,,0.43358954787254333,0.38962334394454956,0.7249048948287964,0.7547714114189148,0.79375,0.79375,0.8142045736312866,0.8391748666763306,,,,,,,,,,
cleveland,va_long_beach,5,3,reliability_gated_sfda,160,40,32,1;7;20;29;35;38;60;63;69;75;86;93;95;105;108;110;113;119;124;130;136;137;138;139;140;147;149;169;175;178;179;188,3.417953848838806e-07,9.967188816517591e-08,64.0,0.4,,,0.8360216617584229,False,0.43358954787254333,0.43068188428878784,0.7249048948287964,0.7242268323898315,0.79375,0.79375,,,32.0,127.0,33.0,0.79375,0.4125000000000001,0.12578125,0.3014821474975907,0.002502766437828541,,
cleveland,va_long_beach,5,3,conservative_candidate,160,40,32,1;7;20;29;35;38;60;63;69;75;86;93;95;105;108;110;113;119;124;130;136;137;138;139;140;147;149;169;175;178;179;188,3.1851232051849365e-07,1.0900548659265042e-07,64.0,,,,0.8360216617584229,False,0.43358954787254333,0.43271368741989136,,,0.79375,0.79375,,,32.0,,,0.79375,0.4125000000000001,0.12578125,0.3014821474975907,,0.87421875,0.0032433513551950455
cleveland,va_long_beach,5,4,source_only,160,40,32,1;19;20;27;35;36;42;44;46;52;58;60;67;70;77;78;88;90;100;118;135;139;141;143;164;167;170;172;174;175;197;199,4.484318196773529e-07,1.5295809134840966e-07,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,va_long_beach,5,4,pseudo_label_sfda,160,40,32,1;19;20;27;35;36;42;44;46;52;58;60;67;70;77;78;88;90;100;118;135;139;141;143;164;167;170;172;174;175;197;199,5.103647708892822e-07,1.3973403838463129e-07,59.0,0.36875,57.0,2.0,0.9348210692405701,False,,,,,,,,,,,,,,,,,,
cleveland,va_long_beach,5,4,entropy_sfda,160,40,32,1;19;20;27;35;36;42;44;46;52;58;60;67;70;77;78;88;90;100;118;135;139;141;143;164;167;170;172;174;175;197;199,4.470348358154297e-07,1.6287449398078024e-07,,,,,,,0.4280855059623718,0.38461244106292725,0.7232519388198853,0.7488247156143188,0.79375,0.79375,0.8189838528633118,0.8446488380432129,,,,,,,,,,
cleveland,va_long_beach,5,4,reliability_gated_sfda,160,40,32,1;19;20;27;35;36;42;44;46;52;58;60;67;70;77;78;88;90;100;118;135;139;141;143;164;167;170;172;174;175;197;199,3.4854747354984283e-07,1.1283846106380224e-07,64.0,0.4,,,0.8448082208633423,False,0.4280855059623718,0.42540448904037476,0.7232519388198853,0.7213829159736633,0.79375,0.79375,,,32.0,127.0,33.0,0.79375,0.4125000000000001,0.1328125,0.30220044072484603,0.002924747299402952,,
cleveland,va_long_beach,5,4,conservative_candidate,160,40,32,1;19;20;27;35;36;42;44;46;52;58;60;67;70;77;78;88;90;100;118;135;139;141;143;164;167;170;172;174;175;197;199,2.8870999813079834e-07,8.546630851924419e-08,64.0,,,,0.8448082208633423,False,0.4280855059623718,0.42827945947647095,,,0.79375,0.79375,,,32.0,,,0.79375,0.4125000000000001,0.1328125,0.30220044072484603,,0.8671875,0.002052451018244028
cleveland,va_long_beach,5,5,source_only,160,40,32,4;6;23;30;31;64;65;73;76;78;79;81;84;89;93;95;97;100;104;113;117;118;122;127;139;146;148;153;158;162;163;186,5.124602466821671e-07,1.0518997441977263e-07,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,va_long_beach,5,5,pseudo_label_sfda,160,40,32,4;6;23;30;31;64;65;73;76;78;79;81;84;89;93;95;97;100;104;113;117;118;122;127;139;146;148;153;158;162;163;186,3.2782554626464844e-07,1.0785006452351808e-07,56.0,0.35,53.0,3.0,0.9351149797439575,False,,,,,,,,,,,,,,,,,,
cleveland,va_long_beach,5,5,entropy_sfda,160,40,32,4;6;23;30;31;64;65;73;76;78;79;81;84;89;93;95;97;100;104;113;117;118;122;127;139;146;148;153;158;162;163;186,2.9208604246377945e-07,1.0088660928886384e-07,,,,,,,0.4374789297580719,0.39478442072868347,0.6968890428543091,0.715824544429779,0.75625,0.75625,0.8124988675117493,0.838967502117157,,,,,,,,,,
cleveland,va_long_beach,5,5,reliability_gated_sfda,160,40,32,4;6;23;30;31;64;65;73;76;78;79;81;84;89;93;95;97;100;104;113;117;118;122;127;139;146;148;153;158;162;163;186,3.2456591725349426e-07,9.884970495477318e-08,64.0,0.4,,,0.8601795434951782,False,0.4374789297580719,0.4341050684452057,0.6968890428543091,0.6941083669662476,0.75625,0.75625,,,32.0,121.0,39.0,0.75625,0.48750000000000004,0.14765625,0.35741972066578453,0.0037663429975509644,,
cleveland,va_long_beach,5,5,conservative_candidate,160,40,32,4;6;23;30;31;64;65;73;76;78;79;81;84;89;93;95;97;100;104;113;117;118;122;127;139;146;148;153;158;162;163;186,3.688037395477295e-07,1.2646050890907644e-07,64.0,,,,0.8601795434951782,False,0.4374789297580719,0.43735218048095703,,,0.75625,0.75625,,,32.0,,,0.75625,0.48750000000000004,0.14765625,0.35741972066578453,,0.85234375,0.0023319243919104338
