source,target,seed,fold,model_state,adapt_n,test_n,background_n,background_target_indices,max_additivity_error,mean_additivity_error,adapt_selected_n,adapt_coverage,adapt_pseudo_positive_n,adapt_pseudo_negative_n,adapt_mean_selected_confidence,adapt_adaptation_skipped,adapt_entropy_before,adapt_entropy_after,adapt_mean_probability_before,adapt_mean_probability_after,adapt_positive_rate_before,adapt_positive_rate_after,adapt_confidence_before,adapt_confidence_after,adapt_selected_per_class,adapt_available_positive,adapt_available_negative,adapt_teacher_positive_rate,adapt_class_support_score,adapt_missingness_rate,adapt_reliability_score,adapt_mean_abs_teacher_drift,adapt_missingness_factor,adapt_teacher_drift
hungary,cleveland,4,1,source_only,242,61,32,20;22;28;35;36;43;49;66;68;69;83;97;105;117;130;136;138;155;180;196;208;214;234;247;256;257;258;263;264;276;282;286,5.755573511123657e-07,1.2284202012615127e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,cleveland,4,1,pseudo_label_sfda,242,61,32,20;22;28;35;36;43;49;66;68;69;83;97;105;117;130;136;138;155;180;196;208;214;234;247;256;257;258;263;264;276;282;286,3.986060619354248e-07,1.4764325479503538e-07,96.0,0.39669421487603307,35.0,61.0,0.9435409903526306,False,,,,,,,,,,,,,,,,,,
hungary,cleveland,4,1,entropy_sfda,242,61,32,20;22;28;35;36;43;49;66;68;69;83;97;105;117;130;136;138;155;180;196;208;214;234;247;256;257;258;263;264;276;282;286,5.569308996200562e-07,1.5475985700966883e-07,,,,,,,0.4129733145236969,0.3302934467792511,0.40559664368629456,0.3674280047416687,0.371900826446281,0.3347107438016529,0.816638708114624,0.8616836071014404,,,,,,,,,,
hungary,cleveland,4,1,reliability_gated_sfda,242,61,32,20;22;28;35;36;43;49;66;68;69;83;97;105;117;130;136;138;155;180;196;208;214;234;247;256;257;258;263;264;276;282;286,4.76837158203125e-07,1.322878830012728e-07,96.0,0.39669421487603307,,,0.9359790682792664,False,0.4129733145236969,0.40575146675109863,0.40559664368629456,0.40655410289764404,0.371900826446281,0.371900826446281,,,48.0,90.0,152.0,0.371900826446281,0.743801652892562,0.0,0.6961827780589585,0.004729042295366526,,
hungary,cleveland,4,1,conservative_candidate,242,61,32,20;22;28;35;36;43;49;66;68;69;83;97;105;117;130;136;138;155;180;196;208;214;234;247;256;257;258;263;264;276;282;286,3.91155481338501e-07,1.0130041446842131e-07,96.0,,,,0.9359790682792664,False,0.4129733145236969,0.4117175042629242,,,0.371900826446281,0.371900826446281,,,48.0,,,0.371900826446281,0.743801652892562,0.0,0.6961827780589585,,1.0,0.0013807755894958973
hungary,cleveland,4,2,source_only,242,61,32,1;27;34;42;64;83;95;111;119;122;125;133;135;146;150;171;172;213;217;221;222;227;233;235;240;251;262;276;283;290;294;300,7.282942533493042e-07,1.2343697875860284e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,cleveland,4,2,pseudo_label_sfda,242,61,32,1;27;34;42;64;83;95;111;119;122;125;133;135;146;150;171;172;213;217;221;222;227;233;235;240;251;262;276;283;290;294;300,4.805624485015869e-07,1.4224807258512153e-07,92.0,0.38016528925619836,36.0,56.0,0.9430135488510132,False,,,,,,,,,,,,,,,,,,
hungary,cleveland,4,2,entropy_sfda,242,61,32,1;27;34;42;64;83;95;111;119;122;125;133;135;146;150;171;172;213;217;221;222;227;233;235;240;251;262;276;283;290;294;300,5.494803190231323e-07,1.5053837025751833e-07,,,,,,,0.420813649892807,0.3372010886669159,0.4103551208972931,0.3671618103981018,0.38016528925619836,0.3305785123966942,0.8116406798362732,0.8570321798324585,,,,,,,,,,
hungary,cleveland,4,2,reliability_gated_sfda,242,61,32,1;27;34;42;64;83;95;111;119;122;125;133;135;146;150;171;172;213;217;221;222;227;233;235;240;251;262;276;283;290;294;300,5.569308996200562e-07,1.4232154782922542e-07,96.0,0.39669421487603307,,,0.9356936812400818,False,0.420813649892807,0.4136873483657837,0.4103551208972931,0.41094520688056946,0.38016528925619836,0.38016528925619836,,,48.0,92.0,150.0,0.38016528925619836,0.7603305785123967,0.0,0.7114365179676655,0.004662115126848221,,
hungary,cleveland,4,2,conservative_candidate,242,61,32,1;27;34;42;64;83;95;111;119;122;125;133;135;146;150;171;172;213;217;221;222;227;233;235;240;251;262;276;283;290;294;300,3.762543201446533e-07,1.2307246520993163e-07,96.0,,,,0.9356936812400818,False,0.420813649892807,0.4190891981124878,,,0.38016528925619836,0.38016528925619836,,,48.0,,,0.38016528925619836,0.7603305785123967,0.0,0.7114365179676655,,1.0,0.0016926407115533948
hungary,cleveland,4,3,source_only,242,61,32,5;10;24;31;34;54;64;68;84;91;98;102;110;126;144;155;160;171;175;197;205;224;231;237;247;249;253;261;264;272;284;297,2.7799978852272034e-07,1.0701239902953633e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,cleveland,4,3,pseudo_label_sfda,242,61,32,5;10;24;31;34;54;64;68;84;91;98;102;110;126;144;155;160;171;175;197;205;224;231;237;247;249;253;261;264;272;284;297,5.494803190231323e-07,1.570919803420051e-07,93.0,0.384297520661157,37.0,56.0,0.9449983835220337,False,,,,,,,,,,,,,,,,,,
hungary,cleveland,4,3,entropy_sfda,242,61,32,5;10;24;31;34;54;64;68;84;91;98;102;110;126;144;155;160;171;175;197;205;224;231;237;247;249;253;261;264;272;284;297,4.209578037261963e-07,1.5079219382805902e-07,,,,,,,0.41016799211502075,0.3277236819267273,0.4148107171058655,0.38451099395751953,0.384297520661157,0.35537190082644626,0.81956547498703,0.8639553189277649,,,,,,,,,,
hungary,cleveland,4,3,reliability_gated_sfda,242,61,32,5;10;24;31;34;54;64;68;84;91;98;102;110;126;144;155;160;171;175;197;205;224;231;237;247;249;253;261;264;272;284;297,4.796311259269714e-07,1.3398831007910555e-07,96.0,0.39669421487603307,,,0.9394166469573975,False,0.41016799211502075,0.40298739075660706,0.4148107171058655,0.4163101017475128,0.384297520661157,0.384297520661157,,,48.0,93.0,149.0,0.384297520661157,0.768595041322314,0.0,0.7220309765870906,0.00480820145457983,,
hungary,cleveland,4,3,conservative_candidate,242,61,32,5;10;24;31;34;54;64;68;84;91;98;102;110;126;144;155;160;171;175;197;205;224;231;237;247;249;253;261;264;272;284;297,4.5867636799812317e-07,1.447147414943234e-07,96.0,,,,0.9394166469573975,False,0.41016799211502075,0.409345805644989,,,0.384297520661157,0.384297520661157,,,48.0,,,0.384297520661157,0.768595041322314,0.0,0.7220309765870906,,1.0,0.001275397022254765
hungary,cleveland,4,4,source_only,243,60,32,9;15;26;52;72;73;80;88;96;102;115;116;142;161;182;183;188;194;195;204;210;213;227;228;230;231;235;242;243;244;250;253,3.0174851417541504e-07,1.1644054514666399e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,cleveland,4,4,pseudo_label_sfda,243,60,32,9;15;26;52;72;73;80;88;96;102;115;116;142;161;182;183;188;194;195;204;210;213;227;228;230;231;235;242;243;244;250;253,6.440095603466034e-07,1.4362740330398083e-07,93.0,0.38271604938271603,38.0,55.0,0.9428126811981201,False,,,,,,,,,,,,,,,,,,
hungary,cleveland,4,4,entropy_sfda,243,60,32,9;15;26;52;72;73;80;88;96;102;115;116;142;161;182;183;188;194;195;204;210;213;227;228;230;231;235;242;243;244;250;253,3.8743019104003906e-07,1.252027383695046e-07,,,,,,,0.41706088185310364,0.32941779494285583,0.4115133285522461,0.36791330575942993,0.36213991769547327,0.32098765432098764,0.8153607249259949,0.8648861050605774,,,,,,,,,,
hungary,cleveland,4,4,reliability_gated_sfda,243,60,32,9;15;26;52;72;73;80;88;96;102;115;116;142;161;182;183;188;194;195;204;210;213;227;228;230;231;235;242;243;244;250;253,3.9208680391311646e-07,1.2759943880761664e-07,98.0,0.40329218106995884,,,0.936739444732666,False,0.41706088185310364,0.4097656011581421,0.4115133285522461,0.4121719002723694,0.36213991769547327,0.36213991769547327,,,49.0,88.0,155.0,0.36213991769547327,0.7242798353909465,0.0,0.678461490835182,0.004661248996853828,,
hungary,cleveland,4,4,conservative_candidate,243,60,32,9;15;26;52;72;73;80;88;96;102;115;116;142;161;182;183;188;194;195;204;210;213;227;228;230;231;235;242;243;244;250;253,5.816109478473663e-07,1.2873012262086073e-07,98.0,,,,0.936739444732666,False,0.41706088185310364,0.41619452834129333,,,0.36213991769547327,0.36213991769547327,,,49.0,,,0.36213991769547327,0.7242798353909465,0.0,0.678461490835182,,1.0,0.0009675190085545182
hungary,cleveland,4,5,source_only,243,60,32,12;15;62;96;101;110;111;119;127;132;138;146;159;165;170;179;186;194;199;202;216;247;251;267;269;279;280;281;283;289;299;300,3.9208680391311646e-07,1.3299286365509034e-07,,,,,,,,,,,,,,,,,,,,,,,,
