source,target,seed,fold,model_state,adapt_n,test_n,background_n,background_target_indices,max_additivity_error,mean_additivity_error,adapt_selected_n,adapt_coverage,adapt_pseudo_positive_n,adapt_pseudo_negative_n,adapt_mean_selected_confidence,adapt_adaptation_skipped,adapt_entropy_before,adapt_entropy_after,adapt_mean_probability_before,adapt_mean_probability_after,adapt_positive_rate_before,adapt_positive_rate_after,adapt_confidence_before,adapt_confidence_after,adapt_selected_per_class,adapt_available_positive,adapt_available_negative,adapt_teacher_positive_rate,adapt_class_support_score,adapt_missingness_rate,adapt_reliability_score,adapt_mean_abs_teacher_drift,adapt_missingness_factor,adapt_teacher_drift
hungary,switzerland,0,1,source_only,98,25,32,2;5;9;16;19;20;23;27;34;35;36;38;46;49;52;61;63;70;72;80;81;82;84;85;86;92;98;99;103;111;115;122,5.806796252727509e-07,1.5716650523245334e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,switzerland,0,1,pseudo_label_sfda,98,25,32,2;5;9;16;19;20;23;27;34;35;36;38;46;49;52;61;63;70;72;80;81;82;84;85;86;92;98;99;103;111;115;122,4.444736987352371e-07,1.6226607840508223e-07,21.0,0.21428571428571427,18.0,3.0,0.9365457892417908,False,,,,,,,,,,,,,,,,,,
hungary,switzerland,0,1,entropy_sfda,98,25,32,2;5;9;16;19;20;23;27;34;35;36;38;46;49;52;61;63;70;72;80;81;82;84;85;86;92;98;99;103;111;115;122,3.0166120268404484e-07,1.2136646546423435e-07,,,,,,,0.48189252614974976,0.45237937569618225,0.5535739064216614,0.5623912811279297,0.5612244897959183,0.5612244897959183,0.7758394479751587,0.7959263324737549,,,,,,,,,,
hungary,switzerland,0,1,reliability_gated_sfda,98,25,32,2;5;9;16;19;20;23;27;34;35;36;38;46;49;52;61;63;70;72;80;81;82;84;85;86;92;98;99;103;111;115;122,3.6228448152542114e-07,1.206443994306028e-07,40.0,0.40816326530612246,,,0.8958905935287476,False,0.48189252614974976,0.47619137167930603,0.5535739064216614,0.5498709678649902,0.5612244897959183,0.5612244897959183,,,20.0,55.0,43.0,0.5612244897959183,0.8775510204081634,0.012755102040816325,0.776161774620569,0.00514069152995944,,
hungary,switzerland,0,1,conservative_candidate,98,25,32,2;5;9;16;19;20;23;27;34;35;36;38;46;49;52;61;63;70;72;80;81;82;84;85;86;92;98;99;103;111;115;122,6.740447133779526e-07,1.5277066268026828e-07,40.0,,,,0.8958905935287476,False,0.48189252614974976,0.4819318950176239,,,0.5612244897959183,0.5612244897959183,,,20.0,,,0.5612244897959183,0.8775510204081634,0.012755102040816325,0.776161774620569,,0.9872448979591837,0.0008821358205750585
hungary,switzerland,0,2,source_only,98,25,32,1;2;13;24;26;29;31;37;38;39;40;45;48;50;51;53;54;57;59;60;61;81;82;86;91;95;103;109;110;113;119;122,2.3096799850463867e-07,1.1079013347625732e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,switzerland,0,2,pseudo_label_sfda,98,25,32,1;2;13;24;26;29;31;37;38;39;40;45;48;50;51;53;54;57;59;60;61;81;82;86;91;95;103;109;110;113;119;122,4.870817065238953e-07,1.3624783605337142e-07,20.0,0.20408163265306123,15.0,5.0,0.9371132850646973,False,,,,,,,,,,,,,,,,,,
hungary,switzerland,0,2,entropy_sfda,98,25,32,1;2;13;24;26;29;31;37;38;39;40;45;48;50;51;53;54;57;59;60;61;81;82;86;91;95;103;109;110;113;119;122,3.6996789276599884e-07,1.1265539797022939e-07,,,,,,,0.49470192193984985,0.46599718928337097,0.5526074171066284,0.5728492140769958,0.5714285714285714,0.5714285714285714,0.7633450031280518,0.7826857566833496,,,,,,,,,,
hungary,switzerland,0,2,reliability_gated_sfda,98,25,32,1;2;13;24;26;29;31;37;38;39;40;45;48;50;51;53;54;57;59;60;61;81;82;86;91;95;103;109;110;113;119;122,5.592592060565948e-07,1.4370772987604142e-07,40.0,0.40816326530612246,,,0.8914909362792969,False,0.49470192193984985,0.4894613027572632,0.5526074171066284,0.5502738356590271,0.5714285714285714,0.5714285714285714,,,20.0,56.0,42.0,0.5714285714285714,0.8571428571428572,0.007653061224489795,0.7582871156253203,0.0045656925067305565,,
hungary,switzerland,0,2,conservative_candidate,98,25,32,1;2;13;24;26;29;31;37;38;39;40;45;48;50;51;53;54;57;59;60;61;81;82;86;91;95;103;109;110;113;119;122,2.3795291781425476e-07,1.0695308446884156e-07,40.0,,,,0.8914909362792969,False,0.49470192193984985,0.49503329396247864,,,0.5714285714285714,0.5714285714285714,,,20.0,,,0.5714285714285714,0.8571428571428572,0.007653061224489795,0.7582871156253203,,0.9923469387755102,0.0007746699848212302
hungary,switzerland,0,3,source_only,98,25,32,1;2;4;5;14;21;22;28;33;36;37;51;53;54;58;59;60;62;64;78;82;86;87;88;93;96;103;105;108;111;114;120,6.256159394979477e-07,1.9004568457603455e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,switzerland,0,3,pseudo_label_sfda,98,25,32,1;2;4;5;14;21;22;28;33;36;37;51;53;54;58;59;60;62;64;78;82;86;87;88;93;96;103;105;108;111;114;120,5.364418029785156e-07,1.4605000615119933e-07,19.0,0.19387755102040816,14.0,5.0,0.9342837333679199,False,,,,,,,,,,,,,,,,,,
hungary,switzerland,0,3,entropy_sfda,98,25,32,1;2;4;5;14;21;22;28;33;36;37;51;53;54;58;59;60;62;64;78;82;86;87;88;93;96;103;105;108;111;114;120,5.662441253662109e-07,1.6001518815755844e-07,,,,,,,0.498214453458786,0.4693271517753601,0.5212540030479431,0.5304792523384094,0.5102040816326531,0.5102040816326531,0.7627404928207397,0.7837585806846619,,,,,,,,,,
hungary,switzerland,0,3,reliability_gated_sfda,98,25,32,1;2;4;5;14;21;22;28;33;36;37;51;53;54;58;59;60;62;64;78;82;86;87;88;93;96;103;105;108;111;114;120,4.0046870708465576e-07,1.5185214579105378e-07,40.0,0.40816326530612246,,,0.8940669298171997,False,0.498214453458786,0.49204596877098083,0.5212540030479431,0.5181785225868225,0.5102040816326531,0.5102040816326531,,,20.0,50.0,48.0,0.5102040816326531,0.9795918367346939,0.011479591836734693,0.8657666021761721,0.005357792135328054,,
