source,target,seed,fold,model_state,adapt_n,test_n,background_n,background_target_indices,max_additivity_error,mean_additivity_error,adapt_selected_n,adapt_coverage,adapt_pseudo_positive_n,adapt_pseudo_negative_n,adapt_mean_selected_confidence,adapt_adaptation_skipped,adapt_entropy_before,adapt_entropy_after,adapt_mean_probability_before,adapt_mean_probability_after,adapt_positive_rate_before,adapt_positive_rate_after,adapt_confidence_before,adapt_confidence_after,adapt_selected_per_class,adapt_available_positive,adapt_available_negative,adapt_teacher_positive_rate,adapt_class_support_score,adapt_missingness_rate,adapt_reliability_score,adapt_mean_abs_teacher_drift,adapt_missingness_factor,adapt_teacher_drift
hungary,va_long_beach,0,1,source_only,160,40,32,4;6;8;14;32;33;42;50;64;74;80;81;86;88;90;91;92;107;113;118;121;126;145;151;156;163;169;175;178;180;194;199,5.07105141878128e-07,1.0424992069602013e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,va_long_beach,0,1,pseudo_label_sfda,160,40,32,4;6;8;14;32;33;42;50;64;74;80;81;86;88;90;91;92;107;113;118;121;126;145;151;156;163;169;175;178;180;194;199,5.513429641723633e-07,1.5681725926697254e-07,46.0,0.2875,40.0,6.0,0.9408302903175354,False,,,,,,,,,,,,,,,,,,
hungary,va_long_beach,0,1,entropy_sfda,160,40,32,4;6;8;14;32;33;42;50;64;74;80;81;86;88;90;91;92;107;113;118;121;126;145;151;156;163;169;175;178;180;194;199,7.916241884231567e-07,1.8116552382707596e-07,,,,,,,0.4398524761199951,0.38402801752090454,0.5493184924125671,0.5492254495620728,0.53125,0.525,0.8091762661933899,0.8424791097640991,,,,,,,,,,
hungary,va_long_beach,0,1,reliability_gated_sfda,160,40,32,4;6;8;14;32;33;42;50;64;74;80;81;86;88;90;91;92;107;113;118;121;126;145;151;156;163;169;175;178;180;194;199,3.888271749019623e-07,1.2706732377409935e-07,64.0,0.4,,,0.9118084907531738,False,0.4398524761199951,0.43201979994773865,0.5493184924125671,0.5474824905395508,0.53125,0.53125,,,32.0,85.0,75.0,0.53125,0.9375,0.13984375,0.7352791613666341,0.005276415031403303,,
hungary,va_long_beach,0,1,conservative_candidate,160,40,32,4;6;8;14;32;33;42;50;64;74;80;81;86;88;90;91;92;107;113;118;121;126;145;151;156;163;169;175;178;180;194;199,4.842877388000488e-07,1.4808319974690677e-07,64.0,,,,0.9118084907531738,False,0.4398524761199951,0.4386991560459137,,,0.53125,0.53125,,,32.0,,,0.53125,0.9375,0.13984375,0.7352791613666341,,0.86015625,0.0012483071768656373
hungary,va_long_beach,0,2,source_only,160,40,32,3;10;14;18;22;30;32;34;39;56;68;75;80;87;102;112;123;130;132;135;137;141;149;150;157;168;175;176;178;181;183;184,6.183981895446777e-07,1.553082256577909e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,va_long_beach,0,2,pseudo_label_sfda,160,40,32,3;10;14;18;22;30;32;34;39;56;68;75;80;87;102;112;123;130;132;135;137;141;149;150;157;168;175;176;178;181;183;184,8.833594620227814e-07,1.4873803593218328e-07,46.0,0.2875,39.0,7.0,0.9380055069923401,False,,,,,,,,,,,,,,,,,,
hungary,va_long_beach,0,2,entropy_sfda,160,40,32,3;10;14;18;22;30;32;34;39;56;68;75;80;87;102;112;123;130;132;135;137;141;149;150;157;168;175;176;178;181;183;184,8.642673492431641e-07,1.5678670024499296e-07,,,,,,,0.4419211745262146,0.3862420916557312,0.5576667785644531,0.5600662231445312,0.5375,0.5375,0.8096275329589844,0.842756450176239,,,,,,,,,,
hungary,va_long_beach,0,2,reliability_gated_sfda,160,40,32,3;10;14;18;22;30;32;34;39;56;68;75;80;87;102;112;123;130;132;135;137;141;149;150;157;168;175;176;178;181;183;184,4.5960769057273865e-07,1.1638621799647808e-07,64.0,0.4,,,0.9069894552230835,False,0.4419211745262146,0.4344637393951416,0.5576667785644531,0.555427610874176,0.5375,0.5375,,,32.0,86.0,74.0,0.5375,0.925,0.13828125000000002,0.7229520831466653,0.00507197342813015,,
hungary,va_long_beach,0,2,conservative_candidate,160,40,32,3;10;14;18;22;30;32;34;39;56;68;75;80;87;102;112;123;130;132;135;137;141;149;150;157;168;175;176;178;181;183;184,4.98257577419281e-07,1.6057310858741403e-07,64.0,,,,0.9069894552230835,False,0.4419211745262146,0.4408879280090332,,,0.5375,0.5375,,,32.0,,,0.5375,0.925,0.13828125000000002,0.7229520831466653,,0.86171875,0.0011923094280064106
hungary,va_long_beach,0,3,source_only,160,40,32,9;16;31;45;53;55;56;63;65;82;86;88;89;100;103;104;108;110;115;125;127;130;136;147;155;157;158;164;168;172;177;183,4.1816383600234985e-07,1.4080724213272334e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,va_long_beach,0,3,pseudo_label_sfda,160,40,32,9;16;31;45;53;55;56;63;65;82;86;88;89;100;103;104;108;110;115;125;127;130;136;147;155;157;158;164;168;172;177;183,3.4924596548080444e-07,1.1807569535449148e-07,45.0,0.28125,39.0,6.0,0.9428566098213196,False,,,,,,,,,,,,,,,,,,
hungary,va_long_beach,0,3,entropy_sfda,160,40,32,9;16;31;45;53;55;56;63;65;82;86;88;89;100;103;104;108;110;115;125;127;130;136;147;155;157;158;164;168;172;177;183,4.507601261138916e-07,1.5120604075491427e-07,,,,,,,0.44252175092697144,0.38879507780075073,0.5634694695472717,0.5680578947067261,0.55,0.55,0.8057233095169067,0.8379030227661133,,,,,,,,,,
hungary,va_long_beach,0,3,reliability_gated_sfda,160,40,32,9;16;31;45;53;55;56;63;65;82;86;88;89;100;103;104;108;110;115;125;127;130;136;147;155;157;158;164;168;172;177;183,5.117617547512054e-07,1.221473212353885e-07,64.0,0.4,,,0.9085949063301086,False,0.44252175092697144,0.43546217679977417,0.5634694695472717,0.5611649751663208,0.55,0.55,,,32.0,88.0,72.0,0.55,0.8999999999999999,0.12578125,0.7148796329414472,0.004954590927809477,,
hungary,va_long_beach,0,3,conservative_candidate,160,40,32,9;16;31;45;53;55;56;63;65;82;86;88;89;100;103;104;108;110;115;125;127;130;136;147;155;157;158;164;168;172;177;183,3.343448042869568e-07,1.1395313777029515e-07,64.0,,,,0.9085949063301086,False,0.44252175092697144,0.44224080443382263,,,0.55,0.55,,,32.0,,,0.55,0.8999999999999999,0.12578125,0.7148796329414472,,0.87421875,0.0020155415404587984
hungary,va_long_beach,0,4,source_only,160,40,32,0;10;14;15;16;18;21;28;41;46;54;55;58;77;78;84;103;115;116;117;119;121;124;130;139;145;150;153;179;194;195;197,4.849862307310104e-07,1.4845281839370728e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,va_long_beach,0,4,pseudo_label_sfda,160,40,32,0;10;14;15;16;18;21;28;41;46;54;55;58;77;78;84;103;115;116;117;119;121;124;130;139;145;150;153;179;194;195;197,4.684552550315857e-07,1.3361568562686443e-07,51.0,0.31875,42.0,9.0,0.9426242709159851,False,,,,,,,,,,,,,,,,,,
hungary,va_long_beach,0,4,entropy_sfda,160,40,32,0;10;14;15;16;18;21;28;41;46;54;55;58;77;78;84;103;115;116;117;119;121;124;130;139;145;150;153;179;194;195;197,4.2980536818504333e-07,1.36542075779289e-07,,,,,,,0.4307447373867035,0.37737175822257996,0.5623226165771484,0.5642421841621399,0.5375,0.53125,0.8140569925308228,0.8452089428901672,,,,,,,,,,
hungary,va_long_beach,0,4,reliability_gated_sfda,160,40,32,0;10;14;15;16;18;21;28;41;46;54;55;58;77;78;84;103;115;116;117;119;121;124;130;139;145;150;153;179;194;195;197,3.9744190871715546e-07,1.366686774417758e-07,64.0,0.4,,,0.9161356687545776,False,0.4307447373867035,0.4232022166252136,0.5623226165771484,0.5608507990837097,0.5375,0.5375,,,32.0,86.0,74.0,0.5375,0.925,0.1328125,0.7348767952295021,0.0049744038842618465,,
hungary,va_long_beach,0,4,conservative_candidate,160,40,32,0;10;14;15;16;18;21;28;41;46;54;55;58;77;78;84;103;115;116;117;119;121;124;130;139;145;150;153;179;194;195;197,4.5192427933216095e-07,1.2901437003165482e-07,64.0,,,,0.9161356687545776,False,0.4307447373867035,0.42948970198631287,,,0.5375,0.5375,,,32.0,,,0.5375,0.925,0.1328125,0.7348767952295021,,0.8671875,0.0015731353778392076
hungary,va_long_beach,0,5,source_only,160,40,32,6;8;17;25;29;46;51;60;66;78;80;85;95;108;115;123;126;133;142;148;152;153;161;162;163;166;180;181;184;185;191;194,4.0885061025619507e-07,1.3262033462524415e-07,,,,,,,,,,,,,,,,,,,,,,,,
hungary,va_long_beach,0,5,pseudo_label_sfda,160,40,32,6;8;17;25;29;46;51;60;66;78;80;85;95;108;115;123;126;133;142;148;152;153;161;162;163;166;180;181;184;185;191;194,3.5762786865234375e-07,1.3510289136320354e-07,48.0,0.3,40.0,8.0,0.9411894679069519,False,,,,,,,,,,,,,,,,,,
