source,target,seed,fold,model_state,adapt_n,test_n,background_n,background_target_indices,max_additivity_error,mean_additivity_error,adapt_selected_n,adapt_coverage,adapt_pseudo_positive_n,adapt_pseudo_negative_n,adapt_mean_selected_confidence,adapt_adaptation_skipped,adapt_entropy_before,adapt_entropy_after,adapt_mean_probability_before,adapt_mean_probability_after,adapt_positive_rate_before,adapt_positive_rate_after,adapt_confidence_before,adapt_confidence_after,adapt_selected_per_class,adapt_available_positive,adapt_available_negative,adapt_teacher_positive_rate,adapt_class_support_score,adapt_missingness_rate,adapt_reliability_score,adapt_mean_abs_teacher_drift,adapt_missingness_factor,adapt_teacher_drift
switzerland,cleveland,3,1,source_only,242,61,32,6;27;37;47;50;65;86;105;112;127;129;142;145;150;164;170;178;190;202;209;213;215;217;218;235;237;243;256;260;288;296;297,4.284083843231201e-07,1.1307172110823334e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,cleveland,3,1,pseudo_label_sfda,242,61,32,6;27;37;47;50;65;86;105;112;127;129;142;145;150;164;170;178;190;202;209;213;215;217;218;235;237;243;256;260;288;296;297,4.5262277126312256e-07,2.0653223160837517e-07,143.0,0.5909090909090909,143.0,0.0,0.9483237266540527,False,,,,,,,,,,,,,,,,,,
switzerland,cleveland,3,1,entropy_sfda,242,61,32,6;27;37;47;50;65;86;105;112;127;129;142;145;150;164;170;178;190;202;209;213;215;217;218;235;237;243;256;260;288;296;297,4.675239324569702e-07,1.126098767167232e-07,,,,,,,0.28913775086402893,0.19277432560920715,0.9068138599395752,0.9466365575790405,1.0,1.0,0.9068138599395752,0.9466365575790405,,,,,,,,,,
switzerland,cleveland,3,1,reliability_gated_sfda,242,61,32,6;27;37;47;50;65;86;105;112;127;129;142;145;150;164;170;178;190;202;209;213;215;217;218;235;237;243;256;260;288;296;297,4.284083843231201e-07,1.1307172110823334e-07,0.0,0.0,,,0.0,True,0.28913775086402893,0.28913775086402893,0.9068138599395752,0.9068138599395752,1.0,1.0,,,0.0,242.0,0.0,1.0,0.0,0.0,0.0,0.0,,
switzerland,cleveland,3,1,conservative_candidate,242,61,32,6;27;37;47;50;65;86;105;112;127;129;142;145;150;164;170;178;190;202;209;213;215;217;218;235;237;243;256;260;288;296;297,4.284083843231201e-07,1.1307172110823334e-07,0.0,,,,0.0,True,0.28913775086402893,0.28913775086402893,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,0.0,,1.0,0.0
switzerland,cleveland,3,2,source_only,242,61,32,3;4;17;34;36;53;64;76;78;81;98;100;128;135;136;145;149;150;152;159;175;182;189;190;191;198;215;216;217;271;290;292,5.223555490374565e-07,2.0270006822758033e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,cleveland,3,2,pseudo_label_sfda,242,61,32,3;4;17;34;36;53;64;76;78;81;98;100;128;135;136;145;149;150;152;159;175;182;189;190;191;198;215;216;217;271;290;292,7.450580596923828e-07,1.6230967689733036e-07,148.0,0.6115702479338843,148.0,0.0,0.9464762806892395,False,,,,,,,,,,,,,,,,,,
switzerland,cleveland,3,2,entropy_sfda,242,61,32,3;4;17;34;36;53;64;76;78;81;98;100;128;135;136;145;149;150;152;159;175;182;189;190;191;198;215;216;217;271;290;292,6.034970283508301e-07,2.093281077801204e-07,,,,,,,0.28733596205711365,0.1909647136926651,0.9078899025917053,0.9474152326583862,1.0,1.0,0.9078899025917053,0.9474152326583862,,,,,,,,,,
switzerland,cleveland,3,2,reliability_gated_sfda,242,61,32,3;4;17;34;36;53;64;76;78;81;98;100;128;135;136;145;149;150;152;159;175;182;189;190;191;198;215;216;217;271;290;292,5.223555490374565e-07,2.0270006822758033e-07,0.0,0.0,,,0.0,True,0.28733596205711365,0.28733596205711365,0.9078899025917053,0.9078899025917053,1.0,1.0,,,0.0,242.0,0.0,1.0,0.0,0.0,0.0,0.0,,
switzerland,cleveland,3,2,conservative_candidate,242,61,32,3;4;17;34;36;53;64;76;78;81;98;100;128;135;136;145;149;150;152;159;175;182;189;190;191;198;215;216;217;271;290;292,5.223555490374565e-07,2.0270006822758033e-07,0.0,,,,0.0,True,0.28733596205711365,0.28733596205711365,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,0.0,,1.0,0.0
