source,target,seed,fold,model_state,adapt_n,test_n,background_n,background_target_indices,max_additivity_error,mean_additivity_error,adapt_selected_n,adapt_coverage,adapt_pseudo_positive_n,adapt_pseudo_negative_n,adapt_mean_selected_confidence,adapt_adaptation_skipped,adapt_entropy_before,adapt_entropy_after,adapt_mean_probability_before,adapt_mean_probability_after,adapt_positive_rate_before,adapt_positive_rate_after,adapt_confidence_before,adapt_confidence_after,adapt_selected_per_class,adapt_available_positive,adapt_available_negative,adapt_teacher_positive_rate,adapt_class_support_score,adapt_missingness_rate,adapt_reliability_score,adapt_mean_abs_teacher_drift,adapt_missingness_factor,adapt_teacher_drift
switzerland,hungary,0,1,source_only,235,59,32,3;28;31;34;35;37;38;41;49;65;96;97;105;115;122;128;133;140;152;155;157;175;178;183;186;192;229;240;245;268;289;290,4.2119063436985016e-07,1.587629212427616e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,1,pseudo_label_sfda,235,59,32,3;28;31;34;35;37;38;41;49;65;96;97;105;115;122;128;133;140;152;155;157;175;178;183;186;192;229;240;245;268;289;290,5.257315933704376e-07,1.6423993687474927e-07,112.0,0.4765957446808511,112.0,0.0,0.9549748301506042,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,1,entropy_sfda,235,59,32,3;28;31;34;35;37;38;41;49;65;96;97;105;115;122;128;133;140;152;155;157;175;178;183;186;192;229;240;245;268;289;290,6.270711310207844e-07,1.9504844558314752e-07,,,,,,,0.31416425108909607,0.18815430998802185,0.8941395878791809,0.9490175843238831,1.0,1.0,0.8941395878791809,0.9490175843238831,,,,,,,,,,
switzerland,hungary,0,1,reliability_gated_sfda,235,59,32,3;28;31;34;35;37;38;41;49;65;96;97;105;115;122;128;133;140;152;155;157;175;178;183;186;192;229;240;245;268;289;290,4.2119063436985016e-07,1.587629212427616e-07,0.0,0.0,,,0.0,True,0.31416425108909607,0.31416425108909607,0.8941395878791809,0.8941395878791809,1.0,1.0,,,0.0,235.0,0.0,1.0,0.0,0.0005319148936170213,0.0,0.0,,
switzerland,hungary,0,1,conservative_candidate,235,59,32,3;28;31;34;35;37;38;41;49;65;96;97;105;115;122;128;133;140;152;155;157;175;178;183;186;192;229;240;245;268;289;290,4.2119063436985016e-07,1.587629212427616e-07,0.0,,,,0.0,True,0.31416425108909607,0.31416425108909607,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0005319148936170213,0.0,,0.999468085106383,0.0
switzerland,hungary,0,2,source_only,235,59,32,0;1;4;9;17;20;25;30;47;59;65;94;99;106;109;121;129;138;150;171;174;187;192;195;207;220;237;267;279;288;291;293,6.11151335760951e-07,1.9320232549019284e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,2,pseudo_label_sfda,235,59,32,0;1;4;9;17;20;25;30;47;59;65;94;99;106;109;121;129;138;150;171;174;187;192;195;207;220;237;267;279;288;291;293,6.627524271607399e-07,1.4154365845123244e-07,117.0,0.4978723404255319,117.0,0.0,0.9558581113815308,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,2,entropy_sfda,235,59,32,0;1;4;9;17;20;25;30;47;59;65;94;99;106;109;121;129;138;150;171;174;187;192;195;207;220;237;267;279;288;291;293,5.197944119572639e-07,1.661885446884622e-07,,,,,,,0.30603960156440735,0.18142807483673096,0.8978756070137024,0.9514087438583374,1.0,1.0,0.8978756070137024,0.9514087438583374,,,,,,,,,,
switzerland,hungary,0,2,reliability_gated_sfda,235,59,32,0;1;4;9;17;20;25;30;47;59;65;94;99;106;109;121;129;138;150;171;174;187;192;195;207;220;237;267;279;288;291;293,6.11151335760951e-07,1.9320232549019284e-07,0.0,0.0,,,0.0,True,0.30603960156440735,0.30603960156440735,0.8978756070137024,0.8978756070137024,1.0,1.0,,,0.0,235.0,0.0,1.0,0.0,0.002127659574468085,0.0,0.0,,
switzerland,hungary,0,2,conservative_candidate,235,59,32,0;1;4;9;17;20;25;30;47;59;65;94;99;106;109;121;129;138;150;171;174;187;192;195;207;220;237;267;279;288;291;293,6.11151335760951e-07,1.9320232549019284e-07,0.0,,,,0.0,True,0.30603960156440735,0.30603960156440735,,,1.0,1.0,,,0.0,,,1.0,0.0,0.002127659574468085,0.0,,0.997872340425532,0.0
switzerland,hungary,0,3,source_only,235,59,32,14;15;44;52;57;58;60;73;75;79;84;119;121;130;154;160;169;185;188;193;198;205;206;217;219;220;239;255;264;280;290;293,3.94647940993309e-07,1.5395740558880666e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,3,pseudo_label_sfda,235,59,32,14;15;44;52;57;58;60;73;75;79;84;119;121;130;154;160;169;185;188;193;198;205;206;217;219;220;239;255;264;280;290;293,5.707843229174614e-07,2.686371109290522e-07,112.0,0.4765957446808511,112.0,0.0,0.9550608992576599,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,3,entropy_sfda,235,59,32,14;15;44;52;57;58;60;73;75;79;84;119;121;130;154;160;169;185;188;193;198;205;206;217;219;220;239;255;264;280;290;293,5.553010851144791e-07,1.977741241285388e-07,,,,,,,0.3106864392757416,0.1843208521604538,0.8961753249168396,0.9505774974822998,1.0,1.0,0.8961753249168396,0.9505774974822998,,,,,,,,,,
switzerland,hungary,0,3,reliability_gated_sfda,235,59,32,14;15;44;52;57;58;60;73;75;79;84;119;121;130;154;160;169;185;188;193;198;205;206;217;219;220;239;255;264;280;290;293,3.94647940993309e-07,1.5395740558880666e-07,0.0,0.0,,,0.0,True,0.3106864392757416,0.3106864392757416,0.8961753249168396,0.8961753249168396,1.0,1.0,,,0.0,235.0,0.0,1.0,0.0,0.002127659574468085,0.0,0.0,,
switzerland,hungary,0,3,conservative_candidate,235,59,32,14;15;44;52;57;58;60;73;75;79;84;119;121;130;154;160;169;185;188;193;198;205;206;217;219;220;239;255;264;280;290;293,3.94647940993309e-07,1.5395740558880666e-07,0.0,,,,0.0,True,0.3106864392757416,0.3106864392757416,,,1.0,1.0,,,0.0,,,1.0,0.0,0.002127659574468085,0.0,,0.997872340425532,0.0
switzerland,hungary,0,4,source_only,235,59,32,13;18;20;41;49;55;69;76;90;92;97;100;101;102;110;113;124;133;155;166;170;172;182;203;209;234;239;250;253;264;269;282,4.3585896492004395e-07,1.196335148760828e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,4,pseudo_label_sfda,235,59,32,13;18;20;41;49;55;69;76;90;92;97;100;101;102;110;113;124;133;155;166;170;172;182;203;209;234;239;250;253;264;269;282,5.234032869338989e-07,1.4714502050714979e-07,115.0,0.48936170212765956,115.0,0.0,0.9555506706237793,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,4,entropy_sfda,235,59,32,13;18;20;41;49;55;69;76;90;92;97;100;101;102;110;113;124;133;155;166;170;172;182;203;209;234;239;250;253;264;269;282,5.569308996200562e-07,1.5980715989687686e-07,,,,,,,0.3077903687953949,0.18318438529968262,0.8969867825508118,0.9506685733795166,1.0,1.0,0.8969867825508118,0.9506685733795166,,,,,,,,,,
switzerland,hungary,0,4,reliability_gated_sfda,235,59,32,13;18;20;41;49;55;69;76;90;92;97;100;101;102;110;113;124;133;155;166;170;172;182;203;209;234;239;250;253;264;269;282,4.3585896492004395e-07,1.196335148760828e-07,0.0,0.0,,,0.0,True,0.3077903687953949,0.3077903687953949,0.8969867825508118,0.8969867825508118,1.0,1.0,,,0.0,235.0,0.0,1.0,0.0,0.001595744680851064,0.0,0.0,,
switzerland,hungary,0,4,conservative_candidate,235,59,32,13;18;20;41;49;55;69;76;90;92;97;100;101;102;110;113;124;133;155;166;170;172;182;203;209;234;239;250;253;264;269;282,4.3585896492004395e-07,1.196335148760828e-07,0.0,,,,0.0,True,0.3077903687953949,0.3077903687953949,,,1.0,1.0,,,0.0,,,1.0,0.0,0.001595744680851064,0.0,,0.9984042553191489,0.0
switzerland,hungary,0,5,source_only,236,58,32,19;22;41;47;59;67;69;77;78;94;95;111;113;116;127;135;162;173;192;197;202;209;210;211;215;230;236;242;245;249;273;284,4.237517714500427e-07,8.631292891142698e-08,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,5,pseudo_label_sfda,236,58,32,19;22;41;47;59;67;69;77;78;94;95;111;113;116;127;135;162;173;192;197;202;209;210;211;215;230;236;242;245;249;273;284,5.21540641784668e-07,1.9281187319550022e-07,124.0,0.5254237288135594,124.0,0.0,0.9546935558319092,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,5,entropy_sfda,236,58,32,19;22;41;47;59;67;69;77;78;94;95;111;113;116;127;135;162;173;192;197;202;209;210;211;215;230;236;242;245;249;273;284,4.544854164123535e-07,1.4826896247164955e-07,,,,,,,0.29651957750320435,0.1745365858078003,0.9029558897018433,0.9538981914520264,1.0,1.0,0.9029558897018433,0.9538981914520264,,,,,,,,,,
switzerland,hungary,0,5,reliability_gated_sfda,236,58,32,19;22;41;47;59;67;69;77;78;94;95;111;113;116;127;135;162;173;192;197;202;209;210;211;215;230;236;242;245;249;273;284,4.237517714500427e-07,8.631292891142698e-08,0.0,0.0,,,0.0,True,0.29651957750320435,0.29651957750320435,0.9029558897018433,0.9029558897018433,1.0,1.0,,,0.0,236.0,0.0,1.0,0.0,0.00211864406779661,0.0,0.0,,
switzerland,hungary,0,5,conservative_candidate,236,58,32,19;22;41;47;59;67;69;77;78;94;95;111;113;116;127;135;162;173;192;197;202;209;210;211;215;230;236;242;245;249;273;284,4.237517714500427e-07,8.631292891142698e-08,0.0,,,,0.0,True,0.29651957750320435,0.29651957750320435,,,1.0,1.0,,,0.0,,,1.0,0.0,0.00211864406779661,0.0,,0.9978813559322034,0.0
