source,target,seed,fold,model_state,adapt_n,test_n,background_n,background_target_indices,max_additivity_error,mean_additivity_error,adapt_selected_n,adapt_coverage,adapt_pseudo_positive_n,adapt_pseudo_negative_n,adapt_mean_selected_confidence,adapt_adaptation_skipped,adapt_entropy_before,adapt_entropy_after,adapt_mean_probability_before,adapt_mean_probability_after,adapt_positive_rate_before,adapt_positive_rate_after,adapt_confidence_before,adapt_confidence_after,adapt_selected_per_class,adapt_available_positive,adapt_available_negative,adapt_teacher_positive_rate,adapt_class_support_score,adapt_missingness_rate,adapt_reliability_score,adapt_mean_abs_teacher_drift,adapt_missingness_factor,adapt_teacher_drift
switzerland,va_long_beach,7,1,source_only,160,40,32,0;1;5;7;10;11;23;33;35;54;57;64;70;74;85;102;116;129;130;133;143;154;160;166;167;171;173;176;180;188;191;196,6.526242941617966e-07,1.6367121133953332e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,7,1,pseudo_label_sfda,160,40,32,0;1;5;7;10;11;23;33;35;54;57;64;70;74;85;102;116;129;130;133;143;154;160;166;167;171;173;176;180;188;191;196,7.385388016700745e-07,2.6645720936357974e-07,132.0,0.825,132.0,0.0,0.9537879228591919,False,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,7,1,entropy_sfda,160,40,32,0;1;5;7;10;11;23;33;35;54;57;64;70;74;85;102;116;129;130;133;143;154;160;166;167;171;173;176;180;188;191;196,3.9674341678619385e-07,1.5058467397466302e-07,,,,,,,0.22078490257263184,0.1641157567501068,0.9371720552444458,0.957545280456543,1.0,1.0,0.9371720552444458,0.957545280456543,,,,,,,,,,
switzerland,va_long_beach,7,1,reliability_gated_sfda,160,40,32,0;1;5;7;10;11;23;33;35;54;57;64;70;74;85;102;116;129;130;133;143;154;160;166;167;171;173;176;180;188;191;196,6.526242941617966e-07,1.6367121133953332e-07,0.0,0.0,,,0.0,True,0.22078490257263184,0.22078490257263184,0.9371720552444458,0.9371720552444458,1.0,1.0,,,0.0,160.0,0.0,1.0,0.0,0.13984375,0.0,0.0,,
switzerland,va_long_beach,7,1,conservative_candidate,160,40,32,0;1;5;7;10;11;23;33;35;54;57;64;70;74;85;102;116;129;130;133;143;154;160;166;167;171;173;176;180;188;191;196,6.526242941617966e-07,1.6367121133953332e-07,0.0,,,,0.0,True,0.22078490257263184,0.22078490257263184,,,1.0,1.0,,,0.0,,,1.0,0.0,0.13984375,0.0,,0.86015625,0.0
switzerland,va_long_beach,7,2,source_only,160,40,32,3;4;10;23;37;40;54;55;71;72;77;78;80;92;104;110;121;125;132;137;141;142;146;149;159;163;176;178;185;191;193;194,5.438923835754395e-07,1.7966958694159984e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,7,2,pseudo_label_sfda,160,40,32,3;4;10;23;37;40;54;55;71;72;77;78;80;92;104;110;121;125;132;137;141;142;146;149;159;163;176;178;185;191;193;194,8.605420589447021e-07,3.728106094058603e-07,133.0,0.83125,133.0,0.0,0.9541863203048706,False,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,7,2,entropy_sfda,160,40,32,3;4;10;23;37;40;54;55;71;72;77;78;80;92;104;110;121;125;132;137;141;142;146;149;159;163;176;178;185;191;193;194,5.206093192100525e-07,1.6040285117924212e-07,,,,,,,0.22025637328624725,0.16328886151313782,0.9373363256454468,0.9577947854995728,1.0,1.0,0.9373363256454468,0.9577947854995728,,,,,,,,,,
switzerland,va_long_beach,7,2,reliability_gated_sfda,160,40,32,3;4;10;23;37;40;54;55;71;72;77;78;80;92;104;110;121;125;132;137;141;142;146;149;159;163;176;178;185;191;193;194,5.438923835754395e-07,1.7966958694159984e-07,0.0,0.0,,,0.0,True,0.22025637328624725,0.22025637328624725,0.9373363256454468,0.9373363256454468,1.0,1.0,,,0.0,160.0,0.0,1.0,0.0,0.13828125000000002,0.0,0.0,,
switzerland,va_long_beach,7,2,conservative_candidate,160,40,32,3;4;10;23;37;40;54;55;71;72;77;78;80;92;104;110;121;125;132;137;141;142;146;149;159;163;176;178;185;191;193;194,5.438923835754395e-07,1.7966958694159984e-07,0.0,,,,0.0,True,0.22025637328624725,0.22025637328624725,,,1.0,1.0,,,0.0,,,1.0,0.0,0.13828125000000002,0.0,,0.86171875,0.0
switzerland,va_long_beach,7,3,source_only,160,40,32,1;5;9;20;24;29;34;37;59;65;66;75;78;81;83;95;97;99;100;104;107;114;117;132;136;148;149;151;155;180;183;196,4.032626748085022e-07,1.1741649359464646e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,7,3,pseudo_label_sfda,160,40,32,1;5;9;20;24;29;34;37;59;65;66;75;78;81;83;95;97;99;100;104;107;114;117;132;136;148;149;151;155;180;183;196,6.724148988723755e-07,2.552929800003767e-07,139.0,0.86875,139.0,0.0,0.9527645111083984,False,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,7,3,entropy_sfda,160,40,32,1;5;9;20;24;29;34;37;59;65;66;75;78;81;83;95;97;99;100;104;107;114;117;132;136;148;149;151;155;180;183;196,7.469207048416138e-07,2.227665390819311e-07,,,,,,,0.21404966711997986,0.1575196236371994,0.9402315020561218,0.9601247906684875,1.0,1.0,0.9402315020561218,0.9601247906684875,,,,,,,,,,
switzerland,va_long_beach,7,3,reliability_gated_sfda,160,40,32,1;5;9;20;24;29;34;37;59;65;66;75;78;81;83;95;97;99;100;104;107;114;117;132;136;148;149;151;155;180;183;196,4.032626748085022e-07,1.1741649359464646e-07,0.0,0.0,,,0.0,True,0.21404966711997986,0.21404966711997986,0.9402315020561218,0.9402315020561218,1.0,1.0,,,0.0,160.0,0.0,1.0,0.0,0.12578125,0.0,0.0,,
switzerland,va_long_beach,7,3,conservative_candidate,160,40,32,1;5;9;20;24;29;34;37;59;65;66;75;78;81;83;95;97;99;100;104;107;114;117;132;136;148;149;151;155;180;183;196,4.032626748085022e-07,1.1741649359464646e-07,0.0,,,,0.0,True,0.21404966711997986,0.21404966711997986,,,1.0,1.0,,,0.0,,,1.0,0.0,0.12578125,0.0,,0.87421875,0.0
switzerland,va_long_beach,7,4,source_only,160,40,32,15;20;21;35;45;46;52;65;66;71;74;77;88;102;103;113;114;120;121;130;135;139;144;145;151;159;160;173;188;192;198;199,3.478489816188812e-07,1.13018904812634e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,7,4,pseudo_label_sfda,160,40,32,15;20;21;35;45;46;52;65;66;71;74;77;88;102;103;113;114;120;121;130;135;139;144;145;151;159;160;173;188;192;198;199,4.637986421585083e-07,1.7215206753462554e-07,136.0,0.85,136.0,0.0,0.9541481137275696,False,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,7,4,entropy_sfda,160,40,32,15;20;21;35;45;46;52;65;66;71;74;77;88;102;103;113;114;120;121;130;135;139;144;145;151;159;160;173;188;192;198;199,7.273629307746887e-07,1.4773104339838028e-07,,,,,,,0.2144441157579422,0.15829980373382568,0.9395856857299805,0.9594954252243042,1.0,1.0,0.9395856857299805,0.9594954252243042,,,,,,,,,,
switzerland,va_long_beach,7,4,reliability_gated_sfda,160,40,32,15;20;21;35;45;46;52;65;66;71;74;77;88;102;103;113;114;120;121;130;135;139;144;145;151;159;160;173;188;192;198;199,3.478489816188812e-07,1.13018904812634e-07,0.0,0.0,,,0.0,True,0.2144441157579422,0.2144441157579422,0.9395856857299805,0.9395856857299805,1.0,1.0,,,0.0,160.0,0.0,1.0,0.0,0.1328125,0.0,0.0,,
switzerland,va_long_beach,7,4,conservative_candidate,160,40,32,15;20;21;35;45;46;52;65;66;71;74;77;88;102;103;113;114;120;121;130;135;139;144;145;151;159;160;173;188;192;198;199,3.478489816188812e-07,1.13018904812634e-07,0.0,,,,0.0,True,0.2144441157579422,0.2144441157579422,,,1.0,1.0,,,0.0,,,1.0,0.0,0.1328125,0.0,,0.8671875,0.0
switzerland,va_long_beach,7,5,source_only,160,40,32,10;15;26;28;30;31;40;41;43;49;62;67;75;91;97;105;109;110;115;117;118;131;138;139;140;144;145;146;164;180;190;195,6.575137376785278e-07,1.5359546523541212e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,7,5,pseudo_label_sfda,160,40,32,10;15;26;28;30;31;40;41;43;49;62;67;75;91;97;105;109;110;115;117;118;131;138;139;140;144;145;146;164;180;190;195,6.181653589010239e-07,1.8909850041382015e-07,132.0,0.825,132.0,0.0,0.9536428451538086,False,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,7,5,entropy_sfda,160,40,32,10;15;26;28;30;31;40;41;43;49;62;67;75;91;97;105;109;110;115;117;118;131;138;139;140;144;145;146;164;180;190;195,4.600733518600464e-07,1.7568818293511869e-07,,,,,,,0.22132954001426697,0.16454245150089264,0.936819851398468,0.9573236703872681,1.0,1.0,0.936819851398468,0.9573236703872681,,,,,,,,,,
switzerland,va_long_beach,7,5,reliability_gated_sfda,160,40,32,10;15;26;28;30;31;40;41;43;49;62;67;75;91;97;105;109;110;115;117;118;131;138;139;140;144;145;146;164;180;190;195,6.575137376785278e-07,1.5359546523541212e-07,0.0,0.0,,,0.0,True,0.22132954001426697,0.22132954001426697,0.936819851398468,0.936819851398468,1.0,1.0,,,0.0,160.0,0.0,1.0,0.0,0.14765625,0.0,0.0,,
switzerland,va_long_beach,7,5,conservative_candidate,160,40,32,10;15;26;28;30;31;40;41;43;49;62;67;75;91;97;105;109;110;115;117;118;131;138;139;140;144;145;146;164;180;190;195,6.575137376785278e-07,1.5359546523541212e-07,0.0,,,,0.0,True,0.22132954001426697,0.22132954001426697,,,1.0,1.0,,,0.0,,,1.0,0.0,0.14765625,0.0,,0.85234375,0.0
