source,target,method,value_mean,value_sd,value_median,metric
cleveland,hungary,conservative_candidate,1.0,0.0,1.0,global_importance_spearman
cleveland,hungary,entropy_sfda,0.9785714285714286,0.02084750085168841,0.9761904761904763,global_importance_spearman
cleveland,hungary,pseudo_label_sfda,0.9833333333333334,0.019601728627346795,0.9880952380952381,global_importance_spearman
cleveland,hungary,reliability_gated_sfda,0.9976190476190476,0.007529232524210403,1.0,global_importance_spearman
cleveland,switzerland,conservative_candidate,0.9976190476190476,0.007529232524210399,1.0,global_importance_spearman
cleveland,switzerland,entropy_sfda,0.9690476190476192,0.03184508356783948,0.9761904761904763,global_importance_spearman
cleveland,switzerland,pseudo_label_sfda,0.9880952380952381,0.0168358757425368,1.0,global_importance_spearman
cleveland,switzerland,reliability_gated_sfda,0.9952380952380953,0.01505846504842083,1.0,global_importance_spearman
cleveland,va_long_beach,conservative_candidate,1.0,0.0,1.0,global_importance_spearman
cleveland,va_long_beach,entropy_sfda,0.980952380952381,0.01878120566063368,0.9761904761904763,global_importance_spearman
cleveland,va_long_beach,pseudo_label_sfda,0.9880952380952381,0.016835875742536806,1.0,global_importance_spearman
cleveland,va_long_beach,reliability_gated_sfda,0.9976190476190476,0.007529232524210399,1.0,global_importance_spearman
hungary,cleveland,conservative_candidate,1.0,0.0,1.0,global_importance_spearman
hungary,cleveland,entropy_sfda,0.9666666666666668,0.023002185311411766,0.9761904761904763,global_importance_spearman
hungary,cleveland,pseudo_label_sfda,0.9738095238095239,0.03063533185018851,0.9761904761904763,global_importance_spearman
hungary,cleveland,reliability_gated_sfda,0.9880952380952381,0.03022132184866631,1.0,global_importance_spearman
hungary,switzerland,conservative_candidate,1.0,0.0,1.0,global_importance_spearman
hungary,switzerland,entropy_sfda,0.9904761904761905,0.023002185311411755,1.0,global_importance_spearman
hungary,switzerland,pseudo_label_sfda,1.0,0.0,1.0,global_importance_spearman
hungary,switzerland,reliability_gated_sfda,0.9976190476190476,0.007529232524210403,1.0,global_importance_spearman
hungary,va_long_beach,conservative_candidate,1.0,0.0,1.0,global_importance_spearman
hungary,va_long_beach,entropy_sfda,0.9928571428571429,0.011501092655705869,1.0,global_importance_spearman
hungary,va_long_beach,pseudo_label_sfda,0.9857142857142858,0.03011693009684165,1.0,global_importance_spearman
hungary,va_long_beach,reliability_gated_sfda,1.0,0.0,1.0,global_importance_spearman
switzerland,cleveland,conservative_candidate,1.0,0.0,1.0,global_importance_spearman
switzerland,cleveland,entropy_sfda,0.9571428571428571,0.035136418446315314,0.9642857142857144,global_importance_spearman
switzerland,cleveland,pseudo_label_sfda,0.9642857142857144,0.0341362113771533,0.9761904761904763,global_importance_spearman
switzerland,cleveland,reliability_gated_sfda,1.0,0.0,1.0,global_importance_spearman
switzerland,hungary,conservative_candidate,1.0,0.0,1.0,global_importance_spearman
switzerland,hungary,entropy_sfda,0.9404761904761905,0.04924473669043988,0.9523809523809524,global_importance_spearman
switzerland,hungary,pseudo_label_sfda,0.9714285714285715,0.0511889380844352,0.9880952380952381,global_importance_spearman
switzerland,hungary,reliability_gated_sfda,1.0,0.0,1.0,global_importance_spearman
switzerland,va_long_beach,conservative_candidate,1.0,0.0,1.0,global_importance_spearman
switzerland,va_long_beach,entropy_sfda,0.9928571428571429,0.016070203755013137,1.0,global_importance_spearman
switzerland,va_long_beach,pseudo_label_sfda,0.9880952380952381,0.016835875742536813,1.0,global_importance_spearman
