source,target,seed,method,global_importance_spearman,global_top3_overlap_fraction,global_top3_jaccard,global_importance_l1_drift,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l1_drift_median,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_cosine_similarity_median,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,hungary,0,pseudo_label_sfda,0.9523809523809524,1.0,1.0,0.8456779810622832,0.2469712117804829,0.847137595055895,0.8028325953637251,0.36306739984693215,0.9986325587140625,0.9989296563239433,0.9603174603174605,0.042521832346897194
cleveland,hungary,0,entropy_sfda,0.9523809523809524,1.0,1.0,0.8073635368625504,0.23578188803716219,0.8127830595962947,0.7549683726465448,0.3471573135689838,0.9965762156584225,0.9974390925877206,0.9342403628117912,0.05234936478731482
cleveland,hungary,0,reliability_gated_sfda,0.9761904761904763,1.0,1.0,0.08237948076614318,0.024058046497917453,0.08287649806699883,0.0785225324798377,0.03590554247890933,0.9999641376273094,0.999972829621868,0.9931972789115646,0.005142659208654949
cleveland,hungary,0,conservative_candidate,1.0,1.0,1.0,0.017102458937276244,0.004994590261010927,0.022479936366317146,0.02129293300095024,0.010950806207365485,0.9999760337248853,0.9999843115528586,0.9965986394557823,0.0030211085250892596
cleveland,hungary,1,pseudo_label_sfda,0.9523809523809524,1.0,1.0,0.768224668779632,0.23833909955967927,0.7726423194496921,0.7371287387795746,0.3360108273059075,0.9992161124789208,0.9994191702396049,0.9455782312925171,0.03640271431836141
cleveland,hungary,1,entropy_sfda,0.9523809523809524,1.0,1.0,0.7559872074804852,0.23454246867099882,0.7693459404019302,0.7238239358412103,0.33217522834958424,0.9975561438650203,0.9981633807552182,0.9183673469387755,0.04471238316226827
cleveland,hungary,1,reliability_gated_sfda,1.0,1.0,1.0,0.07579856121375803,0.023516246694218753,0.07664347278456435,0.0733521583897527,0.03357451381002086,0.9999799667240317,0.9999857754303959,0.9931972789115646,0.004340365715958427
cleveland,hungary,1,conservative_candidate,1.0,1.0,1.0,0.013460049579878938,0.004175934758764207,0.020311198111881913,0.018733979435637434,0.009592262786758456,0.9999801981139473,0.9999885295802098,0.9909297052154197,0.0022323286021445022
cleveland,hungary,2,pseudo_label_sfda,1.0,1.0,1.0,0.8765414642595815,0.2514832162825997,0.8788833565395923,0.8561826435616238,0.3693891967566671,0.9987919027976386,0.998971148883968,0.9637188208616781,0.044931636221998306
cleveland,hungary,2,entropy_sfda,1.0,1.0,1.0,0.8562008162254866,0.24564740383394673,0.8634953670961647,0.8267080633668232,0.36049474291189093,0.9965563617957299,0.9969883340155878,0.9331065759637187,0.059362833509316704
cleveland,hungary,2,reliability_gated_sfda,1.0,1.0,1.0,0.08638807394384337,0.02478508042081969,0.08676779995657481,0.08422854763921336,0.03660943438613517,0.9999720326286591,0.9999762166375106,0.9965986394557823,0.004917839380475336
cleveland,hungary,2,conservative_candidate,1.0,1.0,1.0,0.02148425257737288,0.006163917119596096,0.023477514555916238,0.022397954831831164,0.01073625768477108,0.9999825813703376,0.9999866293815121,0.9965986394557823,0.002131297693391439
cleveland,hungary,3,pseudo_label_sfda,0.9761904761904763,1.0,1.0,0.8349018985683534,0.23443807870465078,0.8371931388756406,0.8043096801266074,0.3552533510933112,0.9987196012631095,0.9990548613152697,0.9467120181405897,0.042511061030332344
cleveland,hungary,3,entropy_sfda,0.9523809523809524,1.0,1.0,0.825531712131532,0.2318069570014667,0.830176561298902,0.8033899217844009,0.3487199381374867,0.9970692864893941,0.9979251579543522,0.9172335600907028,0.05056200514200657
cleveland,hungary,3,reliability_gated_sfda,1.0,1.0,1.0,0.08177157385998589,0.02296122538619555,0.08209559581001752,0.0798197041731328,0.03520322929690275,0.9999745815437349,0.9999793065141276,0.9931972789115646,0.00425055990356724
cleveland,hungary,3,conservative_candidate,1.0,1.0,1.0,0.018927845762778117,0.005314885260475158,0.022050189447698508,0.020122315734624887,0.010489570870791536,0.9999854621331988,0.9999889498071313,0.9931972789115646,0.0014754960386297968
cleveland,hungary,4,pseudo_label_sfda,1.0,1.0,1.0,0.8209292340728495,0.2403823908252125,0.8238593773595237,0.7831416365224869,0.36284902670351965,0.9989046692151196,0.9990210719781898,0.9705215419501135,0.038391002068980315
cleveland,hungary,4,entropy_sfda,1.0,1.0,1.0,0.7767812596644037,0.22745509429595925,0.7900704484049543,0.7509447051561438,0.3410153354921672,0.9967963228489248,0.997118576070456,0.9569160997732425,0.04814390553681015
cleveland,hungary,4,reliability_gated_sfda,1.0,1.0,1.0,0.07737968385350645,0.02265812037624956,0.0778559605734025,0.07358191358798641,0.0342356843089429,0.9999800755565131,0.9999822903080469,0.9909297052154195,0.003884595825153146
cleveland,hungary,4,conservative_candidate,1.0,1.0,1.0,0.016576236526757646,0.004853811025120129,0.021449713236949167,0.02014627214521174,0.010048128513195443,0.9999827114970623,0.9999869653903083,0.9909297052154197,0.0015764459175672217
cleveland,hungary,5,pseudo_label_sfda,0.9761904761904763,1.0,1.0,0.7721756656091554,0.22627985786871924,0.7750041012253129,0.7570313323667504,0.3352478758734357,0.9987510581555962,0.9991216886288025,0.9546485260770976,0.04011825001307567
cleveland,hungary,5,entropy_sfda,0.9761904761904763,1.0,1.0,0.7426101270402363,0.21761591498221367,0.7489983989313618,0.742852383758873,0.32264776849647403,0.9971080738486351,0.9977389181593397,0.9546485260770976,0.048934794790159
cleveland,hungary,5,reliability_gated_sfda,1.0,1.0,1.0,0.07152538040912262,0.020959936493484915,0.07195436125767338,0.06928555644117286,0.03127300890391838,0.9999798927625035,0.9999849455815586,0.9920634920634921,0.003831117428192982
cleveland,hungary,5,conservative_candidate,1.0,1.0,1.0,0.008720974507286233,0.0025556113199043744,0.01333088563055476,0.012342935195192611,0.006340178484799908,0.9999927963590384,0.999995178548219,0.9931972789115646,0.0011475618618230024
cleveland,hungary,6,pseudo_label_sfda,0.9761904761904763,1.0,1.0,0.6100982469262548,0.19961003082572734,0.6117828070862891,0.5988200888969005,0.2700358508769852,0.999154466729602,0.9993510437674488,0.9716553287981858,0.03916307004821189
cleveland,hungary,6,entropy_sfda,0.9761904761904763,1.0,1.0,0.6729437730494959,0.22017163294459974,0.6795728979804011,0.6690080387052149,0.2989850054851395,0.9977834335210087,0.9982755296713908,0.9569160997732425,0.050655435216391376
cleveland,hungary,6,reliability_gated_sfda,1.0,1.0,1.0,0.06907636119151958,0.022600187193186533,0.06920577442766679,0.06703698850469657,0.030416744439374165,0.9999840877127055,0.9999863939366329,0.9988662131519275,0.004376321609708525
cleveland,hungary,6,conservative_candidate,1.0,1.0,1.0,0.011136158989200055,0.00364349356896794,0.014933167392882755,0.014645349932834518,0.006927345871731039,0.9999900139984373,0.9999928359726613,1.0,0.0019364130372802424
cleveland,hungary,7,pseudo_label_sfda,1.0,1.0,1.0,0.7081046128268063,0.21833613798190085,0.7120946354024725,0.702668322948739,0.3024171694236779,0.9985369525956336,0.9990315731530306,0.9682539682539681,0.04297951203739258
cleveland,hungary,7,entropy_sfda,1.0,1.0,1.0,0.7541037598598028,0.23251946051888106,0.7651103061259708,0.7070893238997087,0.3237864800430631,0.9960261754409394,0.9970923001830587,0.947845804988662,0.05740044006070464
cleveland,hungary,7,reliability_gated_sfda,1.0,1.0,1.0,0.07428271970503517,0.022904245849272975,0.07479169765266502,0.07319663278758529,0.032938714941771766,0.9999826054606898,0.9999870043723633,0.9988662131519275,0.004049627853202675
cleveland,hungary,7,conservative_candidate,1.0,1.0,1.0,0.008826289324345954,0.0027214876006745083,0.012729404688165214,0.012191833928227286,0.006038204608423506,0.9999917442691886,0.9999945289778978,0.9965986394557823,0.0010429259918655444
