source,target,seed,model_state,feature,mean_abs_shap,importance_rank,importance_fraction,top3
cleveland,hungary,0,conservative_candidate,age,0.1480339343521385,8,0.04310536337390528,False
cleveland,hungary,0,conservative_candidate,sex,0.6431775163022839,2,0.18728408912098427,True
cleveland,hungary,0,conservative_candidate,cp,0.7929360238410735,1,0.23089162352885434,True
cleveland,hungary,0,conservative_candidate,trestbps,0.2296136893279736,6,0.06686022064752561,False
cleveland,hungary,0,conservative_candidate,restecg,0.1495113261936273,7,0.04353555873723009,False
cleveland,hungary,0,conservative_candidate,thalach,0.6405321588663726,3,0.18651379888970818,True
cleveland,hungary,0,conservative_candidate,exang,0.4015784707351201,5,0.11693390424250708,False
cleveland,hungary,0,conservative_candidate,oldpeak,0.4288515733605643,4,0.1248754414592851,False
cleveland,hungary,0,entropy_sfda,age,0.2430730498024439,7,0.05744289164013459,False
cleveland,hungary,0,entropy_sfda,sex,0.6986420180420486,3,0.1651027037767099,True
cleveland,hungary,0,entropy_sfda,cp,0.9535760990420016,1,0.22534858789327294,True
cleveland,hungary,0,entropy_sfda,trestbps,0.3148511679641915,6,0.07440545769609637,False
cleveland,hungary,0,entropy_sfda,restecg,0.1847928106678694,8,0.04367013705426262,False
cleveland,hungary,0,entropy_sfda,thalach,0.7717678893965726,2,0.1823837701381281,True
cleveland,hungary,0,entropy_sfda,exang,0.5256486354383076,5,0.12422100117971914,False
cleveland,hungary,0,entropy_sfda,oldpeak,0.5392084559235646,4,0.1274254506216764,False
cleveland,hungary,0,pseudo_label_sfda,age,0.2176256000668564,7,0.050967679840431115,False
cleveland,hungary,0,pseudo_label_sfda,sex,0.7388896485727255,3,0.1730471554554888,True
cleveland,hungary,0,pseudo_label_sfda,cp,0.9667229786654618,1,0.226405474612695,True
cleveland,hungary,0,pseudo_label_sfda,trestbps,0.3063684860600766,6,0.07175116762876492,False
cleveland,hungary,0,pseudo_label_sfda,restecg,0.18436552784696,8,0.04317820694821384,False
cleveland,hungary,0,pseudo_label_sfda,thalach,0.7985241905133538,2,0.18701350059193855,True
cleveland,hungary,0,pseudo_label_sfda,exang,0.5147383488511958,5,0.12055116382346688,False
cleveland,hungary,0,pseudo_label_sfda,oldpeak,0.5426397899001025,4,0.12708565109900094,False
cleveland,hungary,0,reliability_gated_sfda,age,0.1513472894094979,8,0.04316098849146123,False
cleveland,hungary,0,reliability_gated_sfda,sex,0.6533552775678991,3,0.18632285867799545,True
cleveland,hungary,0,reliability_gated_sfda,cp,0.8089423950565156,1,0.23069295485577593,True
cleveland,hungary,0,reliability_gated_sfda,trestbps,0.2363873095723616,6,0.0674125713634347,False
cleveland,hungary,0,reliability_gated_sfda,restecg,0.152390468505207,7,0.04345848071031829,False
cleveland,hungary,0,reliability_gated_sfda,thalach,0.6556642274657378,2,0.18698132147806804,True
cleveland,hungary,0,reliability_gated_sfda,exang,0.4104598680143656,5,0.11705431731678546,False
cleveland,hungary,0,reliability_gated_sfda,oldpeak,0.4380292345890078,4,0.12491650710616091,False
cleveland,hungary,0,source_only,age,0.1420754036568358,8,0.04149160246699832,False
cleveland,hungary,0,source_only,sex,0.6467096939885697,2,0.1888646510506453,True
cleveland,hungary,0,source_only,cp,0.7920222000478685,1,0.23130161466088817,True
cleveland,hungary,0,source_only,trestbps,0.2278211764487609,6,0.06653273855626356,False
cleveland,hungary,0,source_only,restecg,0.1494958751312891,7,0.043658671816168546,False
cleveland,hungary,0,source_only,thalach,0.639754607779335,3,0.18683349249195283,True
cleveland,hungary,0,source_only,exang,0.3983514576415423,5,0.116334283747903,False
cleveland,hungary,0,source_only,oldpeak,0.427966174720248,4,0.12498294520918024,False
cleveland,hungary,1,conservative_candidate,age,0.1663735849995856,6,0.05150884443968686,False
cleveland,hungary,1,conservative_candidate,sex,0.5717411851193629,2,0.17700963626016009,True
cleveland,hungary,1,conservative_candidate,cp,0.7377250635264707,1,0.22839782851669474,True
cleveland,hungary,1,conservative_candidate,trestbps,0.1163316137604034,8,0.036015975712834936,False
cleveland,hungary,1,conservative_candidate,restecg,0.1266584243372933,7,0.03921313035468785,False
cleveland,hungary,1,conservative_candidate,thalach,0.5620527678821869,3,0.1740101265943816,True
cleveland,hungary,1,conservative_candidate,exang,0.442228832402501,5,0.13691293684043362,False
cleveland,hungary,1,conservative_candidate,oldpeak,0.5068888669314028,4,0.1569315212811204,False
cleveland,hungary,1,entropy_sfda,age,0.2415465281588868,6,0.060701833700421225,False
cleveland,hungary,1,entropy_sfda,sex,0.6392824509668917,3,0.1606548325160112,True
cleveland,hungary,1,entropy_sfda,cp,0.8923135694388782,1,0.22424280039777192,True
cleveland,hungary,1,entropy_sfda,trestbps,0.1607982718819739,7,0.04040939869222288,False
cleveland,hungary,1,entropy_sfda,restecg,0.1557688326331339,8,0.03914547580657231,False
cleveland,hungary,1,entropy_sfda,thalach,0.6874114653684807,2,0.17274989118085235,True
cleveland,hungary,1,entropy_sfda,exang,0.5693943068182388,5,0.14309159724172058,False
cleveland,hungary,1,entropy_sfda,oldpeak,0.6327140878151063,4,0.15900417046442758,False
cleveland,hungary,1,pseudo_label_sfda,age,0.2159819997261836,6,0.05411093242471147,False
cleveland,hungary,1,pseudo_label_sfda,sex,0.6736893925283637,3,0.16878240427703511,True
cleveland,hungary,1,pseudo_label_sfda,cp,0.8980771408124897,1,0.2249992663290978,True
cleveland,hungary,1,pseudo_label_sfda,trestbps,0.161991200096221,7,0.04058437690602549,False
cleveland,hungary,1,pseudo_label_sfda,restecg,0.1508429918065389,8,0.03779136662653753,False
cleveland,hungary,1,pseudo_label_sfda,thalach,0.6942804074960247,2,0.17394116297398152,True
