analysis_level,method,xai_metric,outcome,outcome_interpretation,n,spearman_rho,nominal_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_iterations,inference_note
seed_level_descriptive,ALL,global_importance_spearman,delta_roc_auc,AUROC change; positive = improvement,480,-0.023343930536405228,0.6099282019446054,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,global_importance_spearman,brier_degradation,Brier degradation; positive = worsening,480,-0.33744595818889367,3.01253432580764e-14,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,global_top3_overlap_fraction,delta_roc_auc,AUROC change; positive = improvement,480,-0.09417924130217996,0.03915347185983008,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,global_top3_overlap_fraction,brier_degradation,Brier degradation; positive = worsening,480,-0.22249254865173657,8.491984646308523e-07,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,global_importance_relative_l1_drift,delta_roc_auc,AUROC change; positive = improvement,480,0.0854891109904792,0.0612735181084338,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,global_importance_relative_l1_drift,brier_degradation,Brier degradation; positive = worsening,480,0.4594762640212385,1.9153131690274033e-26,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,patient_l1_drift_mean,delta_roc_auc,AUROC change; positive = improvement,480,0.05110147308608792,0.26382834611969813,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,patient_l1_drift_mean,brier_degradation,Brier degradation; positive = worsening,480,0.3938031798485988,2.956190278901628e-19,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,patient_l2_drift_mean,delta_roc_auc,AUROC change; positive = improvement,480,0.05587229400179793,0.22175919180624415,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,patient_l2_drift_mean,brier_degradation,Brier degradation; positive = worsening,480,0.3982763715927178,1.0709539371127869e-19,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,patient_cosine_similarity_mean,delta_roc_auc,AUROC change; positive = improvement,480,-0.09980875936973713,0.028781886645724578,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,patient_cosine_similarity_mean,brier_degradation,Brier degradation; positive = worsening,480,-0.43742708292841437,7.46620297236157e-24,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,patient_top3_overlap_mean,delta_roc_auc,AUROC change; positive = improvement,480,-0.06756504333186521,0.13937944375422687,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,patient_top3_overlap_mean,brier_degradation,Brier degradation; positive = worsening,480,-0.4270848894788634,1.0582774453443976e-22,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,mean_absolute_probability_shift,delta_roc_auc,AUROC change; positive = improvement,480,0.06083915651464676,0.18329540789779225,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,ALL,mean_absolute_probability_shift,brier_degradation,Brier degradation; positive = worsening,480,0.42181106673456065,3.9507926828606848e-22,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,global_importance_spearman,delta_roc_auc,AUROC change; positive = improvement,120,-0.14545409057905417,0.11293581359425621,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,global_importance_spearman,brier_degradation,Brier degradation; positive = worsening,120,-0.2816180436358487,0.001833222325208608,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,global_top3_overlap_fraction,delta_roc_auc,AUROC change; positive = improvement,120,-0.2279865840564635,0.012265885356959482,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,global_top3_overlap_fraction,brier_degradation,Brier degradation; positive = worsening,120,-0.31073940563094143,0.0005517760430684884,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,global_importance_relative_l1_drift,delta_roc_auc,AUROC change; positive = improvement,120,0.2870108213600802,0.0014814977560528787,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,global_importance_relative_l1_drift,brier_degradation,Brier degradation; positive = worsening,120,0.5612582775522559,2.5924281519332312e-11,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,patient_l1_drift_mean,delta_roc_auc,AUROC change; positive = improvement,120,0.22730271283238485,0.012536001872772096,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,patient_l1_drift_mean,brier_degradation,Brier degradation; positive = worsening,120,0.388719679769039,1.1468014734564706e-05,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,patient_l2_drift_mean,delta_roc_auc,AUROC change; positive = improvement,120,0.2349787216398915,0.009783229761780286,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,patient_l2_drift_mean,brier_degradation,Brier degradation; positive = worsening,120,0.40595823493825156,4.221133776107821e-06,,,0,Descriptive only; seed/direction observations are not treated as independent.
