source,target,direction,seed,method,delta_roc_auc,negative_adaptation_auc,global_importance_spearman,global_top3_overlap_fraction,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,hungary,cleveland -> hungary,0,pseudo_label_sfda,-0.0012545162585309,True,0.9523809523809524,1.0,0.2469712117804829,0.847137595055895,0.3630673998469321,0.9986325587140624,0.9603174603174603,0.0425218323468971
cleveland,hungary,cleveland -> hungary,0,entropy_sfda,-0.0019068647129667,True,0.9523809523809524,1.0,0.2357818880371621,0.8127830595962947,0.3471573135689838,0.9965762156584224,0.9342403628117912,0.0523493647873148
cleveland,hungary,cleveland -> hungary,0,reliability_gated_sfda,-0.0003010839020474,True,0.9761904761904764,1.0,0.0240580464979174,0.0828764980669988,0.0359055424789093,0.9999641376273094,0.9931972789115646,0.0051426592086549
cleveland,hungary,cleveland -> hungary,0,conservative_candidate,-0.0004516258530711,True,1.0,1.0,0.0049945902610109,0.0224799363663171,0.0109508062073654,0.9999760337248852,0.9965986394557824,0.0030211085250892
cleveland,hungary,cleveland -> hungary,1,pseudo_label_sfda,-0.0013046969088716,True,0.9523809523809524,1.0,0.2383390995596792,0.7726423194496921,0.3360108273059075,0.9992161124789208,0.9455782312925172,0.0364027143183614
cleveland,hungary,cleveland -> hungary,1,entropy_sfda,-0.0025592131674023,True,0.9523809523809524,1.0,0.2345424686709988,0.7693459404019302,0.3321752283495842,0.9975561438650205,0.9183673469387756,0.0447123831622682
cleveland,hungary,cleveland -> hungary,1,reliability_gated_sfda,-0.0003010839020471,True,1.0,1.0,0.0235162466942187,0.0766434727845643,0.0335745138100208,0.9999799667240316,0.9931972789115646,0.0043403657159584
cleveland,hungary,cleveland -> hungary,1,conservative_candidate,-0.0006021678040945,True,1.0,1.0,0.0041759347587642,0.0203111981118819,0.0095922627867584,0.9999801981139472,0.9909297052154196,0.0022323286021445
cleveland,hungary,cleveland -> hungary,2,pseudo_label_sfda,0.0002509032517061,False,1.0,1.0,0.2514832162825997,0.8788833565395923,0.3693891967566671,0.9987919027976386,0.963718820861678,0.0449316362219983
cleveland,hungary,cleveland -> hungary,2,entropy_sfda,-0.0012043356081894,True,1.0,1.0,0.2456474038339467,0.8634953670961647,0.3604947429118909,0.99655636179573,0.9331065759637188,0.0593628335093167
cleveland,hungary,cleveland -> hungary,2,reliability_gated_sfda,-0.0003512645523885,True,1.0,1.0,0.0247850804208196,0.0867677999565748,0.0366094343861351,0.9999720326286592,0.9965986394557824,0.0049178393804753
cleveland,hungary,cleveland -> hungary,2,conservative_candidate,-0.0006523484544358,True,1.0,1.0,0.006163917119596,0.0234775145559162,0.010736257684771,0.9999825813703376,0.9965986394557824,0.0021312976933914
cleveland,hungary,cleveland -> hungary,3,pseudo_label_sfda,-0.002207948615014,True,0.9761904761904764,1.0,0.2344380787046507,0.8371931388756406,0.3552533510933112,0.9987196012631095,0.9467120181405896,0.0425110610303323
cleveland,hungary,cleveland -> hungary,3,entropy_sfda,-0.0033621035728622,True,0.9523809523809524,1.0,0.2318069570014667,0.830176561298902,0.3487199381374867,0.997069286489394,0.9172335600907028,0.0505620051420065
cleveland,hungary,cleveland -> hungary,3,reliability_gated_sfda,-0.0002509032517061,True,1.0,1.0,0.0229612253861955,0.0820955958100175,0.0352032292969027,0.9999745815437348,0.9931972789115646,0.0042505599035672
cleveland,hungary,cleveland -> hungary,3,conservative_candidate,-0.0004014452027297,True,1.0,1.0,0.0053148852604751,0.0220501894476985,0.0104895708707915,0.9999854621331988,0.9931972789115646,0.0014754960386297
cleveland,hungary,cleveland -> hungary,4,pseudo_label_sfda,0.0009534323564832,False,1.0,1.0,0.2403823908252125,0.8238593773595237,0.3628490267035196,0.9989046692151196,0.9705215419501136,0.0383910020689803
cleveland,hungary,cleveland -> hungary,4,entropy_sfda,-0.000652348454436,True,1.0,1.0,0.2274550942959592,0.7900704484049543,0.3410153354921672,0.9967963228489248,0.9569160997732424,0.0481439055368101
cleveland,hungary,cleveland -> hungary,4,reliability_gated_sfda,-5.018065034123609e-05,True,1.0,1.0,0.0226581203762495,0.0778559605734025,0.0342356843089429,0.9999800755565132,0.9909297052154196,0.0038845958251531
cleveland,hungary,cleveland -> hungary,4,conservative_candidate,5.018065034123609e-05,False,1.0,1.0,0.0048538110251201,0.0214497132369491,0.0100481285131954,0.9999827114970624,0.9909297052154196,0.0015764459175672
cleveland,hungary,cleveland -> hungary,5,pseudo_label_sfda,-0.0008028904054596,True,0.9761904761904764,1.0,0.2262798578687192,0.7750041012253129,0.3352478758734357,0.9987510581555962,0.9546485260770976,0.0401182500130756
cleveland,hungary,cleveland -> hungary,5,entropy_sfda,-0.0016559614612605,True,0.9761904761904764,1.0,0.2176159149822136,0.7489983989313618,0.322647768496474,0.9971080738486352,0.9546485260770976,0.048934794790159
cleveland,hungary,cleveland -> hungary,5,reliability_gated_sfda,-5.018065034134711e-05,True,1.0,1.0,0.0209599364934849,0.0719543612576733,0.0312730089039183,0.9999798927625037,0.992063492063492,0.0038311174281929
cleveland,hungary,cleveland -> hungary,5,conservative_candidate,5.018065034123609e-05,False,1.0,1.0,0.0025556113199043,0.0133308856305547,0.0063401784847999,0.9999927963590384,0.9931972789115646,0.001147561861823
cleveland,hungary,cleveland -> hungary,6,pseudo_label_sfda,-0.0001505419510237,True,0.9761904761904764,1.0,0.1996100308257273,0.6117828070862891,0.2700358508769852,0.999154466729602,0.9716553287981858,0.0391630700482118
cleveland,hungary,cleveland -> hungary,6,entropy_sfda,-0.0005018065034122,True,0.9761904761904764,1.0,0.2201716329445997,0.6795728979804011,0.2989850054851395,0.9977834335210088,0.9569160997732424,0.0506554352163913
cleveland,hungary,cleveland -> hungary,6,reliability_gated_sfda,0.0001003613006825,False,1.0,1.0,0.0226001871931865,0.0692057744276667,0.0304167444393741,0.9999840877127056,0.9988662131519276,0.0043763216097085
cleveland,hungary,cleveland -> hungary,6,conservative_candidate,0.0002509032517061,False,1.0,1.0,0.0036434935689679,0.0149331673928827,0.006927345871731,0.9999900139984372,1.0,0.0019364130372802
cleveland,hungary,cleveland -> hungary,7,pseudo_label_sfda,-0.000702529104777,True,1.0,1.0,0.2183361379819008,0.7120946354024725,0.3024171694236779,0.9985369525956336,0.968253968253968,0.0429795120373925
cleveland,hungary,cleveland -> hungary,7,entropy_sfda,-0.0014552388598956,True,1.0,1.0,0.232519460518881,0.7651103061259708,0.3237864800430631,0.9960261754409394,0.947845804988662,0.0574004400607046
cleveland,hungary,cleveland -> hungary,7,reliability_gated_sfda,-0.0003010839020475,True,1.0,1.0,0.0229042458492729,0.074791697652665,0.0329387149417717,0.9999826054606898,0.9988662131519276,0.0040496278532026
cleveland,hungary,cleveland -> hungary,7,conservative_candidate,1.1102230246251563e-16,False,1.0,1.0,0.0027214876006745,0.0127294046881652,0.0060382046084235,0.9999917442691886,0.9965986394557824,0.0010429259918655
cleveland,hungary,cleveland -> hungary,8,pseudo_label_sfda,0.0,False,1.0,1.0,0.2461785820418106,0.8818556984488972,0.3712783732051953,0.9989399635566124,0.971655328798186,0.0442741940987492
cleveland,hungary,cleveland -> hungary,8,entropy_sfda,-0.0010537936571658,True,1.0,1.0,0.2411479193370847,0.867761205358757,0.3604631571233214,0.997624512177524,0.95124716553288,0.0538603613710626
cleveland,hungary,cleveland -> hungary,8,reliability_gated_sfda,5.018065034123609e-05,False,1.0,1.0,0.023193105339732,0.0830817976099324,0.0354730283306019,0.9999824836577886,0.9988662131519274,0.0044291047015081
cleveland,hungary,cleveland -> hungary,8,conservative_candidate,-0.0001505419510237,True,1.0,1.0,0.0042468481207092,0.018302255714008,0.0088380108414022,0.999986877201438,0.9988662131519274,0.0018820593760786
cleveland,hungary,cleveland -> hungary,9,pseudo_label_sfda,-0.0008028904054596,True,1.0,1.0,0.2495673455132258,0.8319277286833052,0.3543880369288795,0.9986615309303496,0.9625850340136054,0.0451691122583056
