model_state,feature,mean_abs_shap_mean,mean_abs_shap_sd,importance_fraction_mean,importance_fraction_sd,importance_fraction_median,mean_importance_rank,median_importance_rank,top3_frequency,n_jobs,aggregate_fraction_rank
conservative_candidate,cp,0.4638093297392688,0.1833877147022667,0.24251044625644697,0.07987526357674321,0.22830160574657837,1.8833333333333333,1.0,0.9,120,1
conservative_candidate,oldpeak,0.4296903649974507,0.3063506090719035,0.19763002463313822,0.09475657794339538,0.19196256555565083,2.775,2.0,0.6666666666666666,120,2
conservative_candidate,exang,0.33983334684044825,0.17120774088341187,0.16553657285868176,0.04246195801476724,0.16585189396867223,3.35,3.0,0.5583333333333333,120,3
conservative_candidate,thalach,0.2537283489350536,0.17852863574840513,0.11784222102108312,0.061504229307034856,0.1112719625606474,4.391666666666667,4.0,0.375,120,4
conservative_candidate,age,0.11878216687761531,0.06902457337731557,0.07688676076728403,0.06476228657158768,0.051087918463261696,5.675,6.0,0.20833333333333334,120,5
conservative_candidate,sex,0.17851484555922198,0.2011646446949011,0.07333922995788916,0.05721464737176149,0.05513147388114409,5.816666666666666,6.0,0.16666666666666666,120,6
conservative_candidate,trestbps,0.12434673247800639,0.05914493424196801,0.0711333290906234,0.03990335330677288,0.06363771800108955,5.808333333333334,6.0,0.075,120,7
conservative_candidate,restecg,0.10043442213820301,0.05558400828218165,0.05512141541485337,0.03594507626435197,0.0476571294471755,6.3,7.0,0.05,120,8
entropy_sfda,cp,0.5377105795655888,0.21004854858853547,0.2450883283960161,0.08286191832713875,0.22378097088190715,1.825,1.0,0.9166666666666666,120,1
entropy_sfda,oldpeak,0.5005247824811119,0.36537015228395175,0.19760286985491554,0.09640090410735988,0.19301350272180762,2.8583333333333334,2.0,0.6833333333333333,120,2
entropy_sfda,exang,0.394187232663913,0.2061586468047886,0.16516205270970946,0.04373351200516516,0.16276244760041764,3.2666666666666666,3.0,0.5916666666666667,120,3
entropy_sfda,thalach,0.296240535054631,0.20719130343715345,0.11843283103943908,0.058028395226728466,0.11105278031125934,4.316666666666666,4.0,0.375,120,4
entropy_sfda,age,0.1356721124170769,0.0759591193569017,0.07349783867307917,0.05716330563343132,0.05444402139588811,5.783333333333333,6.0,0.16666666666666666,120,5
entropy_sfda,trestbps,0.14784465158944646,0.06980361387896002,0.07305222128260219,0.04048935623747755,0.06548588346934486,5.725,6.0,0.08333333333333333,120,6
entropy_sfda,sex,0.2009245178927703,0.22322562997658765,0.07160225622334969,0.05205593518281322,0.06012848285693626,5.908333333333333,6.0,0.13333333333333333,120,7
entropy_sfda,restecg,0.11529132677138304,0.062389372395577056,0.05556160182088875,0.036382318532799725,0.04596163102110154,6.316666666666666,7.0,0.05,120,8
pseudo_label_sfda,cp,0.5320658033709355,0.22973725672476558,0.24300356954511887,0.08207570074873127,0.22644792916163767,1.8666666666666667,1.0,0.9,120,1
