condition,method_scope,metric,n_condition_true,n_condition_false,mean_condition_true,mean_condition_false,median_condition_true,median_condition_false,mean_difference_true_minus_false
negative_adaptation_auc,ALL,global_importance_spearman,170,310,0.9841736694677871,0.9898617511520736,1.0,1.0,-0.005688081684286583
negative_adaptation_auc,ALL,global_top3_overlap_fraction,170,310,0.9764705882352941,0.9752688172043013,1.0,1.0,0.0012017710309928376
negative_adaptation_auc,ALL,global_importance_relative_l1_drift,170,310,0.09659635687607862,0.06854420937598678,0.056233511426519195,0.02282702620635275,0.028052147500091842
negative_adaptation_auc,ALL,patient_l1_drift_mean,170,310,0.22753465022921932,0.1450316513418312,0.14014988968857295,0.0441943863530512,0.0825029988873881
negative_adaptation_auc,ALL,patient_l2_drift_mean,170,310,0.10643616310312815,0.07027342012568397,0.0679773228936873,0.0208962380794612,0.03616274297744418
negative_adaptation_auc,ALL,patient_cosine_similarity_mean,170,310,0.9973965570100066,0.9983031106319195,0.9996876197729994,0.9999560715418292,-0.0009065536219128312
negative_adaptation_auc,ALL,patient_top3_overlap_mean,170,310,0.9714211553252065,0.9823417923754192,0.989159891598916,0.994579945799458,-0.010920637050212734
negative_adaptation_auc,ALL,mean_absolute_probability_shift,170,310,0.02505159970593392,0.01607827563351674,0.0166770723568487,0.00401458245885815,0.008973324072417181
negative_adaptation_auc,pseudo_label_sfda,global_importance_spearman,39,81,0.9865689865689865,0.9864785420340977,1.0,1.0,9.044453488882276e-05
negative_adaptation_auc,pseudo_label_sfda,global_top3_overlap_fraction,39,81,0.9914529914529914,0.9629629629629629,1.0,1.0,0.028490028490028463
negative_adaptation_auc,pseudo_label_sfda,global_importance_relative_l1_drift,39,81,0.1266309605339777,0.12547435784819896,0.0926552981807555,0.1013802906699279,0.001156602685778746
negative_adaptation_auc,pseudo_label_sfda,patient_l1_drift_mean,39,81,0.30767319869668625,0.27472238497438256,0.2458798818492232,0.2507758687483344,0.032950813722303685
negative_adaptation_auc,pseudo_label_sfda,patient_l2_drift_mean,39,81,0.14268379661307715,0.13192654117465447,0.1215112382823552,0.1246638845462424,0.01075725543842268
