Source,Target,Method,Delta_AUROC_95CI,Brier_improvement_95CI
Cleveland,Hungary,Pseudo-label SFDA,"-0.0006 [-0.0029, +0.0015]","-0.0002 [-0.0046, +0.0040]"
Cleveland,Hungary,Entropy SFDA,"-0.0016 [-0.0049, +0.0016]","+0.0015 [-0.0043, +0.0071]"
Cleveland,Hungary,Reliability-gated v1,"-0.0001 [-0.0006, +0.0003]","-0.0002 [-0.0007, +0.0002]"
Cleveland,Hungary,Conservative candidate,"-0.0002 [-0.0006, +0.0002]","+0.0003 [+0.0000, +0.0005]"
Cleveland,Switzerland,Pseudo-label SFDA,"-0.0008 [-0.0046, +0.0033]","+0.0061 [+0.0033, +0.0092]"
Cleveland,Switzerland,Entropy SFDA,"-0.0001 [-0.0058, +0.0060]","+0.0089 [+0.0055, +0.0126]"
Cleveland,Switzerland,Reliability-gated v1,"-0.0003 [-0.0033, +0.0026]","-0.0028 [-0.0040, -0.0018]"
Cleveland,Switzerland,Conservative candidate,"-0.0004 [-0.0025, +0.0013]","+0.0018 [+0.0012, +0.0025]"
Cleveland,VA Long Beach,Pseudo-label SFDA,"+0.0010 [-0.0029, +0.0051]","-0.0005 [-0.0029, +0.0018]"
Cleveland,VA Long Beach,Entropy SFDA,"+0.0014 [-0.0040, +0.0072]","-0.0013 [-0.0046, +0.0020]"
Cleveland,VA Long Beach,Reliability-gated v1,"+0.0004 [-0.0005, +0.0014]","-0.0010 [-0.0017, -0.0003]"
Cleveland,VA Long Beach,Conservative candidate,"-0.0000 [-0.0011, +0.0011]","+0.0005 [+0.0002, +0.0009]"
Hungary,Cleveland,Pseudo-label SFDA,"+0.0018 [-0.0006, +0.0043]","-0.0040 [-0.0081, -0.0000]"
Hungary,Cleveland,Entropy SFDA,"+0.0008 [-0.0021, +0.0038]","-0.0092 [-0.0152, -0.0032]"
Hungary,Cleveland,Reliability-gated v1,"+0.0005 [-0.0001, +0.0012]","+0.0002 [-0.0003, +0.0006]"
Hungary,Cleveland,Conservative candidate,"+0.0001 [-0.0003, +0.0006]","-0.0000 [-0.0002, +0.0001]"
Hungary,Switzerland,Pseudo-label SFDA,"-0.0026 [-0.0077, +0.0011]","+0.0024 [-0.0006, +0.0055]"
Hungary,Switzerland,Entropy SFDA,"-0.0010 [-0.0074, +0.0048]","+0.0027 [-0.0012, +0.0065]"
Hungary,Switzerland,Reliability-gated v1,"-0.0004 [-0.0028, +0.0015]","-0.0042 [-0.0054, -0.0031]"
