target,method,mean_roc_auc,sd_roc_auc,mean_pr_auc,mean_balanced_accuracy,mean_brier,sd_brier,mean_delta_auc,mean_brier_improvement,negative_adaptation_rate,negative_adaptation_rate_pct
hungary,conservative_candidate,0.8787786029706945,0.0036182727297567356,,,0.13542703596120279,0.0031455360589710477,-0.0001204335608189222,0.00023497733110978137,0.6,60.0
hungary,entropy_sfda,0.8763598956242473,0.0042606921611199325,0.832518662653451,0.7962213970293055,0.13466506009148765,0.003002526816244644,-0.0025391409072661464,0.0009969532008249015,1.0,100.0
hungary,pseudo_label_sfda,0.8775140505820955,0.004069032289119021,0.834761433038523,0.8013649136892814,0.13547717340452387,0.003266983037974448,-0.001384985949417894,0.0001848398877886931,1.0,100.0
hungary,reliability_gated_sfda,0.8787033319951828,0.003745387884862003,0.8363000213759525,0.8052639502207949,0.1357907958675672,0.0031649158483076103,-0.00019570453633075414,-0.00012878257525461567,0.6,60.0
hungary,source_only,0.8788990365315135,0.0036436243584298906,0.8365022470031563,0.8044660778803694,0.1356620132923126,0.0031590788397490703,0.0,0.0,0.0,0.0
switzerland,conservative_candidate,0.7540217391304348,0.016917224996295964,,,0.15855843335294467,0.005949221174438187,-0.0006521739130434745,0.0018852481255556802,0.5,50.0
switzerland,entropy_sfda,0.7539130434782609,0.016926146458732107,0.9784065146295013,0.6456521739130434,0.15091018640683942,0.007370440720057441,-0.0007608695652173813,0.009533495071660902,0.5,50.0
switzerland,pseudo_label_sfda,0.7535869565217391,0.017017803914533548,0.9782656974921062,0.6479891304347827,0.15627469410021144,0.008435755953233976,-0.0010869565217391463,0.0041689873782888905,0.6,60.0
switzerland,reliability_gated_sfda,0.7541304347826088,0.016459008803826926,0.9783870052457818,0.6535326086956521,0.16331272168561328,0.006300975283539378,-0.0005434782608695566,-0.002869040207112947,0.5,50.0
switzerland,source_only,0.7546739130434783,0.016994646228153155,0.9784034952018892,0.6557065217391305,0.16044368147850033,0.005897043838391296,0.0,0.0,0.0,0.0
va_long_beach,conservative_candidate,0.7305961310698776,0.0070703792548818395,,,0.17766089499650647,0.002149295170988818,0.0001184366363994882,0.0005215966636116065,0.4,40.0
va_long_beach,entropy_sfda,0.7307935254638769,0.006738105606422294,0.8832029717031794,0.6524147914199236,0.17768419673461894,0.002231526857971111,0.000315831030398761,0.0004982949254991459,0.4,40.0
va_long_beach,pseudo_label_sfda,0.730240821160679,0.005859014792735448,0.8834409129801577,0.6530596131069878,0.17748912979787956,0.0024603211983149956,-0.0002368732727989986,0.000693361862238523,0.6,60.0
va_long_beach,reliability_gated_sfda,0.7306750888274773,0.006464891028476377,0.8838199517948044,0.6540136860113173,0.1791653600357254,0.0023010975428779078,0.00019739439399920621,-0.0009828683756073126,0.5,50.0
va_long_beach,source_only,0.7304776944334781,0.006973967361193293,0.8836911771773087,0.6540136860113173,0.17818249166011807,0.0021656622642702763,0.0,0.0,0.0,0.0
