source,target,direction,method,method_label,n_seeds,tn,fp,fn,tp
cleveland,hungary,Cleveland -> Hungary,dlar_lcl,DLAR-LCL,10,159.2 ± 3.2,28.8 ± 3.2,28.3 ± 2.4,77.7 ± 2.4
cleveland,hungary,Cleveland -> Hungary,dual_head_source_only,Dual-head source-only,10,158.9 ± 2.9,29.1 ± 2.9,28.1 ± 2.3,77.9 ± 2.3
cleveland,switzerland,Cleveland -> Switzerland,dlar_lcl,DLAR-LCL,10,4.1 ± 0.7,3.9 ± 0.7,30.3 ± 3.4,84.7 ± 3.4
cleveland,switzerland,Cleveland -> Switzerland,dual_head_source_only,Dual-head source-only,10,4.0 ± 0.7,4.0 ± 0.7,29.7 ± 3.8,85.3 ± 3.8
cleveland,va_long_beach,Cleveland -> VA Long Beach,dlar_lcl,DLAR-LCL,10,26.2 ± 2.4,24.8 ± 2.4,29.5 ± 6.2,119.5 ± 6.2
cleveland,va_long_beach,Cleveland -> VA Long Beach,dual_head_source_only,Dual-head source-only,10,25.5 ± 2.3,25.5 ± 2.3,28.1 ± 6.1,120.9 ± 6.1
hungary,cleveland,Hungary -> Cleveland,dlar_lcl,DLAR-LCL,10,149.7 ± 3.1,14.3 ± 3.1,50.1 ± 7.5,88.9 ± 7.5
hungary,cleveland,Hungary -> Cleveland,dual_head_source_only,Dual-head source-only,10,149.9 ± 2.9,14.1 ± 2.9,50.3 ± 7.0,88.7 ± 7.0
hungary,switzerland,Hungary -> Switzerland,dlar_lcl,DLAR-LCL,10,6.0 ± 0.7,2.0 ± 0.7,51.3 ± 4.3,63.7 ± 4.3
hungary,switzerland,Hungary -> Switzerland,dual_head_source_only,Dual-head source-only,10,6.0 ± 0.7,2.0 ± 0.7,51.2 ± 4.3,63.8 ± 4.3
hungary,va_long_beach,Hungary -> VA Long Beach,dlar_lcl,DLAR-LCL,10,37.7 ± 1.9,13.3 ± 1.9,57.2 ± 5.1,91.8 ± 5.1
hungary,va_long_beach,Hungary -> VA Long Beach,dual_head_source_only,Dual-head source-only,10,37.6 ± 1.9,13.4 ± 1.9,56.7 ± 5.1,92.3 ± 5.1
switzerland,cleveland,Switzerland -> Cleveland,dlar_lcl,DLAR-LCL,10,0.0 ± 0.0,164.0 ± 0.0,0.0 ± 0.0,139.0 ± 0.0
switzerland,cleveland,Switzerland -> Cleveland,dual_head_source_only,Dual-head source-only,10,0.0 ± 0.0,164.0 ± 0.0,0.0 ± 0.0,139.0 ± 0.0
switzerland,hungary,Switzerland -> Hungary,dlar_lcl,DLAR-LCL,10,0.0 ± 0.0,188.0 ± 0.0,0.0 ± 0.0,106.0 ± 0.0
switzerland,hungary,Switzerland -> Hungary,dual_head_source_only,Dual-head source-only,10,0.0 ± 0.0,188.0 ± 0.0,0.0 ± 0.0,106.0 ± 0.0
switzerland,va_long_beach,Switzerland -> VA Long Beach,dlar_lcl,DLAR-LCL,10,0.0 ± 0.0,51.0 ± 0.0,0.0 ± 0.0,149.0 ± 0.0
switzerland,va_long_beach,Switzerland -> VA Long Beach,dual_head_source_only,Dual-head source-only,10,0.0 ± 0.0,51.0 ± 0.0,0.0 ± 0.0,149.0 ± 0.0
va_long_beach,cleveland,VA Long Beach -> Cleveland,dlar_lcl,DLAR-LCL,10,0.0 ± 0.0,164.0 ± 0.0,0.0 ± 0.0,139.0 ± 0.0
va_long_beach,cleveland,VA Long Beach -> Cleveland,dual_head_source_only,Dual-head source-only,10,0.0 ± 0.0,164.0 ± 0.0,0.0 ± 0.0,139.0 ± 0.0
va_long_beach,hungary,VA Long Beach -> Hungary,dlar_lcl,DLAR-LCL,10,0.0 ± 0.0,188.0 ± 0.0,0.0 ± 0.0,106.0 ± 0.0
va_long_beach,hungary,VA Long Beach -> Hungary,dual_head_source_only,Dual-head source-only,10,0.0 ± 0.0,188.0 ± 0.0,0.0 ± 0.0,106.0 ± 0.0
va_long_beach,switzerland,VA Long Beach -> Switzerland,dlar_lcl,DLAR-LCL,10,0.0 ± 0.0,8.0 ± 0.0,0.0 ± 0.0,115.0 ± 0.0
va_long_beach,switzerland,VA Long Beach -> Switzerland,dual_head_source_only,Dual-head source-only,10,0.0 ± 0.0,8.0 ± 0.0,0.0 ± 0.0,115.0 ± 0.0
