source,target,direction,method,method_label,n_seeds,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece10,predicted_positive_rate
cleveland,hungary,Cleveland -> Hungary,dlar_lcl,DLAR-LCL,10,0.806 ± 0.007,0.790 ± 0.007,0.730 ± 0.018,0.733 ± 0.022,0.847 ± 0.017,0.731 ± 0.009,0.580 ± 0.014,0.862 ± 0.007,0.819 ± 0.009,0.146 ± 0.006,0.105 ± 0.023,0.362 ± 0.018
cleveland,hungary,Cleveland -> Hungary,dual_head_source_only,Dual-head source-only,10,0.805 ± 0.007,0.790 ± 0.008,0.729 ± 0.017,0.735 ± 0.022,0.845 ± 0.016,0.731 ± 0.010,0.579 ± 0.015,0.862 ± 0.008,0.820 ± 0.009,0.147 ± 0.006,0.109 ± 0.023,0.364 ± 0.016
cleveland,switzerland,Cleveland -> Switzerland,dlar_lcl,DLAR-LCL,10,0.722 ± 0.025,0.625 ± 0.041,0.956 ± 0.007,0.737 ± 0.030,0.512 ± 0.092,0.832 ± 0.018,0.137 ± 0.044,0.745 ± 0.016,0.978 ± 0.002,0.176 ± 0.012,0.300 ± 0.024,0.720 ± 0.031
cleveland,switzerland,Cleveland -> Switzerland,dual_head_source_only,Dual-head source-only,10,0.726 ± 0.029,0.621 ± 0.038,0.955 ± 0.007,0.742 ± 0.033,0.500 ± 0.083,0.835 ± 0.020,0.134 ± 0.042,0.747 ± 0.017,0.978 ± 0.002,0.174 ± 0.011,0.300 ± 0.024,0.726 ± 0.033
cleveland,va_long_beach,Cleveland -> VA Long Beach,dlar_lcl,DLAR-LCL,10,0.729 ± 0.025,0.658 ± 0.020,0.828 ± 0.011,0.802 ± 0.041,0.514 ± 0.047,0.814 ± 0.022,0.309 ± 0.040,0.728 ± 0.010,0.882 ± 0.005,0.181 ± 0.005,0.106 ± 0.015,0.722 ± 0.039
cleveland,va_long_beach,Cleveland -> VA Long Beach,dual_head_source_only,Dual-head source-only,10,0.732 ± 0.025,0.656 ± 0.019,0.826 ± 0.010,0.811 ± 0.041,0.500 ± 0.046,0.818 ± 0.021,0.308 ± 0.040,0.728 ± 0.010,0.882 ± 0.005,0.180 ± 0.005,0.103 ± 0.016,0.732 ± 0.039
hungary,cleveland,Hungary -> Cleveland,dlar_lcl,DLAR-LCL,10,0.787 ± 0.017,0.776 ± 0.020,0.863 ± 0.019,0.640 ± 0.054,0.913 ± 0.019,0.733 ± 0.033,0.582 ± 0.029,0.865 ± 0.007,0.858 ± 0.007,0.155 ± 0.006,0.084 ± 0.020,0.341 ± 0.034
hungary,cleveland,Hungary -> Cleveland,dual_head_source_only,Dual-head source-only,10,0.787 ± 0.016,0.776 ± 0.018,0.864 ± 0.019,0.638 ± 0.050,0.914 ± 0.018,0.733 ± 0.031,0.582 ± 0.026,0.865 ± 0.007,0.858 ± 0.007,0.156 ± 0.006,0.084 ± 0.019,0.339 ± 0.032
hungary,switzerland,Hungary -> Switzerland,dlar_lcl,DLAR-LCL,10,0.567 ± 0.031,0.652 ± 0.029,0.970 ± 0.008,0.554 ± 0.037,0.750 ± 0.083,0.704 ± 0.029,0.151 ± 0.028,0.740 ± 0.018,0.975 ± 0.003,0.261 ± 0.020,0.416 ± 0.029,0.534 ± 0.039
hungary,switzerland,Hungary -> Switzerland,dual_head_source_only,Dual-head source-only,10,0.567 ± 0.031,0.652 ± 0.029,0.970 ± 0.008,0.555 ± 0.037,0.750 ± 0.083,0.705 ± 0.029,0.151 ± 0.028,0.740 ± 0.018,0.975 ± 0.003,0.259 ± 0.020,0.417 ± 0.028,0.535 ± 0.039
