source,target,direction,method,method_label,n_seeds,tn,fp,fn,tp
cleveland,hungary,Cleveland -> Hungary,conservative_candidate,Conservative,10,151.7 ± 2.3,36.3 ± 2.3,22.9 ± 1.1,83.1 ± 1.1
cleveland,hungary,Cleveland -> Hungary,entropy_sfda,Entropy,10,161.3 ± 2.6,26.7 ± 2.6,27.4 ± 1.4,78.6 ± 1.4
cleveland,hungary,Cleveland -> Hungary,pseudo_label_sfda,Pseudo-label,10,157.7 ± 3.0,30.3 ± 3.0,25.2 ± 1.4,80.8 ± 1.4
cleveland,hungary,Cleveland -> Hungary,reliability_gated_sfda,Reliability-gated,10,151.6 ± 2.1,36.4 ± 2.1,22.9 ± 1.1,83.1 ± 1.1
cleveland,hungary,Cleveland -> Hungary,source_only,Source-only,10,151.0 ± 2.2,37.0 ± 2.2,22.6 ± 1.1,83.4 ± 1.1
cleveland,switzerland,Cleveland -> Switzerland,conservative_candidate,Conservative,10,3.7 ± 0.5,4.3 ± 0.5,24.0 ± 1.3,91.0 ± 1.3
cleveland,switzerland,Cleveland -> Switzerland,entropy_sfda,Entropy,10,3.6 ± 0.5,4.4 ± 0.5,21.7 ± 1.4,93.3 ± 1.4
cleveland,switzerland,Cleveland -> Switzerland,pseudo_label_sfda,Pseudo-label,10,3.7 ± 0.5,4.3 ± 0.5,22.8 ± 1.5,92.2 ± 1.5
cleveland,switzerland,Cleveland -> Switzerland,reliability_gated_sfda,Reliability-gated,10,3.9 ± 0.6,4.1 ± 0.6,24.7 ± 1.6,90.3 ± 1.6
cleveland,switzerland,Cleveland -> Switzerland,source_only,Source-only,10,3.9 ± 0.6,4.1 ± 0.6,24.2 ± 1.3,90.8 ± 1.3
cleveland,va_long_beach,Cleveland -> VA Long Beach,conservative_candidate,Conservative,10,23.0 ± 0.0,28.0 ± 0.0,21.4 ± 0.7,127.6 ± 0.7
cleveland,va_long_beach,Cleveland -> VA Long Beach,entropy_sfda,Entropy,10,23.0 ± 0.0,28.0 ± 0.0,20.9 ± 0.6,128.1 ± 0.6
cleveland,va_long_beach,Cleveland -> VA Long Beach,pseudo_label_sfda,Pseudo-label,10,23.0 ± 0.0,28.0 ± 0.0,21.0 ± 0.8,128.0 ± 0.8
cleveland,va_long_beach,Cleveland -> VA Long Beach,reliability_gated_sfda,Reliability-gated,10,23.0 ± 0.0,28.0 ± 0.0,21.8 ± 0.6,127.2 ± 0.6
