source,target,direction,method,method_label,n_seeds,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece10,predicted_positive_rate
cleveland,hungary,Cleveland -> Hungary,conservative_candidate,Conservative,10,0.799 ± 0.006,0.795 ± 0.005,0.696 ± 0.012,0.784 ± 0.010,0.807 ± 0.012,0.737 ± 0.006,0.578 ± 0.011,0.877 ± 0.003,0.835 ± 0.007,0.140 ± 0.004,0.091 ± 0.010,0.406 ± 0.011
cleveland,hungary,Cleveland -> Hungary,entropy_sfda,Entropy,10,0.816 ± 0.006,0.800 ± 0.004,0.747 ± 0.016,0.742 ± 0.013,0.858 ± 0.014,0.744 ± 0.006,0.601 ± 0.011,0.875 ± 0.003,0.832 ± 0.006,0.139 ± 0.004,0.086 ± 0.009,0.358 ± 0.013
cleveland,hungary,Cleveland -> Hungary,pseudo_label_sfda,Pseudo-label,10,0.811 ± 0.008,0.801 ± 0.006,0.728 ± 0.017,0.762 ± 0.013,0.839 ± 0.016,0.744 ± 0.007,0.596 ± 0.013,0.876 ± 0.003,0.834 ± 0.006,0.141 ± 0.004,0.091 ± 0.006,0.378 ± 0.014
cleveland,hungary,Cleveland -> Hungary,reliability_gated_sfda,Reliability-gated,10,0.798 ± 0.005,0.795 ± 0.004,0.696 ± 0.010,0.784 ± 0.010,0.806 ± 0.011,0.737 ± 0.005,0.577 ± 0.008,0.877 ± 0.003,0.835 ± 0.006,0.141 ± 0.004,0.090 ± 0.010,0.406 ± 0.010
cleveland,hungary,Cleveland -> Hungary,source_only,Source-only,10,0.797 ± 0.007,0.795 ± 0.006,0.693 ± 0.012,0.787 ± 0.010,0.803 ± 0.012,0.737 ± 0.007,0.576 ± 0.012,0.877 ± 0.003,0.835 ± 0.006,0.140 ± 0.004,0.092 ± 0.008,0.410 ± 0.010
cleveland,switzerland,Cleveland -> Switzerland,conservative_candidate,Conservative,10,0.770 ± 0.011,0.627 ± 0.030,0.955 ± 0.005,0.791 ± 0.012,0.463 ± 0.060,0.865 ± 0.007,0.150 ± 0.035,0.754 ± 0.018,0.978 ± 0.003,0.150 ± 0.005,0.229 ± 0.015,0.775 ± 0.012
cleveland,switzerland,Cleveland -> Switzerland,entropy_sfda,Entropy,10,0.788 ± 0.011,0.631 ± 0.031,0.955 ± 0.005,0.811 ± 0.012,0.450 ± 0.065,0.877 ± 0.007,0.159 ± 0.037,0.754 ± 0.017,0.978 ± 0.003,0.143 ± 0.007,0.205 ± 0.016,0.794 ± 0.013
cleveland,switzerland,Cleveland -> Switzerland,pseudo_label_sfda,Pseudo-label,10,0.780 ± 0.011,0.632 ± 0.027,0.955 ± 0.004,0.802 ± 0.013,0.463 ± 0.060,0.872 ± 0.007,0.158 ± 0.031,0.753 ± 0.018,0.978 ± 0.003,0.146 ± 0.009,0.213 ± 0.020,0.785 ± 0.015
cleveland,switzerland,Cleveland -> Switzerland,reliability_gated_sfda,Reliability-gated,10,0.766 ± 0.011,0.636 ± 0.031,0.957 ± 0.005,0.785 ± 0.014,0.487 ± 0.071,0.862 ± 0.008,0.159 ± 0.034,0.754 ± 0.017,0.978 ± 0.003,0.155 ± 0.006,0.233 ± 0.014,0.767 ± 0.017
cleveland,switzerland,Cleveland -> Switzerland,source_only,Source-only,10,0.770 ± 0.009,0.639 ± 0.032,0.957 ± 0.005,0.790 ± 0.011,0.487 ± 0.071,0.865 ± 0.006,0.162 ± 0.035,0.754 ± 0.017,0.978 ± 0.003,0.152 ± 0.006,0.231 ± 0.014,0.772 ± 0.014
cleveland,va_long_beach,Cleveland -> VA Long Beach,conservative_candidate,Conservative,10,0.753 ± 0.003,0.654 ± 0.002,0.820 ± 0.001,0.856 ± 0.005,0.451 ± 0.000,0.838 ± 0.003,0.322 ± 0.007,0.724 ± 0.007,0.882 ± 0.004,0.179 ± 0.002,0.093 ± 0.013,0.778 ± 0.003
cleveland,va_long_beach,Cleveland -> VA Long Beach,entropy_sfda,Entropy,10,0.755 ± 0.003,0.655 ± 0.002,0.821 ± 0.001,0.860 ± 0.004,0.451 ± 0.000,0.840 ± 0.002,0.327 ± 0.006,0.725 ± 0.007,0.882 ± 0.004,0.181 ± 0.002,0.110 ± 0.012,0.781 ± 0.003
cleveland,va_long_beach,Cleveland -> VA Long Beach,pseudo_label_sfda,Pseudo-label,10,0.755 ± 0.004,0.655 ± 0.003,0.821 ± 0.001,0.859 ± 0.005,0.451 ± 0.000,0.839 ± 0.003,0.326 ± 0.008,0.725 ± 0.006,0.882 ± 0.004,0.180 ± 0.002,0.104 ± 0.016,0.780 ± 0.004
cleveland,va_long_beach,Cleveland -> VA Long Beach,reliability_gated_sfda,Reliability-gated,10,0.751 ± 0.003,0.652 ± 0.002,0.820 ± 0.001,0.854 ± 0.004,0.451 ± 0.000,0.836 ± 0.002,0.319 ± 0.006,0.724 ± 0.007,0.882 ± 0.004,0.181 ± 0.002,0.092 ± 0.010,0.776 ± 0.003
cleveland,va_long_beach,Cleveland -> VA Long Beach,source_only,Source-only,10,0.752 ± 0.003,0.653 ± 0.002,0.820 ± 0.001,0.855 ± 0.003,0.451 ± 0.000,0.837 ± 0.002,0.320 ± 0.005,0.724 ± 0.007,0.882 ± 0.004,0.180 ± 0.002,0.089 ± 0.009,0.777 ± 0.003
hungary,cleveland,Hungary -> Cleveland,conservative_candidate,Conservative,10,0.784 ± 0.007,0.776 ± 0.008,0.817 ± 0.016,0.682 ± 0.029,0.870 ± 0.019,0.743 ± 0.013,0.566 ± 0.014,0.861 ± 0.005,0.850 ± 0.007,0.152 ± 0.004,0.062 ± 0.015,0.383 ± 0.023
