source,target,seed,n_patients,max_absolute_difference,mean_absolute_difference,passed
cleveland,hungary,0,294,1.1102230246251565e-16,3.708413961399399e-17,True
cleveland,hungary,1,294,1.1102230246251565e-16,3.255851748448987e-17,True
cleveland,hungary,2,294,1.1102230246251565e-16,2.913627389242678e-17,True
cleveland,hungary,3,294,1.1102230246251565e-16,3.2496563074633555e-17,True
cleveland,hungary,4,294,1.1102230246251565e-16,3.3012849823436176e-17,True
cleveland,hungary,5,294,1.1102230246251565e-16,3.4266689070528254e-17,True
cleveland,hungary,6,294,1.1102230246251565e-16,2.7348446636573132e-17,True
cleveland,hungary,7,294,1.1102230246251565e-16,3.0983105348143585e-17,True
cleveland,hungary,8,294,1.1102230246251565e-16,2.990037828065466e-17,True
cleveland,hungary,9,294,1.1102230246251565e-16,3.1048009967993055e-17,True
cleveland,switzerland,0,123,1.1102230246251565e-16,2.572467983887558e-17,True
cleveland,switzerland,1,123,1.1102230246251565e-16,1.9124268564427238e-17,True
cleveland,switzerland,2,123,1.1102230246251565e-16,2.617599001148743e-17,True
cleveland,switzerland,3,123,1.1102230246251565e-16,2.4822059493651873e-17,True
cleveland,switzerland,4,123,1.1102230246251565e-16,2.2960405031627984e-17,True
cleveland,switzerland,5,123,1.1102230246251565e-16,2.4229714892098817e-17,True
cleveland,switzerland,6,123,1.1102230246251565e-16,1.4018822236755662e-17,True
cleveland,switzerland,7,123,1.1102230246251565e-16,1.5584304398003024e-17,True
cleveland,switzerland,8,123,1.1102230246251565e-16,2.2974508474522104e-17,True
cleveland,switzerland,9,123,1.1102230246251565e-16,1.9039647907062518e-17,True
cleveland,va_long_beach,0,200,1.1102230246251565e-16,2.921274333544943e-17,True
cleveland,va_long_beach,1,200,1.1102230246251565e-16,2.400857290751901e-17,True
cleveland,va_long_beach,2,200,1.1102230246251565e-16,2.699229728619912e-17,True
cleveland,va_long_beach,3,200,1.1102230246251565e-16,2.1441182163073335e-17,True
cleveland,va_long_beach,4,200,1.1102230246251565e-16,2.581268532253489e-17,True
cleveland,va_long_beach,5,200,1.1102230246251565e-16,1.9220736113823023e-17,True
cleveland,va_long_beach,6,200,1.1102230246251565e-16,2.040034807748725e-17,True
cleveland,va_long_beach,7,200,1.1102230246251565e-16,2.130240428499519e-17,True
cleveland,va_long_beach,8,200,1.1102230246251565e-16,2.1892210266827304e-17,True
cleveland,va_long_beach,9,200,1.1102230246251565e-16,2.0296264668928642e-17,True
hungary,cleveland,0,303,1.1102230246251565e-16,3.266776288423651e-17,True
hungary,cleveland,1,303,1.1102230246251565e-16,3.111051936784808e-17,True
hungary,cleveland,2,303,1.1102230246251565e-16,2.988533513068955e-17,True
hungary,cleveland,3,303,1.1102230246251565e-16,2.9467398451658834e-17,True
hungary,cleveland,4,303,1.1102230246251565e-16,2.9599077131353444e-17,True
hungary,cleveland,5,303,1.1102230246251565e-16,3.1992194005803294e-17,True
hungary,cleveland,6,303,1.1102230246251565e-16,2.934717009193767e-17,True
hungary,cleveland,7,303,1.1102230246251565e-16,3.294829572358589e-17,True
hungary,cleveland,8,303,1.1102230246251565e-16,2.7057106097248813e-17,True
hungary,cleveland,9,303,1.1102230246251565e-16,3.1831889526175076e-17,True
hungary,switzerland,0,123,1.1102230246251565e-16,1.8955027249697796e-17,True
hungary,switzerland,1,123,1.1102230246251565e-16,2.0816681711721685e-17,True
hungary,switzerland,2,123,1.1102230246251565e-16,2.0478199082262796e-17,True
hungary,switzerland,3,123,1.1102230246251565e-16,1.8955027249697796e-17,True
hungary,switzerland,4,123,1.1102230246251565e-16,2.0591026625415758e-17,True
hungary,switzerland,5,123,1.1102230246251565e-16,1.4216270437273346e-17,True
hungary,switzerland,6,123,1.1102230246251565e-16,1.624716621402668e-17,True
hungary,switzerland,7,123,1.1102230246251565e-16,2.0760267940145203e-17,True
hungary,switzerland,8,123,1.1102230246251565e-16,1.8616544620238907e-17,True
hungary,switzerland,9,123,1.1102230246251565e-16,2.2227026001133723e-17,True
hungary,va_long_beach,0,200,1.1102230246251565e-16,2.733924198139448e-17,True
hungary,va_long_beach,1,200,1.1102230246251565e-16,2.2169766022983594e-17,True
hungary,va_long_beach,2,200,1.1102230246251565e-16,2.3505503099485737e-17,True
hungary,va_long_beach,3,200,1.1102230246251565e-16,3.1051550219984845e-17,True
hungary,va_long_beach,4,200,1.1102230246251565e-16,2.499736528882579e-17,True
hungary,va_long_beach,5,200,1.1102230246251565e-16,1.986258379993444e-17,True
hungary,va_long_beach,6,200,1.1102230246251565e-16,1.8301332671555316e-17,True
hungary,va_long_beach,7,200,1.1102230246251565e-16,2.112893193739751e-17,True
hungary,va_long_beach,8,200,1.1102230246251565e-16,1.941155569618047e-17,True
hungary,va_long_beach,9,200,1.1102230246251565e-16,2.742597815519332e-17,True
switzerland,cleveland,0,303,1.1102230246251565e-16,2.85799986537169e-17,True
switzerland,cleveland,1,303,1.1102230246251565e-16,3.004563961031777e-17,True
switzerland,cleveland,2,303,1.1102230246251565e-16,2.5282306501364952e-17,True
switzerland,cleveland,3,303,1.1102230246251565e-16,3.4442562480120366e-17,True
switzerland,cleveland,4,303,1.1102230246251565e-16,2.3816665544764083e-17,True
switzerland,cleveland,5,303,1.1102230246251565e-16,2.8946408892867117e-17,True
switzerland,cleveland,6,303,1.1102230246251565e-16,3.3709742001819936e-17,True
switzerland,cleveland,7,303,1.1102230246251565e-16,2.931281913201733e-17,True
switzerland,cleveland,8,303,1.1102230246251565e-16,2.3816665544764083e-17,True
switzerland,cleveland,9,303,1.1102230246251565e-16,2.3816665544764083e-17,True
switzerland,hungary,0,294,1.1102230246251565e-16,2.6056254659570002e-17,True
switzerland,hungary,1,294,1.1102230246251565e-16,2.3035239626576378e-17,True
switzerland,hungary,2,294,1.1102230246251565e-16,2.076947835183116e-17,True
switzerland,hungary,3,294,1.1102230246251565e-16,2.6811508417818405e-17,True
switzerland,hungary,4,294,1.1102230246251565e-16,3.247591160468145e-17,True
switzerland,hungary,5,294,1.1102230246251565e-16,2.4923374022197392e-17,True
switzerland,hungary,6,294,1.1102230246251565e-16,3.0210150329936235e-17,True
switzerland,hungary,7,294,1.1102230246251565e-16,2.832201593431522e-17,True
switzerland,hungary,8,294,1.1102230246251565e-16,2.5301000901321595e-17,True
switzerland,hungary,9,294,1.1102230246251565e-16,2.6433881538694202e-17,True
switzerland,va_long_beach,0,200,1.1102230246251565e-16,3.7747582837255325e-17,True
switzerland,va_long_beach,1,200,1.1102230246251565e-16,4.107825191113079e-17,True
switzerland,va_long_beach,2,200,1.1102230246251565e-16,3.83026943495679e-17,True
switzerland,va_long_beach,3,200,1.1102230246251565e-16,4.4408920985006264e-17,True
switzerland,va_long_beach,4,200,1.1102230246251565e-16,3.3861802251067274e-17,True
switzerland,va_long_beach,5,200,1.1102230246251565e-16,4.6074255521943994e-17,True
switzerland,va_long_beach,6,200,1.1102230246251565e-16,4.218847493575595e-17,True
switzerland,va_long_beach,7,200,1.1102230246251565e-16,4.052314039881821e-17,True
switzerland,va_long_beach,8,200,1.1102230246251565e-16,4.052314039881821e-17,True
switzerland,va_long_beach,9,200,1.1102230246251565e-16,4.496403249731884e-17,True
va_long_beach,cleveland,0,303,1.1102230246251565e-16,1.0442691815781175e-17,True
va_long_beach,cleveland,1,303,1.1102230246251565e-16,1.0259486696206066e-17,True
va_long_beach,cleveland,2,303,1.1102230246251565e-16,6.045768945978575e-18,True
va_long_beach,cleveland,3,303,1.1102230246251565e-16,6.778589424279009e-18,True
va_long_beach,cleveland,4,303,1.1102230246251565e-16,5.129743348103033e-18,True
va_long_beach,cleveland,5,303,1.1102230246251565e-16,2.7480767936266252e-18,True
va_long_beach,cleveland,6,303,1.1102230246251565e-16,7.328204783004333e-18,True
va_long_beach,cleveland,7,303,1.1102230246251565e-16,4.3969228698026e-18,True
va_long_beach,cleveland,8,303,1.1102230246251565e-16,9.89307645705585e-18,True
va_long_beach,cleveland,9,303,1.1102230246251565e-16,4.3969228698026e-18,True
va_long_beach,hungary,0,294,1.1102230246251565e-16,1.057355261547768e-17,True
va_long_beach,hungary,1,294,1.1102230246251565e-16,1.3972194527595508e-17,True
va_long_beach,hungary,2,294,1.1102230246251565e-16,1.057355261547768e-17,True
va_long_beach,hungary,3,294,1.1102230246251565e-16,9.063045098980869e-18,True
va_long_beach,hungary,4,294,1.1102230246251565e-16,9.25185853854297e-18,True
va_long_beach,hungary,5,294,1.1102230246251565e-16,1.32169407693471e-18,True
va_long_beach,hungary,6,294,1.1102230246251565e-16,1.2084060131974493e-17,True
va_long_beach,hungary,7,294,1.1102230246251565e-16,7.93016446160826e-18,True
va_long_beach,hungary,8,294,1.1102230246251565e-16,1.4538634846281813e-17,True
va_long_beach,hungary,9,294,1.1102230246251565e-16,5.853216626425145e-18,True
va_long_beach,switzerland,0,123,1.1102230246251565e-16,5.415722071342227e-18,True
va_long_beach,switzerland,1,123,1.1102230246251565e-16,6.318342416565931e-18,True
va_long_beach,switzerland,2,123,1.1102230246251565e-16,6.318342416565931e-18,True
va_long_beach,switzerland,3,123,1.1102230246251565e-16,3.6104813808948184e-18,True
va_long_beach,switzerland,4,123,1.1102230246251565e-16,4.5131017261185224e-18,True
va_long_beach,switzerland,5,123,0.0,0.0,True
va_long_beach,switzerland,6,123,1.1102230246251565e-16,4.5131017261185224e-18,True
va_long_beach,switzerland,7,123,5.551115123125783e-17,4.513101726118523e-19,True
va_long_beach,switzerland,8,123,1.1102230246251565e-16,4.06179155350667e-18,True
va_long_beach,switzerland,9,123,1.1102230246251565e-16,2.7078610356711136e-18,True
