source,target,direction,method,method_label,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,ci_classification,effect_ci
cleveland,hungary,Cleveland → Hungary,pseudo_label_sfda,Pseudo-label SFDA,-0.0006021678040947,-0.0029408370132477,0.0015409223203532,True,0.2872,inconclusive,"-0.0006 [-0.0029, +0.0015]"
cleveland,hungary,Cleveland → Hungary,entropy_sfda,Entropy SFDA,-0.001555600160578,-0.0049430449618627,0.0016160678442392,True,0.1762,inconclusive,"-0.0016 [-0.0049, +0.0016]"
cleveland,hungary,Cleveland → Hungary,reliability_gated_sfda,Reliability-gated v1,-0.0001455238859895,-0.0005820955439582,0.000251028703332,True,0.2276,inconclusive,"-0.0001 [-0.0006, +0.0003]"
cleveland,hungary,Cleveland → Hungary,conservative_candidate,Conservative candidate,-0.0001806503412283,-0.0006222400642312,0.0002308309915696,True,0.1852,inconclusive,"-0.0002 [-0.0006, +0.0002]"
cleveland,switzerland,Cleveland → Switzerland,pseudo_label_sfda,Pseudo-label SFDA,-0.0007608695652174,-0.0045652173913042,0.0032608695652173,True,0.3058,inconclusive,"-0.0008 [-0.0046, +0.0033]"
cleveland,switzerland,Cleveland → Switzerland,entropy_sfda,Entropy SFDA,-0.0001086956521738,-0.0057608695652173,0.0059782608695651,True,0.4654,inconclusive,"-0.0001 [-0.0058, +0.0060]"
cleveland,switzerland,Cleveland → Switzerland,reliability_gated_sfda,Reliability-gated v1,-0.0003260869565217,-0.0032608695652173,0.0026086956521739,True,0.3732,inconclusive,"-0.0003 [-0.0033, +0.0026]"
cleveland,switzerland,Cleveland → Switzerland,conservative_candidate,Conservative candidate,-0.0004347826086956,-0.0025,0.0013043478260868,True,0.2636,inconclusive,"-0.0004 [-0.0025, +0.0013]"
cleveland,va_long_beach,Cleveland → VA Long Beach,pseudo_label_sfda,Pseudo-label SFDA,0.000986971969996,-0.0028559678905119,0.0050931043558363,True,0.6878,inconclusive,"+0.0010 [-0.0029, +0.0051]"
cleveland,va_long_beach,Cleveland → VA Long Beach,entropy_sfda,Entropy SFDA,0.0013686011317278,-0.0040136860113172,0.007158836689038,True,0.6806,inconclusive,"+0.0014 [-0.0040, +0.0072]"
cleveland,va_long_beach,Cleveland → VA Long Beach,reliability_gated_sfda,Reliability-gated v1,0.0003816291617317,-0.0005263850506645,0.0013554415054612,True,0.7966,inconclusive,"+0.0004 [-0.0005, +0.0014]"
cleveland,va_long_beach,Cleveland → VA Long Beach,conservative_candidate,Conservative candidate,-2.220446049250313e-17,-0.0011057375970522,0.0011448874851953,True,0.4964,inconclusive,"-0.0000 [-0.0011, +0.0011]"
hungary,cleveland,Hungary → Cleveland,pseudo_label_sfda,Pseudo-label SFDA,0.0017678540094753,-0.0006142525004386,0.004312269696438,True,0.9278,inconclusive,"+0.0018 [-0.0006, +0.0043]"
hungary,cleveland,Hungary → Cleveland,entropy_sfda,Entropy SFDA,0.0007808387436392,-0.0020664809615722,0.0038341156343217,True,0.6958,inconclusive,"+0.0008 [-0.0021, +0.0038]"
hungary,cleveland,Hungary → Cleveland,reliability_gated_sfda,Reliability-gated v1,0.0005220214072644,-8.334795578177619e-05,0.0012063519915774,True,0.9532,inconclusive,"+0.0005 [-0.0001, +0.0012]"
hungary,cleveland,Hungary → Cleveland,conservative_candidate,Conservative candidate,0.0001359887699596,-0.0002719775399191,0.0005658887524127,True,0.741,inconclusive,"+0.0001 [-0.0003, +0.0006]"
hungary,switzerland,Hungary → Switzerland,pseudo_label_sfda,Pseudo-label SFDA,-0.0026086956521738,-0.0077173913043478,0.0010869565217391,True,0.09,inconclusive,"-0.0026 [-0.0077, +0.0011]"
hungary,switzerland,Hungary → Switzerland,entropy_sfda,Entropy SFDA,-0.0009782608695651,-0.0073940217391304,0.0047826086956521,True,0.3804,inconclusive,"-0.0010 [-0.0074, +0.0048]"
hungary,switzerland,Hungary → Switzerland,reliability_gated_sfda,Reliability-gated v1,-0.0004347826086956,-0.0028260869565217,0.0015217391304347,True,0.3134,inconclusive,"-0.0004 [-0.0028, +0.0015]"
hungary,switzerland,Hungary → Switzerland,conservative_candidate,Conservative candidate,-0.0002173913043478,-0.0021739130434782,0.0013043478260869,True,0.3692,inconclusive,"-0.0002 [-0.0022, +0.0013]"
hungary,va_long_beach,Hungary → VA Long Beach,pseudo_label_sfda,Pseudo-label SFDA,0.000579023555731,-0.0023950519805237,0.003408343203053,True,0.6644,inconclusive,"+0.0006 [-0.0024, +0.0034]"
hungary,va_long_beach,Hungary → VA Long Beach,entropy_sfda,Entropy SFDA,-0.0005658639294643,-0.0049480194762468,0.0036188972233188,True,0.3976,inconclusive,"-0.0006 [-0.0049, +0.0036]"
hungary,va_long_beach,Hungary → VA Long Beach,reliability_gated_sfda,Reliability-gated v1,-0.0001973943939992,-0.0011975259902619,0.0006711409395973,True,0.334,inconclusive,"-0.0002 [-0.0012, +0.0007]"
hungary,va_long_beach,Hungary → VA Long Beach,conservative_candidate,Conservative candidate,-0.0002763521515989,-0.0014475588893274,0.000644821687064,True,0.3006,inconclusive,"-0.0003 [-0.0014, +0.0006]"
switzerland,cleveland,Switzerland → Cleveland,pseudo_label_sfda,Pseudo-label SFDA,0.002763642744341,-0.0018249912265309,0.0072601552904017,True,0.889,inconclusive,"+0.0028 [-0.0018, +0.0073]"
switzerland,cleveland,Switzerland → Cleveland,entropy_sfda,Entropy SFDA,-0.0029588524302509,-0.008396319529742,0.0017941744165642,True,0.1258,inconclusive,"-0.0030 [-0.0084, +0.0018]"
switzerland,cleveland,Switzerland → Cleveland,reliability_gated_sfda,Reliability-gated v1,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
switzerland,cleveland,Switzerland → Cleveland,conservative_candidate,Conservative candidate,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
switzerland,hungary,Switzerland → Hungary,pseudo_label_sfda,Pseudo-label SFDA,-0.0012796065837013,-0.0076837866318747,0.0039493426334805,True,0.3578,inconclusive,"-0.0013 [-0.0077, +0.0039]"
switzerland,hungary,Switzerland → Hungary,entropy_sfda,Entropy SFDA,-0.0094941790445604,-0.0187478673223604,-0.0023031663990365,False,0.0028,deterioration,"-0.0095 [-0.0187, -0.0023]"
switzerland,hungary,Switzerland → Hungary,reliability_gated_sfda,Reliability-gated v1,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
switzerland,hungary,Switzerland → Hungary,conservative_candidate,Conservative candidate,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
switzerland,va_long_beach,Switzerland → VA Long Beach,pseudo_label_sfda,Pseudo-label SFDA,0.0124621660744834,0.004815107250954,0.0207797078562968,False,0.9996,improvement,"+0.0125 [+0.0048, +0.0208]"
switzerland,va_long_beach,Switzerland → VA Long Beach,entropy_sfda,Entropy SFDA,0.0095867877352283,0.0036320568495854,0.016318265561258,False,0.9996,improvement,"+0.0096 [+0.0036, +0.0163]"
switzerland,va_long_beach,Switzerland → VA Long Beach,reliability_gated_sfda,Reliability-gated v1,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
switzerland,va_long_beach,Switzerland → VA Long Beach,conservative_candidate,Conservative candidate,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
va_long_beach,cleveland,VA Long Beach → Cleveland,pseudo_label_sfda,Pseudo-label SFDA,-0.0002675908054044,-0.0012020749254255,0.0006536234427091,True,0.2744,inconclusive,"-0.0003 [-0.0012, +0.0007]"
va_long_beach,cleveland,VA Long Beach → Cleveland,entropy_sfda,Entropy SFDA,-0.0034786804702579,-0.0122041147569749,0.0044094358659413,True,0.1992,inconclusive,"-0.0035 [-0.0122, +0.0044]"
va_long_beach,cleveland,VA Long Beach → Cleveland,reliability_gated_sfda,Reliability-gated v1,0.0001666959115634,-0.0003991928408492,0.0007634014739428,True,0.7266,inconclusive,"+0.0002 [-0.0004, +0.0008]"
va_long_beach,cleveland,VA Long Beach → Cleveland,conservative_candidate,Conservative candidate,-2.193367257413703e-05,-0.0005265178101421,0.0005351816108089,True,0.4566,inconclusive,"-0.0000 [-0.0005, +0.0005]"
va_long_beach,hungary,VA Long Beach → Hungary,pseudo_label_sfda,Pseudo-label SFDA,0.0008781613809714,0.0,0.0021928944199116,True,0.9704,inconclusive,"+0.0009 [+0.0000, +0.0022]"
va_long_beach,hungary,VA Long Beach → Hungary,entropy_sfda,Entropy SFDA,0.0066740264953834,-0.0015507075471697,0.0155409474106784,True,0.9426,inconclusive,"+0.0067 [-0.0016, +0.0155]"
