source,target,direction,method,method_label,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,ci_classification,effect_ci
cleveland,hungary,Cleveland → Hungary,pseudo_label_sfda,Pseudo-label SFDA,-0.000235419318316,-0.0046309366047996,0.0040437925717793,True,0.4554,inconclusive,"-0.0002 [-0.0046, +0.0040]"
cleveland,hungary,Cleveland → Hungary,entropy_sfda,Entropy SFDA,0.0014860635675521,-0.004319141852268,0.0071137145880517,True,0.6904,inconclusive,"+0.0015 [-0.0043, +0.0071]"
cleveland,hungary,Cleveland → Hungary,reliability_gated_sfda,Reliability-gated v1,-0.0002026778248503,-0.0006686506233781,0.0002488200621108,True,0.197,inconclusive,"-0.0002 [-0.0007, +0.0002]"
cleveland,hungary,Cleveland → Hungary,conservative_candidate,Conservative candidate,0.0002612611295919,2.0666312320525224e-05,0.0005101727286037,False,0.9846,improvement,"+0.0003 [+0.0000, +0.0005]"
cleveland,switzerland,Cleveland → Switzerland,pseudo_label_sfda,Pseudo-label SFDA,0.006114479266942,0.0033442164525751,0.0091588471198202,False,1.0,improvement,"+0.0061 [+0.0033, +0.0092]"
cleveland,switzerland,Cleveland → Switzerland,entropy_sfda,Entropy SFDA,0.00893665527593,0.0055256046256795,0.0126288009416233,False,1.0,improvement,"+0.0089 [+0.0055, +0.0126]"
cleveland,switzerland,Cleveland → Switzerland,reliability_gated_sfda,Reliability-gated v1,-0.0028390447839158,-0.0039968194366344,-0.0017891438255395,False,0.0,deterioration,"-0.0028 [-0.0040, -0.0018]"
cleveland,switzerland,Cleveland → Switzerland,conservative_candidate,Conservative candidate,0.0017886121797815,0.0012157729992684,0.0024793414533751,False,1.0,improvement,"+0.0018 [+0.0012, +0.0025]"
cleveland,va_long_beach,Cleveland → VA Long Beach,pseudo_label_sfda,Pseudo-label SFDA,-0.0005322668738382,-0.0028977545573239,0.001836365897373,True,0.3224,inconclusive,"-0.0005 [-0.0029, +0.0018]"
cleveland,va_long_beach,Cleveland → VA Long Beach,entropy_sfda,Entropy SFDA,-0.0013347176470051,-0.0046207786681468,0.0019999271797902,True,0.2112,inconclusive,"-0.0013 [-0.0046, +0.0020]"
cleveland,va_long_beach,Cleveland → VA Long Beach,reliability_gated_sfda,Reliability-gated v1,-0.0010087274928313,-0.001732957383783,-0.00031672713703,False,0.0016,deterioration,"-0.0010 [-0.0017, -0.0003]"
cleveland,va_long_beach,Cleveland → VA Long Beach,conservative_candidate,Conservative candidate,0.0005238969778366,0.0001617100984264,0.0009327381456417,False,0.9988,improvement,"+0.0005 [+0.0002, +0.0009]"
hungary,cleveland,Hungary → Cleveland,pseudo_label_sfda,Pseudo-label SFDA,-0.0040328483168958,-0.0081026272231583,-3.929883108852259e-05,False,0.0238,deterioration,"-0.0040 [-0.0081, -0.0000]"
hungary,cleveland,Hungary → Cleveland,entropy_sfda,Entropy SFDA,-0.0092202030103964,-0.0152021188556755,-0.0031711312263358,False,0.0006,deterioration,"-0.0092 [-0.0152, -0.0032]"
hungary,cleveland,Hungary → Cleveland,reliability_gated_sfda,Reliability-gated v1,0.0001541109018887,-0.0003450240464602,0.0006367224848439,True,0.7284,inconclusive,"+0.0002 [-0.0003, +0.0006]"
hungary,cleveland,Hungary → Cleveland,conservative_candidate,Conservative candidate,-4.799629086881529e-05,-0.0002240710309477,0.0001296428933631,True,0.2948,inconclusive,"-0.0000 [-0.0002, +0.0001]"
hungary,switzerland,Hungary → Switzerland,pseudo_label_sfda,Pseudo-label SFDA,0.0023685499047697,-0.0006047298641305,0.005477631978523,True,0.9412,inconclusive,"+0.0024 [-0.0006, +0.0055]"
hungary,switzerland,Hungary → Switzerland,entropy_sfda,Entropy SFDA,0.0026593201380529,-0.0011691862135269,0.0064975383895393,True,0.9112,inconclusive,"+0.0027 [-0.0012, +0.0065]"
hungary,switzerland,Hungary → Switzerland,reliability_gated_sfda,Reliability-gated v1,-0.0042121920318702,-0.0053789802041091,-0.0030969779326631,False,0.0,deterioration,"-0.0042 [-0.0054, -0.0031]"
hungary,switzerland,Hungary → Switzerland,conservative_candidate,Conservative candidate,0.0018791939277284,0.0010827559356771,0.002586099437065,False,1.0,improvement,"+0.0019 [+0.0011, +0.0026]"
hungary,va_long_beach,Hungary → VA Long Beach,pseudo_label_sfda,Pseudo-label SFDA,0.0007869699439254,-0.0023776982445389,0.0040161390014271,True,0.6784,inconclusive,"+0.0008 [-0.0024, +0.0040]"
hungary,va_long_beach,Hungary → VA Long Beach,entropy_sfda,Entropy SFDA,-0.0159471163157058,-0.0215809487782563,-0.0104156075010496,False,0.0,deterioration,"-0.0159 [-0.0216, -0.0104]"
hungary,va_long_beach,Hungary → VA Long Beach,reliability_gated_sfda,Reliability-gated v1,-0.0029362501696465,-0.0038664831715696,-0.0020699499612571,False,0.0,deterioration,"-0.0029 [-0.0039, -0.0021]"
hungary,va_long_beach,Hungary → VA Long Beach,conservative_candidate,Conservative candidate,0.0006394751385521,0.0002839160540717,0.0009931191444844,False,0.9994,improvement,"+0.0006 [+0.0003, +0.0010]"
