target,fold,adapt_n,test_n,entropy_before,entropy_after,mean_probability_before,mean_probability_after,positive_rate_before,positive_rate_after,confidence_before,confidence_after
hungary,1,235,59,0.4331955313682556,0.3476588726043701,0.42421290278434753,0.3680228590965271,0.3872340425531915,0.33617021276595743,0.810333788394928,0.8588756918907166
hungary,2,235,59,0.4175392687320709,0.3371257483959198,0.4427185356616974,0.4003906846046448,0.41702127659574467,0.39574468085106385,0.8211158514022827,0.8640716671943665
hungary,3,235,59,0.4238763749599457,0.3417471945285797,0.41914698481559753,0.3675485849380493,0.3872340425531915,0.3404255319148936,0.8125997185707092,0.8584315776824951
hungary,4,235,59,0.427255243062973,0.33974409103393555,0.43113142251968384,0.3762546181678772,0.39574468085106385,0.3446808510638298,0.8123445510864258,0.8629103899002075
hungary,5,236,58,0.4288027882575989,0.35014116764068604,0.44759100675582886,0.40074700117111206,0.4194915254237288,0.3855932203389831,0.8098732829093933,0.8540464639663696
switzerland,1,98,25,0.46682193875312805,0.4317784607410431,0.6902134418487549,0.7203453183174133,0.7653061224489796,0.7857142857142857,0.7929653525352478,0.8144218325614929
switzerland,2,98,25,0.47838521003723145,0.4460916221141815,0.6806547045707703,0.7059990763664246,0.7653061224489796,0.7857142857142857,0.7831181287765503,0.8044701218605042
switzerland,3,98,25,0.5010882019996643,0.46760880947113037,0.66843181848526,0.6998622417449951,0.7551020408163265,0.7857142857142857,0.7657151222229004,0.7889747023582458
switzerland,4,99,24,0.4759649932384491,0.44231051206588745,0.6747492551803589,0.7038355469703674,0.7373737373737373,0.7676767676767676,0.7817742824554443,0.8024560213088989
switzerland,5,99,24,0.4670369625091553,0.4319160580635071,0.6822284460067749,0.7073214650154114,0.7575757575757576,0.7777777777777778,0.7917605042457581,0.814113199710846
va_long_beach,1,160,40,0.4801107943058014,0.4341699481010437,0.684744656085968,0.7138479948043823,0.7625,0.7625,0.7845540046691895,0.8146635293960571
va_long_beach,2,160,40,0.4820917248725891,0.43208155035972595,0.7065065503120422,0.7473929524421692,0.79375,0.8,0.783930778503418,0.8149256706237793
va_long_beach,3,160,40,0.4803996980190277,0.4309456944465637,0.7044898867607117,0.7474152445793152,0.79375,0.8,0.7833925485610962,0.8138348460197449
va_long_beach,4,160,40,0.47836971282958984,0.4309626519680023,0.7042366862297058,0.7432323694229126,0.79375,0.8,0.7844431400299072,0.8145464062690735
va_long_beach,5,160,40,0.48692503571510315,0.4425934851169586,0.6804646253585815,0.7129181623458862,0.75625,0.75625,0.777319073677063,0.8066591024398804
