target,fold,adapt_n,test_n,selected_n,coverage,pseudo_positive_n,pseudo_negative_n,mean_selected_confidence,adaptation_skipped
hungary,1,235,59,76,0.32340425531914896,27,49,0.93310546875,False
hungary,2,235,59,83,0.35319148936170214,31,52,0.9366185069084167,False
hungary,3,235,59,86,0.3659574468085106,27,59,0.9354902505874634,False
hungary,4,235,59,82,0.34893617021276596,33,49,0.9355128407478333,False
hungary,5,236,58,85,0.3601694915254237,34,51,0.9346479773521423,False
switzerland,1,98,25,21,0.21428571428571427,19,2,0.9245150685310364,False
switzerland,2,98,25,17,0.17346938775510204,16,1,0.9234448671340942,False
switzerland,3,98,25,12,0.12244897959183673,11,1,0.9186369776725769,False
switzerland,4,99,24,20,0.20202020202020202,18,2,0.9235337376594543,False
switzerland,5,99,24,22,0.2222222222222222,20,2,0.923539400100708,False
va_long_beach,1,160,40,32,0.2,30,2,0.9256949424743652,False
va_long_beach,2,160,40,29,0.18125,28,1,0.9290079474449158,False
va_long_beach,3,160,40,35,0.21875,33,2,0.9269139170646667,False
va_long_beach,4,160,40,33,0.20625,32,1,0.9304615259170532,False
va_long_beach,5,160,40,35,0.21875,33,2,0.9256259202957153,False
