target,fold,adapt_n,test_n,selected_n,selected_per_class,coverage,available_positive,available_negative,teacher_positive_rate,mean_selected_confidence,class_support_score,missingness_rate,reliability_score,adaptation_skipped,entropy_before,entropy_after,positive_rate_before,positive_rate_after,mean_probability_before,mean_probability_after,mean_abs_teacher_drift
hungary,1,235,59,94,47,0.4,91,144,0.3872340425531915,0.9216299057006836,0.774468085106383,0.0005319148936170213,0.7133932817829525,False,0.4331955313682556,0.4254460632801056,0.3872340425531915,0.3829787234042553,0.42421290278434753,0.42110562324523926,0.005132129415869713
hungary,2,235,59,94,47,0.4,98,137,0.41702127659574467,0.9290607571601868,0.8340425531914893,0.002127659574468085,0.7732275331932369,False,0.4175392687320709,0.40970978140830994,0.41702127659574467,0.41702127659574467,0.4427185356616974,0.4401659071445465,0.004888294730335474
hungary,3,235,59,94,47,0.4,91,144,0.3872340425531915,0.9260244965553284,0.774468085106383,0.002127659574468085,0.7156505113351718,False,0.4238763749599457,0.41645556688308716,0.3872340425531915,0.3829787234042553,0.41914698481559753,0.41651812195777893,0.004752599634230137
hungary,4,235,59,94,47,0.4,93,142,0.39574468085106385,0.928196907043457,0.7914893617021277,0.001595744680851064,0.7334856509298909,False,0.427255243062973,0.4193384051322937,0.39574468085106385,0.39148936170212767,0.43113142251968384,0.4272489845752716,0.005622386932373047
hungary,5,236,58,94,47,0.3983050847457627,99,137,0.4194915254237288,0.9289941191673279,0.8389830508474576,0.00211864406779661,0.7777590272668294,False,0.4288027882575989,0.42111268639564514,0.4194915254237288,0.4152542372881356,0.44759100675582886,0.44411078095436096,0.0054223062470555305
switzerland,1,98,25,40,20,0.40816326530612246,75,23,0.7653061224489796,0.8341069221496582,0.4693877551020409,0.012755102040816325,0.38652570356383326,False,0.46682193875312805,0.4637959599494934,0.7653061224489796,0.7653061224489796,0.6902134418487549,0.6888474225997925,0.003287429688498378
switzerland,2,98,25,40,20,0.40816326530612246,75,23,0.7653061224489796,0.8296041488647461,0.4693877551020409,0.007653061224489795,0.38642588087738877,False,0.47838521003723145,0.47502678632736206,0.7653061224489796,0.7653061224489796,0.6806547045707703,0.6800318956375122,0.0034119542688131332
switzerland,3,98,25,40,20,0.40816326530612246,74,24,0.7551020408163265,0.8175841569900513,0.48979591836734704,0.011479591836734693,0.3958523875472448,False,0.5010882019996643,0.4984952211380005,0.7551020408163265,0.7551020408163265,0.66843181848526,0.6662973165512085,0.003837763564661145
switzerland,4,99,24,40,20,0.40404040404040403,73,26,0.7373737373737373,0.8355253338813782,0.5252525252525253,0.01388888888888889,0.43276648887346364,False,0.4759649932384491,0.4727744162082672,0.7373737373737373,0.7373737373737373,0.6747492551803589,0.6724540591239929,0.004147892352193594
switzerland,5,99,24,40,20,0.40404040404040403,75,24,0.7575757575757576,0.8421589136123657,0.48484848484848486,0.0101010101010101,0.40419503414269653,False,0.4670369625091553,0.46345871686935425,0.7575757575757576,0.7575757575757576,0.6822284460067749,0.6813210248947144,0.0033811526373028755
va_long_beach,1,160,40,64,32,0.4,122,38,0.7625,0.8282290697097778,0.4750000000000001,0.13984375,0.33839304510271184,False,0.4801107943058014,0.47710055112838745,0.7625,0.7625,0.684744656085968,0.682025671005249,0.004147361032664776
va_long_beach,2,160,40,64,32,0.4,127,33,0.79375,0.8093805313110352,0.4125000000000001,0.13828125000000002,0.2877015816327185,False,0.4820917248725891,0.47897329926490784,0.79375,0.79375,0.7065065503120422,0.7063769698143005,0.002725285245105624
va_long_beach,3,160,40,64,32,0.4,127,33,0.79375,0.8128222823143005,0.4125000000000001,0.12578125,0.293116097841994,False,0.4803996980190277,0.47777408361434937,0.79375,0.79375,0.7044898867607117,0.7034056782722473,0.002764152828603983
va_long_beach,4,160,40,64,32,0.4,127,33,0.79375,0.8155319094657898,0.4125000000000001,0.1328125,0.2917278695676942,False,0.47836971282958984,0.47607797384262085,0.79375,0.79375,0.7042366862297058,0.7020599842071533,0.0033506036270409822
va_long_beach,5,160,40,64,32,0.4,121,39,0.75625,0.8260713219642639,0.48750000000000004,0.14765625,0.3432471550611081,False,0.48692503571510315,0.4836650490760803,0.75625,0.75625,0.6804646253585815,0.6784583926200867,0.0037423160392791033
