target,variant,mean_delta_auc,sd_delta_auc,mean_abs_delta_auc,mean_brier_improvement,sd_brier_improvement,mean_delta_balanced_accuracy,negative_adaptation_rate,brier_worsening_rate,negative_adaptation_rate_pct,brier_worsening_rate_pct
hungary,candidate_full,-0.0001204335608189222,0.00019678096038871964,0.0001806503412283833,0.000234977331109798,9.506059624500503e-05,0.0008580891208350039,0.6,0.0,60.0,0.0
hungary,candidate_no_anchor,-0.0003562826174226874,0.0003528143441262132,0.0003562826174227096,0.00033354863257663845,0.00010233999344064013,0.0020423524688879978,0.9,0.0,90.0,0.0
hungary,candidate_no_entropy,-0.00011039743075068609,0.00019042217945613042,0.0001605780810919444,0.00011929377585093715,0.00010657787597891197,6.021678040948331e-05,0.7,0.1,70.0,10.0
hungary,candidate_no_prior,-0.00012545162585304582,0.00023086735149606118,0.00021577679646722636,0.0002204776125195762,9.40671055427116e-05,0.0008580891208350039,0.6,0.0,60.0,0.0
hungary,no_class_support_factor,-0.0001254516258530347,0.00023207608934683622,0.00020574066639903466,0.00026844575823364305,9.477061718248965e-05,0.0011240465676435108,0.6,0.0,60.0,0.0
hungary,no_confidence_factor,-0.00012545162585304582,0.0002052027991834351,0.00019570453633073194,0.00024411032851928138,9.5462870208981e-05,0.0008580891208350039,0.7,0.0,70.0,0.0
hungary,no_missingness_factor,-0.00012545162585304582,0.00019398858398133622,0.00018566840626250692,0.00023514267725247562,9.503256473916913e-05,0.0008580891208350039,0.7,0.0,70.0,0.0
hungary,unit_reliability,-0.00010036130068241667,0.00023417636825906208,0.00020072260136491104,0.00027968045933951524,9.629965344467666e-05,0.0011240465676435108,0.6,0.0,60.0,0.0
switzerland,candidate_full,-0.0006521739130434745,0.0012758562943231092,0.0010869565217391242,0.0018852481255556748,0.0006055582199929044,-0.004510869565217401,0.5,0.0,50.0,0.0
switzerland,candidate_no_anchor,0.00021739130434783593,0.001604053885592595,0.0010869565217390908,0.004240155479801588,0.0009159827741279529,-0.009456521739130452,0.2,0.0,20.0,0.0
switzerland,candidate_no_entropy,-0.0006521739130434745,0.0012758562943231092,0.0010869565217391242,0.0016043583275344552,0.0005814313337504159,-0.004510869565217401,0.5,0.0,50.0,0.0
switzerland,candidate_no_prior,-0.0008695652173913105,0.001604053885592657,0.00130434782608696,0.001545390157947793,0.0006048724759081312,-0.004510869565217401,0.5,0.0,50.0,0.0
switzerland,no_class_support_factor,-0.0005434782608695676,0.0014717460877963545,0.001195652173913031,0.0021690705891596164,0.0006192939322638497,-0.004510869565217401,0.5,0.0,50.0,0.0
switzerland,no_confidence_factor,-0.0006521739130434745,0.001374903330507983,0.0010869565217391242,0.001940844564003591,0.0006055413978558489,-0.004510869565217401,0.5,0.0,50.0,0.0
switzerland,no_missingness_factor,-0.0006521739130434745,0.0012758562943231092,0.0010869565217391242,0.001888369702392137,0.0006058161419725173,-0.004510869565217401,0.5,0.0,50.0,0.0
switzerland,unit_reliability,-0.0005434782608695676,0.0014717460877963545,0.001195652173913031,0.0022827164347934276,0.0006182305084413577,-0.004510869565217401,0.5,0.0,50.0,0.0
va_long_beach,candidate_full,0.0001184366363994882,0.000666552355089853,0.0005132254243979228,0.0005215966636115815,0.00012070980681677891,0.0006711409395973256,0.4,0.0,40.0,0.0
va_long_beach,candidate_no_anchor,0.00035530990919859786,0.0006711552745490968,0.0005658639294644163,0.0009301916496413682,0.0002772236761938472,2.631925253323564e-05,0.4,0.0,40.0,0.0
va_long_beach,candidate_no_entropy,0.0001184366363994882,0.0006092400072102793,0.000460586919331496,0.0004998269682464168,0.00011754276624624357,0.0006711409395973256,0.4,0.0,40.0,0.0
va_long_beach,candidate_no_prior,3.94788787998257e-05,0.000671155274549057,0.0005395446769311585,0.0004336803168316056,0.0001174065543012527,0.0006711409395973256,0.4,0.0,40.0,0.0
va_long_beach,no_class_support_factor,9.211738386627477e-05,0.0007262344033057512,0.000592183181997652,0.0005486378805127729,0.00012928746739569724,0.0006711409395973256,0.6,0.0,60.0,0.0
va_long_beach,no_confidence_factor,9.211738386626367e-05,0.0007019838002756345,0.0005395446769311696,0.0005255987317425243,0.00012122473453402535,0.0006711409395973256,0.4,0.0,40.0,0.0
va_long_beach,no_missingness_factor,0.0001184366363994993,0.0007404036062594922,0.0005658639294644052,0.0005250431130119637,0.0001213175967560752,0.0006711409395973256,0.4,0.0,40.0,0.0
va_long_beach,unit_reliability,0.00017107514146594838,0.000712863701591979,0.000592183181997652,0.0005657285699021992,0.00013521394513220147,0.0006711409395973256,0.4,0.0,40.0,0.0
