source,target,method,metric,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,n_source_seeds,n_target_patients,positive_n,negative_n
cleveland,hungary,pseudo_label_sfda,delta_roc_auc,-0.0006021678040947331,-0.0029408370132477284,0.0015409223203532779,True,0.2872,10,294,106,188
cleveland,hungary,pseudo_label_sfda,brier_improvement,-0.00023541931831600192,-0.0046309366047996335,0.004043792571779342,True,0.4554,10,294,106,188
cleveland,hungary,pseudo_label_sfda,delta_balanced_accuracy,0.005554997992773991,-0.00924365214773187,0.019505595142513037,True,0.7824,10,294,106,188
cleveland,hungary,entropy_sfda,delta_roc_auc,-0.0015556001605780856,-0.004943044961862726,0.0016160678442392609,True,0.1762,10,294,106,188
cleveland,hungary,entropy_sfda,brier_improvement,0.0014860635675521955,-0.004319141852268054,0.007113714588051752,True,0.6904,10,294,106,188
cleveland,hungary,entropy_sfda,delta_balanced_accuracy,0.004752107587314314,-0.017102067442794074,0.025210758731433126,True,0.6742,10,294,106,188
cleveland,hungary,reliability_gated_sfda,delta_roc_auc,-0.00014552388598957356,-0.0005820955439582501,0.0002510287033320934,True,0.2276,10,294,106,188
cleveland,hungary,reliability_gated_sfda,brier_improvement,-0.00020267782485035025,-0.0006686506233781041,0.00024882006211082215,True,0.197,10,294,106,188
cleveland,hungary,reliability_gated_sfda,delta_balanced_accuracy,0.0001806503412284055,-0.0040646326776394796,0.003457446808510656,True,0.5692,10,294,106,188
cleveland,hungary,conservative_candidate,delta_roc_auc,-0.00018065034122839442,-0.0006222400642312618,0.0002308309915696305,True,0.1852,10,294,106,188
cleveland,hungary,conservative_candidate,brier_improvement,0.00026126112959190263,2.0666312320525224e-05,0.000510172728603764,False,0.9846,10,294,106,188
cleveland,hungary,conservative_candidate,delta_balanced_accuracy,0.0004466077880369124,-0.0037735849056603657,0.0038438378161380956,True,0.6182,10,294,106,188
cleveland,switzerland,pseudo_label_sfda,delta_roc_auc,-0.0007608695652174035,-0.004565217391304289,0.003260869565217362,True,0.3058,10,123,115,8
cleveland,switzerland,pseudo_label_sfda,brier_improvement,0.006114479266942019,0.0033442164525751246,0.009158847119820263,False,1.0,10,123,115,8
cleveland,switzerland,pseudo_label_sfda,delta_balanced_accuracy,-0.006413043478260838,-0.04217391304347827,0.00956521739130435,True,0.392,10,123,115,8
cleveland,switzerland,entropy_sfda,delta_roc_auc,-0.00010869565217389577,-0.005760869565217342,0.00597826086956519,True,0.4654,10,123,115,8
cleveland,switzerland,entropy_sfda,brier_improvement,0.00893665527593002,0.005525604625679508,0.012628800941623388,False,1.0,10,123,115,8
cleveland,switzerland,entropy_sfda,delta_balanced_accuracy,-0.007880434782608636,-0.05228396739130439,0.015217391304347858,True,0.3914,10,123,115,8
cleveland,switzerland,reliability_gated_sfda,delta_roc_auc,-0.0003260869565217095,-0.0032608695652173616,0.0026086956521739423,True,0.3732,10,123,115,8
cleveland,switzerland,reliability_gated_sfda,brier_improvement,-0.0028390447839158977,-0.003996819436634445,-0.0017891438255395052,False,0.0,10,123,115,8
cleveland,switzerland,reliability_gated_sfda,delta_balanced_accuracy,-0.0021739130434782596,-0.006521739130434762,0.0,True,0.0,10,123,115,8
cleveland,switzerland,conservative_candidate,delta_roc_auc,-0.0004347826086956386,-0.0025000000000000243,0.0013043478260868833,True,0.2636,10,123,115,8
cleveland,switzerland,conservative_candidate,brier_improvement,0.001788612179781518,0.001215772999268421,0.002479341453375118,False,1.0,10,123,115,8
cleveland,switzerland,conservative_candidate,delta_balanced_accuracy,-0.01163043478260869,-0.049565217391304345,0.0026086956521739093,True,0.2234,10,123,115,8
cleveland,va_long_beach,pseudo_label_sfda,delta_roc_auc,0.0009869719699960422,-0.002855967890511959,0.005093104355836307,True,0.6878,10,200,149,51
cleveland,va_long_beach,pseudo_label_sfda,brier_improvement,-0.0005322668738382025,-0.002897754557323908,0.0018363658973730775,True,0.3224,10,200,149,51
cleveland,va_long_beach,pseudo_label_sfda,delta_balanced_accuracy,0.0020134228187919435,0.0,0.0067114093959731455,True,0.8418,10,200,149,51
cleveland,va_long_beach,entropy_sfda,delta_roc_auc,0.0013686011317278312,-0.004013686011317274,0.007158836689038007,True,0.6806,10,200,149,51
cleveland,va_long_beach,entropy_sfda,brier_improvement,-0.0013347176470051986,-0.00462077866814685,0.001999927179790285,True,0.2112,10,200,149,51
cleveland,va_long_beach,entropy_sfda,delta_balanced_accuracy,0.0023489932885906173,0.0,0.008053691275167774,True,0.786,10,200,149,51
cleveland,va_long_beach,reliability_gated_sfda,delta_roc_auc,0.00038162916173176684,-0.0005263850506645906,0.0013554415054612308,True,0.7966,10,200,149,51
cleveland,va_long_beach,reliability_gated_sfda,brier_improvement,-0.0010087274928313405,-0.0017329573837830178,-0.0003167271370300408,False,0.0016,10,200,149,51
