target,method,metric,observed,ci_lower,ci_upper,ci_contains_zero
hungary,pseudo_label_sfda,delta_roc_auc,0.0009032517061422496,-0.0014050582095543884,0.0033621035728621544,True
hungary,pseudo_label_sfda,brier_improvement,0.002597741770409001,-0.0009396927651207045,0.006053525791044792,True
hungary,pseudo_label_sfda,delta_balanced_accuracy,-0.003512645523886082,-0.023584905660377298,0.013900040144520287,True
hungary,entropy_sfda,delta_roc_auc,5.018065034134711e-05,-0.003713368125250918,0.003865164592533131,True
hungary,entropy_sfda,brier_improvement,0.00624742725835456,0.00020383104880051942,0.012292453923490647,False
hungary,entropy_sfda,delta_balanced_accuracy,-0.009684865515857233,-0.03592934564431971,0.015706543556804453,True
hungary,reliability_gated_sfda,delta_roc_auc,-0.00015054195102359724,-0.0008530710558009025,0.000551987153753486,True
hungary,reliability_gated_sfda,brier_improvement,0.0003722369070844056,-0.00011633654669544676,0.0008515905774462345,True
hungary,reliability_gated_sfda,delta_balanced_accuracy,0.0026595744680850686,0.0,0.007978723404255428,True
switzerland,pseudo_label_sfda,delta_roc_auc,-0.0021739130434783593,-0.010869565217391353,0.005434782608695787,True
switzerland,pseudo_label_sfda,brier_improvement,0.005138309021478854,0.0035987005904277725,0.0067387893538370415,False
switzerland,pseudo_label_sfda,delta_balanced_accuracy,0.004347826086956497,0.0,0.013043478260869604,True
switzerland,entropy_sfda,delta_roc_auc,0.0,-0.011983695652174105,0.013043478260869601,True
switzerland,entropy_sfda,brier_improvement,0.011386085833906184,0.008519078308414328,0.01437807908500884,False
switzerland,entropy_sfda,delta_balanced_accuracy,-0.0581521739130435,-0.1875,0.008695652173913104,True
switzerland,reliability_gated_sfda,delta_roc_auc,-0.0021739130434783593,-0.009782608695652173,0.004347826086956497,True
switzerland,reliability_gated_sfda,brier_improvement,-0.0021447654316413267,-0.0030632144077836856,-0.0012804101696656297,False
switzerland,reliability_gated_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True
va_long_beach,pseudo_label_sfda,delta_roc_auc,-0.002895117778655143,-0.008027372022634597,0.002105540202658296,True
va_long_beach,pseudo_label_sfda,brier_improvement,0.0002722207943273991,-0.001354325346049815,0.0018530627824297546,True
va_long_beach,pseudo_label_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True
va_long_beach,entropy_sfda,delta_roc_auc,-0.0047374654559809715,-0.014345637583892689,0.004474272930648726,True
va_long_beach,entropy_sfda,brier_improvement,0.0009108556191414763,-0.0026865099354631264,0.004356531393002315,True
va_long_beach,entropy_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True
va_long_beach,reliability_gated_sfda,delta_roc_auc,-0.0002631925253323564,-0.0034215028293196337,0.0027635215159889093,True
va_long_beach,reliability_gated_sfda,brier_improvement,-0.0005868319335068373,-0.001194637852841718,-1.6034140951149995e-05,False
va_long_beach,reliability_gated_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True
