target,variant,mean_delta_auc,sd_delta_auc,mean_abs_delta_auc,mean_delta_pr_auc,mean_brier_improvement,sd_brier_improvement,mean_delta_balanced_accuracy,negative_adaptation_rate,brier_worsening_rate,negative_adaptation_rate_pct,brier_worsening_rate_pct
hungary,no_anchor,-0.0001706142111601361,0.0003859526739553013,0.00036130068245683323,-0.0001145682846392715,-0.00015887997180192014,0.00017494370478190707,0.0007978723404255428,0.7,0.9,70.0,90.0
hungary,no_entropy,-0.00013046969088714722,0.00022590583455285682,0.0002308309915696194,-0.0001043002677038496,-0.00018358032178587835,0.00012862744062073692,0.0007978723404255317,0.7,0.9,70.0,90.0
hungary,no_prior,-0.00016057808109187777,0.00026950534003914475,0.00027097551184261935,-0.00011483114095437453,-0.00013255661990678181,0.00013839232867514207,0.0003261742272179902,0.7,0.8,70.0,80.0
hungary,no_pseudo,-0.0001204335608189222,0.00019678096038871964,0.0001806503412283833,-0.00021029505630887346,0.00023497733516761045,9.50605835059521e-05,0.0008580891208350039,0.6,0.0,60.0,0.0
switzerland,no_anchor,-0.0005434782608695676,0.002362029856957458,0.0018478260869565165,2.2923525307638748e-05,-0.004453149172044318,0.0008530854015780068,-0.0030434782608695587,0.4,1.0,40.0,100.0
switzerland,no_entropy,-0.0003260869565217428,0.0017786866244396413,0.001413043478260878,3.14498172937272e-05,-0.003133969824153371,0.0004641485533289795,-0.002608695652173909,0.4,1.0,40.0,100.0
switzerland,no_prior,-0.0003260869565217317,0.0017032839526873861,0.001413043478260867,2.440307378958062e-05,-0.003220792788548599,0.00048715805910559516,-0.002608695652173909,0.4,1.0,40.0,100.0
switzerland,no_pseudo,-0.0006521739130434745,0.0012758562943231092,0.0010869565217391242,-9.50154049955354e-05,0.0018852481255556748,0.0006055582199929044,-0.004510869565217401,0.5,0.0,50.0,0.0
va_long_beach,no_anchor,0.0006711409395973256,0.0008356333896165911,0.0008027372022634705,0.00032451729269732387,-0.0013224871073755251,0.00032736316594060273,-0.0006711409395973144,0.2,1.0,20.0,100.0
va_long_beach,no_entropy,0.0004079484142650136,0.000844793799125015,0.0005921831819976076,0.0002896407841883608,-0.0010016285452214974,0.0002739798169535657,0.0,0.2,1.0,20.0,100.0
va_long_beach,no_prior,0.0003947887879984013,0.0008229882457908692,0.0006053428082642643,0.0002851064946111759,-0.001054405797991767,0.0002672031439014996,0.0,0.3,1.0,30.0,100.0
va_long_beach,no_pseudo,0.0001184366363994882,0.000666552355089853,0.0005132254243979228,8.215714172818967e-05,0.0005215966938739546,0.00012070979768152383,0.0006711409395973256,0.4,0.0,40.0,0.0
