target,variant,mean_delta_auc,sd_delta_auc,mean_abs_delta_auc,mean_brier_improvement,mean_delta_balanced_accuracy,negative_adaptation_rate,brier_worsening_rate,negative_adaptation_rate_pct,brier_worsening_rate_pct
hungary,no_anchor,-0.0001756322761942708,0.0003597252302891959,0.0003462464873544957,-0.0001617202735316875,0.0007978723404255428,0.7,0.9,70.0,90.0
hungary,no_entropy,-0.000185668406262518,0.00024245327618311292,0.00025592131674024855,-0.000207943369921601,0.0017412685668406146,0.7,0.9,70.0,90.0
hungary,no_prior,-0.00020072260136489995,0.00028875077782742167,0.0002910477719791471,-0.0001295426894070306,0.0007978723404255317,0.7,0.9,70.0,90.0
hungary,no_pseudo,-0.00011541549578477638,0.00014004707405954896,0.00012545162585304582,0.00022819566254448365,0.0011240465676435108,0.8,0.1,80.0,10.0
switzerland,no_anchor,-0.0006521739130434856,0.002185956975217137,0.001739130434782621,-0.00444345368485482,-0.0030434782608695587,0.5,1.0,50.0,100.0
switzerland,no_entropy,-0.0008695652173912882,0.002161802013069021,0.0017391304347826098,-0.003292198459162074,-0.0021739130434782596,0.6,1.0,60.0,100.0
switzerland,no_prior,-0.0003260869565217428,0.0021157683073414896,0.0018478260869565055,-0.0032823485364576466,-0.002608695652173909,0.5,1.0,50.0,100.0
switzerland,no_pseudo,-0.00010869565217389577,0.001301324999715049,0.0007608695652173813,0.0017430482304872596,-0.004510869565217401,0.2,0.0,20.0,0.0
va_long_beach,no_anchor,0.0006316620607974887,0.0008271860028125387,0.0007106198183971623,-0.0013292865925176255,-0.0006711409395973144,0.2,1.0,20.0,100.0
va_long_beach,no_entropy,0.00023687327279903192,0.0009863381548488375,0.0007369390709303647,-0.0010083201742493164,0.0,0.4,1.0,40.0,100.0
va_long_beach,no_prior,0.0003421502829319967,0.0005792893457637432,0.0004211080405316925,-0.0010694422840163392,0.0,0.3,1.0,30.0,100.0
va_long_beach,no_pseudo,5.263850506646017e-05,0.0005197635914760617,0.00044742729306491703,0.0005290282270191988,0.0003355704697986628,0.5,0.0,50.0,0.0
