source,cv_seed,fold,train_n,val_n,train_positive_n,train_negative_n,val_positive_n,val_negative_n,best_epoch,best_validation_bce,stopped_epoch
cleveland,0,1,242,61,111,131,28,33,34,0.46517235040664673,64
cleveland,0,2,242,61,111,131,28,33,22,0.4540919065475464,52
cleveland,0,3,242,61,111,131,28,33,63,0.41120484471321106,93
cleveland,0,4,243,60,112,131,27,33,44,0.36115458607673645,74
cleveland,0,5,243,60,111,132,28,32,73,0.4785560667514801,103
cleveland,1,1,242,61,111,131,28,33,21,0.37239065766334534,51
cleveland,1,2,242,61,111,131,28,33,16,0.5361905097961426,46
cleveland,1,3,242,61,111,131,28,33,44,0.365602970123291,74
cleveland,1,4,243,60,112,131,27,33,149,0.3940645456314087,179
cleveland,1,5,243,60,111,132,28,32,23,0.46840402483940125,53
cleveland,2,1,242,61,111,131,28,33,16,0.5142134428024292,46
cleveland,2,2,242,61,111,131,28,33,59,0.3540685474872589,89
cleveland,2,3,242,61,111,131,28,33,15,0.5508029460906982,45
cleveland,2,4,243,60,112,131,27,33,39,0.31872764229774475,69
cleveland,2,5,243,60,111,132,28,32,73,0.44303444027900696,103
cleveland,3,1,242,61,111,131,28,33,26,0.5213188529014587,56
cleveland,3,2,242,61,111,131,28,33,15,0.49418118596076965,45
cleveland,3,3,242,61,111,131,28,33,66,0.392917662858963,96
cleveland,3,4,243,60,112,131,27,33,25,0.41711699962615967,55
cleveland,3,5,243,60,111,132,28,32,29,0.41718384623527527,59
cleveland,4,1,242,61,111,131,28,33,24,0.42713162302970886,54
cleveland,4,2,242,61,111,131,28,33,36,0.5969293117523193,66
cleveland,4,3,242,61,111,131,28,33,17,0.4540124535560608,47
cleveland,4,4,243,60,112,131,27,33,55,0.4151320457458496,85
cleveland,4,5,243,60,111,132,28,32,95,0.31972888112068176,125
hungary,0,1,235,59,85,150,21,38,20,0.40040552616119385,50
hungary,0,2,235,59,85,150,21,38,73,0.32408949732780457,103
hungary,0,3,235,59,85,150,21,38,28,0.3859686255455017,58
hungary,0,4,235,59,84,151,22,37,29,0.3974975347518921,59
hungary,0,5,236,58,85,151,21,37,40,0.4044402539730072,70
hungary,1,1,235,59,85,150,21,38,60,0.3152066767215729,90
hungary,1,2,235,59,85,150,21,38,55,0.3615902066230774,85
hungary,1,3,235,59,85,150,21,38,107,0.3017434775829315,137
hungary,1,4,235,59,84,151,22,37,20,0.4707121253013611,50
hungary,1,5,236,58,85,151,21,37,16,0.4691186547279358,46
hungary,2,1,235,59,85,150,21,38,18,0.4770430326461792,48
hungary,2,2,235,59,85,150,21,38,58,0.2503757178783417,88
hungary,2,3,235,59,85,150,21,38,36,0.47009971737861633,66
hungary,2,4,235,59,84,151,22,37,116,0.3117067515850067,146
hungary,2,5,236,58,85,151,21,37,20,0.37656593322753906,50
hungary,3,1,235,59,85,150,21,38,48,0.40535783767700195,78
hungary,3,2,235,59,85,150,21,38,42,0.3019653260707855,72
hungary,3,3,235,59,85,150,21,38,18,0.4600249230861664,48
hungary,3,4,235,59,84,151,22,37,19,0.5140509605407715,49
hungary,3,5,236,58,85,151,21,37,32,0.28605034947395325,62
hungary,4,1,235,59,85,150,21,38,91,0.2746475636959076,121
hungary,4,2,235,59,85,150,21,38,28,0.40597864985466003,58
hungary,4,3,235,59,85,150,21,38,20,0.3429734706878662,50
hungary,4,4,235,59,84,151,22,37,44,0.3506874144077301,74
hungary,4,5,236,58,85,151,21,37,15,0.5224670767784119,45
switzerland,0,1,98,25,92,6,23,2,26,0.26010826230049133,56
switzerland,0,2,98,25,92,6,23,2,35,0.20233598351478577,65
switzerland,0,3,98,25,92,6,23,2,28,0.2787378430366516,58
switzerland,0,4,99,24,92,7,23,1,283,0.033950380980968475,300
switzerland,0,5,99,24,92,7,23,1,95,0.14898526668548584,125
switzerland,1,1,98,25,92,6,23,2,30,0.24955280125141144,60
switzerland,1,2,98,25,92,6,23,2,163,0.19727878272533417,193
switzerland,1,3,98,25,92,6,23,2,25,0.25863349437713623,55
switzerland,1,4,99,24,92,7,23,1,166,0.1120041012763977,196
switzerland,1,5,99,24,92,7,23,1,32,0.21405045688152313,62
switzerland,2,1,98,25,92,6,23,2,44,0.260393351316452,74
switzerland,2,2,98,25,92,6,23,2,62,0.2793097496032715,92
switzerland,2,3,98,25,92,6,23,2,125,0.19560976326465607,155
switzerland,2,4,99,24,92,7,23,1,93,0.137347012758255,123
switzerland,2,5,99,24,92,7,23,1,38,0.2208743393421173,68
switzerland,3,1,98,25,92,6,23,2,163,0.13545352220535278,193
switzerland,3,2,98,25,92,6,23,2,27,0.2803323268890381,57
switzerland,3,3,98,25,92,6,23,2,218,0.17546840012073517,248
switzerland,3,4,99,24,92,7,23,1,29,0.1907469630241394,59
switzerland,3,5,99,24,92,7,23,1,38,0.19118592143058777,68
switzerland,4,1,98,25,92,6,23,2,28,0.27175065875053406,58
switzerland,4,2,98,25,92,6,23,2,25,0.24693913757801056,55
switzerland,4,3,98,25,92,6,23,2,62,0.3076464533805847,92
switzerland,4,4,99,24,92,7,23,1,140,0.10975819826126099,170
switzerland,4,5,99,24,92,7,23,1,111,0.16587580740451813,141
va_long_beach,0,1,160,40,119,41,30,10,24,0.5216678977012634,54
va_long_beach,0,2,160,40,119,41,30,10,17,0.5512939095497131,47
va_long_beach,0,3,160,40,119,41,30,10,125,0.48415347933769226,155
va_long_beach,0,4,160,40,119,41,30,10,33,0.5187310576438904,63
va_long_beach,0,5,160,40,120,40,29,11,60,0.5113987326622009,90
va_long_beach,1,1,160,40,119,41,30,10,41,0.4990960657596588,71
va_long_beach,1,2,160,40,119,41,30,10,22,0.5414142608642578,52
va_long_beach,1,3,160,40,119,41,30,10,30,0.5292186141014099,60
va_long_beach,1,4,160,40,119,41,30,10,20,0.5504186749458313,50
va_long_beach,1,5,160,40,120,40,29,11,49,0.5126625895500183,79
va_long_beach,2,1,160,40,119,41,30,10,35,0.5121862292289734,65
va_long_beach,2,2,160,40,119,41,30,10,19,0.5619449615478516,49
va_long_beach,2,3,160,40,119,41,30,10,14,0.5753256678581238,44
va_long_beach,2,4,160,40,119,41,30,10,33,0.5133952498435974,63
va_long_beach,2,5,160,40,120,40,29,11,56,0.5069712996482849,86
va_long_beach,3,1,160,40,119,41,30,10,48,0.4666755795478821,78
va_long_beach,3,2,160,40,119,41,30,10,17,0.554859459400177,47
va_long_beach,3,3,160,40,119,41,30,10,37,0.5138167142868042,67
va_long_beach,3,4,160,40,119,41,30,10,16,0.5520763993263245,46
va_long_beach,3,5,160,40,120,40,29,11,34,0.5254668593406677,64
va_long_beach,4,1,160,40,119,41,30,10,64,0.48267626762390137,94
va_long_beach,4,2,160,40,119,41,30,10,36,0.5433477759361267,66
va_long_beach,4,3,160,40,119,41,30,10,17,0.5454005599021912,47
va_long_beach,4,4,160,40,119,41,30,10,27,0.519598662853241,57
va_long_beach,4,5,160,40,120,40,29,11,37,0.5734488368034363,67
